50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,8974e967-72cd-4a4d-8c40-5041dd5d9ab9,1,,,3890278,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19295, 'name': 'Philipp Lahm'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 27}, {'player': {'id': 15651, 'name': 'Juan Bernat Velasco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 8218, 'name': 'Arjen Robben'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 10}, {'player': {'id': 5837, 'name': 'Douglas Costa de Souza'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,01d5318a-8d25-4f95-9bcb-0e94c042ebb8,2,,,3890278,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15581, 'name': 'Bernd Leno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8918, 'name': 'Roberto Hilbert'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8313, 'name': 'Kyriakos Papadopoulos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8212, 'name': 'Wendell Nascimento Borges'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 8969, 'name': 'Lars Bender'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8805, 'name': 'Christoph Kramer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8213, 'name': 'Karim Bellarabi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 38}, {'player': {'id': 7039, 'name': 'Hakan Çalhanoğlu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 8219, 'name': 'Admir Mehmedi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 11394, 'name': 'Stefan Kießling'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,56ce0151-abf9-4787-a471-9efb60f65e42,3,,,3890278,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['3a97b632-a150-4fb3-b1d4-51251c45888d'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,3a97b632-a150-4fb3-b1d4-51251c45888d,4,,,3890278,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['56ce0151-abf9-4787-a471-9efb60f65e42'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2cb1e8ff-6717-40b2-b262-ba72280251d8,1692,,,3890278,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,96,Bayer Leverkusen,904,['4cf7d44d-1136-4ae9-ad4d-6544c184abc6'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4cf7d44d-1136-4ae9-ad4d-6544c184abc6,1693,,,3890278,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,96,Bayer Leverkusen,904,['2cb1e8ff-6717-40b2-b262-ba72280251d8'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.603453,,,,,,,,,,,,,,,,85e7cbc3-8b1f-45c2-8907-9f96e1441df3,5,,"[61.0, 40.1]",3890278,0,,,,,2.6779451,,Right Foot,,,,"[59.8, 40.7]",,Ground Pass,,1.3416408,,,,Robert Lewandowski,5668.0,,,,,,Kick Off,1,From Kick Off,Thomas Müller,5562.0,Center Attacking Midfield,2,Bayern Munich,169,['50ec23f8-736f-4525-a024-0394debd2edb'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.570,Pass,
,,,,,,,,,,,,,,,,1.433096,,,,,,,,,,,,,,,,efbcae9a-df03-4db7-b18f-ddc9d06186a8,8,,"[57.9, 41.7]",3890278,0,,,,,3.083879,,Right Foot,,,,"[35.4, 43.0]",,Ground Pass,,22.537525,,,,Xabier Alonso Olano,20133.0,,,,,,,1,From Kick Off,Robert Lewandowski,5668.0,Center Forward,2,Bayern Munich,169,['c91ac2c0-f21d-4901-9008-68c0aedfe2ad'],1,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:01.869,Pass,
,,,,,,,,,,,,,,,,2.013608,,,,,,,,,,,,,,,,402e5e2f-1989-41ca-8503-5e2afb9051fb,11,,"[38.8, 42.7]",3890278,0,,,,,-0.6108761,,Right Foot,,,,"[83.5, 11.4]",,High Pass,,54.56904,,Incomplete,,Douglas Costa de Souza,5837.0,,,,,,,1,From Kick Off,Xabier Alonso Olano,20133.0,Center Defensive Midfield,2,Bayern Munich,169,"['a13e99b0-8246-41d6-a832-08bb8c349041', 'e526f189-6549-41d8-916a-046bf93beb3a']",4,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:04.535,Pass,
,,,,,,,,,,,,,,,,0.925628,,,,,,,,,,,,,,,,fadd8de6-0f44-48aa-961a-3ff248b6af0c,14,,"[94.5, 0.1]",3890278,0,,True,,,1.212979,,,,,,"[98.8, 11.6]",,Low Pass,,12.277622,,,,Thomas Müller,5562.0,,,,,,Throw-in,1,From Throw In,Juan Bernat Velasco,15651.0,Left Center Back,3,Bayern Munich,169,['9ff0e2ba-ae07-4818-854c-81bb1bcfdd3d'],20,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:20.372,Pass,
