50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e4d3e36d-18d6-4744-b242-da4ec3a32797,1,,,,3890279,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 9082, 'name': 'Przemysław Tytoń'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 8270, 'name': 'Daniel Schwaab'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 8956, 'name': 'Timo Baumgartl'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4683, 'name': 'Adam Hloušek'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 12626, 'name': 'Emiliano Adrián Insúa Zapata'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 8959, 'name': 'Christian Gentner'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 34558, 'name': 'Sereso Geoffroy Gonzaroua Dié'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 8243, 'name': 'Daniel Didavi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 8557, 'name': 'Martin Harnik'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 9409, 'name': 'Daniel Ginczek'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 33}]}",VfB Stuttgart,174,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f5ab55ac-8352-43b9-9585-46f1efd69589,2,,,,3890279,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8670, 'name': 'Timothy Chandler'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 400619, 'name': 'Stefan Reinartz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 7846, 'name': 'Luc Castaignos'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 30}]}",Eintracht Frankfurt,184,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6131bc31-2677-48a1-af98-3bb35470a037,3,,,,3890279,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,['891c9971-30f5-48e2-a272-ded8f11b95fa'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,891c9971-30f5-48e2-a272-ded8f11b95fa,4,,,,3890279,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,['6131bc31-2677-48a1-af98-3bb35470a037'],0,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,35645c6c-3b2e-4134-b78c-511afdf2cfc2,1640,,,,3890279,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,127,VfB Stuttgart,174,['ac702dc6-6191-4b69-b439-3d98a0fd1be7'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ac702dc6-6191-4b69-b439-3d98a0fd1be7,1641,,,,3890279,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,127,VfB Stuttgart,174,['35645c6c-3b2e-4134-b78c-511afdf2cfc2'],0,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.614204,,,,,,,,,,,,,,,0c90f868-5180-4377-940b-6a3a062099ce,5,,,"[61.0, 40.1]",3890279,0,,,,,-0.38831872,,Left Foot,,,"[63.2, 39.2]",,Ground Pass,,2.376973,,,Daniel Ginczek,9409.0,,,,,Kick Off,1,From Kick Off,Martin Harnik,8557.0,Right Center Forward,2,VfB Stuttgart,174,['3a79cd26-3f08-4dc9-be5b-59ffa95f0f65'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.330,Pass,
,,,,,,,,,,,,,,,,,1.231608,,,,,,,,,,,,,,,f53467e5-ecc8-4da6-b8c0-ce5c490621c5,7,,,"[61.8, 38.6]",3890279,0,,,,,3.050933,,Right Foot,,,"[39.8, 40.6]",,Ground Pass,,22.090721,,,Timo Baumgartl,8956.0,,,,,,1,From Kick Off,Daniel Ginczek,9409.0,Left Center Forward,2,VfB Stuttgart,174,['f160cb52-002a-4c2b-bafc-51cfb72c9702'],0,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.944,Pass,
,,,,,,,,,,,,,,,,,1.083428,,,,,,,,,,,,,,,86d82be5-4c07-4024-bfa8-b6d74d50f7f8,10,,,"[39.8, 41.1]",3890279,0,,,,,-2.0988708,,Left Foot,,,"[37.7, 37.5]",,Ground Pass,,4.167733,,,Adam Hloušek,4683.0,,,,,,1,From Kick Off,Timo Baumgartl,8956.0,Right Center Back,2,VfB Stuttgart,174,['6e74abf1-4619-401a-acf0-38a484c43787'],2,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:02.200,Pass,
,,,,,,,,,,,,,,,,,3.307922,,,,,,,,,,,,,,,04dba626-62ca-4480-b1d1-4b7e3cb7f116,12,,,"[37.9, 37.8]",3890279,0,,,,,-0.20495844,,Right Foot,,,"[83.6, 28.3]",,High Pass,,46.676975,Incomplete,,Daniel Ginczek,9409.0,,,,,,1,From Kick Off,Adam Hloušek,4683.0,Left Center Back,2,VfB Stuttgart,174,"['cede0f87-db63-4f44-92e2-d398d453de04', 'db372f8d-5613-489f-8e60-f5f46472534d']",3,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:03.284,Pass,
,,,,,,,,,,,,,,,,,1.867297,,,,,,,,,,,,,,,9828e96e-c2ab-4146-837e-fb9259183dd8,16,,,"[67.7, 40.6]",3890279,0,,,,,0.71606505,,Head,,,"[75.4, 47.3]",,High Pass,,10.206861,Incomplete,,Daniel Didavi,8243.0,,,,,Recovery,1,From Kick Off,Christian Gentner,8959.0,Right Defensive Midfield,2,VfB Stuttgart,174,"['0159c235-9930-415f-bc4b-34df5ecec812', '4c002b81-067a-46be-8827-fb919babca6a']",8,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:08.317,Pass,
