50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f57aaf6a-6f2d-4930-a05f-491ece0030f9,1,,,3890280,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9459, 'name': 'Paweł Olkowski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 8829, 'name': 'Frederik Hillesborg Sørensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8397, 'name': 'Kevin Vogt'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 8822, 'name': 'Simon Zoller'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 27}]}",FC Köln,186,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,62e4ab15-56e5-4283-a0ad-82752f1dafc7,2,,,3890280,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8560, 'name': 'René Adler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 8316, 'name': 'Dennis Diekmeier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40468, 'name': 'Cleber Janderson Pereira Reis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 8323, 'name': 'Gideon Jung'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8309, 'name': 'Michael Gregoritsch'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 8321, 'name': 'Sven Schipplock'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hamburger SV,171,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a0148858-6ab0-472e-8714-8b0e8e686956,3,,,3890280,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,['2d0a702b-c033-4a28-9353-32980fad4b3f'],0,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2d0a702b-c033-4a28-9353-32980fad4b3f,4,,,3890280,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,['a0148858-6ab0-472e-8714-8b0e8e686956'],0,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,aee12e7d-7063-4cd0-a028-b6360805e48f,1630,,,3890280,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Hamburger SV,171,['1f3e53a1-7fd5-4e53-9222-f71c9ce71351'],0,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1f3e53a1-7fd5-4e53-9222-f71c9ce71351,1631,,,3890280,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Hamburger SV,171,['aee12e7d-7063-4cd0-a028-b6360805e48f'],0,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.576668,,,,,,,,,,,,,,,4a8f05f6-8dc1-4f79-b1d4-a0d507762430,5,,"[61.0, 40.1]",3890280,0,True,,,1.3654009,,Right Foot,,,,"[61.5, 42.5]",,Ground Pass,,2.4515302,,,,,Simon Zoller,8822.0,,,,,,Kick Off,1,From Kick Off,Anthony Modeste,23486.0,Left Center Forward,2,FC Köln,186,['ec6e45b9-d581-4e10-90cd-8c89785cb39a'],0,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.399,Pass,
,,,,,,,,,,,,,,,,,1.788047,,,,,,,,,,,,,,,ffbb4879-26b5-4b11-ae56-39a42375dcc8,7,,"[62.5, 43.3]",3890280,0,True,,,2.7205603,,Right Foot,,,,"[32.8, 56.6]",,Ground Pass,,32.541973,,,,,Frederik Hillesborg Sørensen,8829.0,,,,,,,1,From Kick Off,Simon Zoller,8822.0,Right Center Forward,2,FC Köln,186,['4a4f6c05-0ac2-4d90-96a7-45637a044fca'],0,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.975,Pass,
,,,,,,,,,,,,,,,,,2.016728,,,,,,,,,,,,,,,bfcb7207-4dd5-43b3-aefb-b682f1f5a410,9,,"[28.2, 60.3]",3890280,0,,,,0.2595901,,Right Foot,,,,"[65.1, 70.1]",,High Pass,,38.179184,,,Incomplete,,Marcel Risse,8823.0,,,,,,,1,From Kick Off,Frederik Hillesborg Sørensen,8829.0,Right Center Back,2,FC Köln,186,"['4231dfb1-a2e9-4a23-a38d-3f0de3030456', 'd0ca02a8-d7ca-4c95-91f2-db275eb893d3']",4,,,,,,,,,,,,,,,,FC Köln,186,00:00:04.448,Pass,
,,,,,,,,,,,,,,,,,3.441303,,,,,,,,,,,,,,,d0ca02a8-d7ca-4c95-91f2-db275eb893d3,11,,"[55.0, 10.0]",3890280,0,,,,0.3046449,,Right Foot,,,,"[113.2, 28.3]",,High Pass,,61.009262,,,Incomplete,,Sven Schipplock,8321.0,,,,,,Recovery,1,From Kick Off,Matthias Ostrzolek,8547.0,Left Back,2,FC Köln,186,"['33bd27e0-b06e-4fc8-96e1-1ee3c09b5dcd', 'a0f62bad-9d6c-4edd-9273-d5bdeb5a9e38', 'bfcb7207-4dd5-43b3-aefb-b682f1f5a410']",6,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:06.465,Pass,
