50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1de94a87-b1a0-47f8-8100-fc1973bab6b6,1,,,,3890285,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 51388, 'name': 'Assani Lukimya-Mulongoti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 7}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 8390, 'name': 'Philipp Bargfrede'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 44}, {'player': {'id': 20010, 'name': 'Clemens Fritz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 22043, 'name': 'Ulisses Alexandre Garcia Lopes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 8762, 'name': 'Zlatko Junuzović'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 8402, 'name': 'Aron Jóhannsson'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 12624, 'name': 'Anthony Ujah'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4f064107-6464-4075-a49c-233f48a5c4ec,2,,,,3890285,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 12320, 'name': 'Tony Jantschke'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 400654, 'name': 'Roel Brouwers'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 29245, 'name': 'Marvin Schulz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 8809, 'name': 'Oscar Wendt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 8395, 'name': 'Håvard Nordtveit'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 8813, 'name': 'Patrick Herrmann'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 13}, {'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,10bf4498-0e2b-4f26-b9bf-b7adffda4575,3,,,,3890285,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['df427058-ece9-4c75-af55-457d46a40810'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,df427058-ece9-4c75-af55-457d46a40810,4,,,,3890285,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['10bf4498-0e2b-4f26-b9bf-b7adffda4575'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,426a2407-e619-42e4-8e54-7500ab74d298,1593,,,,3890285,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,97,Werder Bremen,176,['a8d0bdcb-0e10-4fd4-ae01-83577d97d0b5'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a8d0bdcb-0e10-4fd4-ae01-83577d97d0b5,1594,,,,3890285,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,97,Werder Bremen,176,['426a2407-e619-42e4-8e54-7500ab74d298'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.459291,,,,,,,,,,,,,,,504d9ae0-deea-4cfc-bcc6-27c60bf60353,5,,,"[61.0, 40.1]",3890285,0,,True,,,2.0255156,,Right Foot,,,,"[58.8, 44.6]",,Ground Pass,5.0089917,,,,Aron Jóhannsson,8402.0,,,,,,Kick Off,1,From Kick Off,Anthony Ujah,12624.0,Left Center Forward,2,Werder Bremen,176,['dbc3ac03-6998-416d-82d6-d8827fd7b466'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.218,Pass,
,,,,,,,,,,,,,,,,0.778289,,,,,,,,,,,,,,,4a2450f3-e70d-423e-8047-028aacfd51e3,7,,,"[59.0, 43.1]",3890285,0,,,,,-2.9317644,,Right Foot,,,,"[48.2, 40.8]",,Ground Pass,11.0421915,,,,Zlatko Junuzović,8762.0,,,,,,,1,From Kick Off,Aron Jóhannsson,8402.0,Right Center Forward,2,Werder Bremen,176,['0cc695eb-2b18-4f65-bcf3-9e4d3935517e'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.677,Pass,
,,,,,,,,,,,,,,,,1.823081,,,,,,,,,,,,,,,379c0bd7-de79-42e3-8c01-419674c41f9b,10,,,"[48.2, 40.2]",3890285,0,,,,,1.4350091,,Right Foot,,,,"[52.9, 74.6]",,Ground Pass,34.71959,,,,Theodor Gebre Selassie,8396.0,,,,,,,1,From Kick Off,Zlatko Junuzović,8762.0,Center Attacking Midfield,2,Werder Bremen,176,['e80e0e93-e0e8-4431-bf09-7ead4152b71d'],2,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:02.559,Pass,
,,,,,,,,,,,,,,,,1.771552,,,,,,,,,,,,,,,d11d7483-c686-44b8-87b9-de25e74b63d8,13,,,"[57.2, 75.1]",3890285,0,,,,,-2.5524652,,Right Foot,,,,"[36.7, 61.4]",,Ground Pass,24.656439,,,,Assani Lukimya-Mulongoti,51388.0,,,,,,,1,From Kick Off,Theodor Gebre Selassie,8396.0,Right Back,2,Werder Bremen,176,['b872540e-2cf7-4ee4-b0c2-8cc63c7d05cc'],6,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:06.699,Pass,
