50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,caa07e52-ebb0-404b-ac25-6cfd316af8d6,1,,,3890299,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9459, 'name': 'Paweł Olkowski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 8829, 'name': 'Frederik Hillesborg Sørensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8397, 'name': 'Kevin Vogt'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5679, 'name': 'Yūya Ōsako'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 13}, {'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",FC Köln,186,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a6c82d80-22fc-49e2-966c-8d57eee34746,2,,,3890299,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 12320, 'name': 'Tony Jantschke'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 400654, 'name': 'Roel Brouwers'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 8809, 'name': 'Oscar Wendt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 8238, 'name': 'Mahmoud Dahoud'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11285, 'name': 'Ibrahima Traoré'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 5835, 'name': 'Josip Drmic'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b7404d85-621e-4b10-8ce4-f909a6624323,3,,,3890299,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,['49240073-8a5e-4e2f-bbac-679b9c4f80e1'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,49240073-8a5e-4e2f-bbac-679b9c4f80e1,4,,,3890299,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,['b7404d85-621e-4b10-8ce4-f909a6624323'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,81a3769a-c168-4d4f-be5c-5d4c4479112f,2302,,,3890299,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,82,FC Köln,186,['717fd55d-be41-4cba-b853-4e9381a498b3'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,717fd55d-be41-4cba-b853-4e9381a498b3,2303,,,3890299,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,82,FC Köln,186,['81a3769a-c168-4d4f-be5c-5d4c4479112f'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.495016,,,,,,,,,,,,,fae860ae-6031-4695-9d71-dcab684b759d,5,,"[60.0, 40.0]",3890299,0,True,,,1.5019399,,Right Foot,,,,"[60.2, 42.9]",,Ground Pass,2.9068885,,,,Josip Drmic,5835.0,,,,,Kick Off,1,From Kick Off,Raffael Caetano de Araújo,8810.0,Right Center Forward,2,Borussia Mönchengladbach,185,['7b6bbc3e-f817-4c49-8c85-62b37b54e4a2'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.169,Pass,
,,,,,,,,,,,,,,,,1.316769,,,,,,,,,,,,,a6d1514c-ae1e-4021-b776-d183b5d00b52,7,,"[58.5, 40.4]",3890299,0,,,,-2.7886024,,Right Foot,,,,"[43.3, 34.8]",,Ground Pass,16.198765,,,,Granit Xhaka,3500.0,,,,,,1,From Kick Off,Josip Drmic,5835.0,Left Center Forward,2,Borussia Mönchengladbach,185,['3c293891-f8fc-42ca-b674-2a6890f56609'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.857,Pass,
,,,,,,,,,,,,,,,,1.212221,,,,,,,,,,,,,34370e21-d93e-44bd-8b8a-fd4608117dd6,10,,"[43.5, 33.5]",3890299,0,,,,-2.641376,,Left Foot,,,,"[27.4, 24.7]",,Ground Pass,18.348024,,,,Andreas Christensen,3959.0,,,,,,1,From Kick Off,Granit Xhaka,3500.0,Right Defensive Midfield,2,Borussia Mönchengladbach,185,['d99011a6-07ee-48c5-9e63-c7a73e5b1e94'],2,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:02.995,Pass,
,,,,,,,,,,,,,,,,2.183684,,,,,,,,,,,,,a27984d7-3d2a-4271-9740-731db3982d49,14,,"[27.7, 22.8]",3890299,0,,,,2.3005335,,Right Foot,,,,"[11.6, 40.8]",,Ground Pass,24.149742,,,,Yann Sommer,5550.0,,,,,,1,From Kick Off,Andreas Christensen,3959.0,Left Center Back,2,Borussia Mönchengladbach,185,"['733c61a6-17e2-476c-8bf9-b4cadd1d403f', 'dad0916a-d6b3-4010-a736-20a15cfc248f']",5,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:05.288,Pass,True
