50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a1b03d10-f65a-4cfd-a491-0b2ceb23981f,1,,,,3890329,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5578, 'name': 'Jérôme Boateng'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 9399, 'name': 'Javier Martínez Aginaga'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 8}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 8227, 'name': 'Mario Götze'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 5837, 'name': 'Douglas Costa de Souza'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 19295, 'name': 'Philipp Lahm'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,592b7e35-45a3-4b1d-917f-4d03bf66f6c5,2,,,,3890329,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 25}, {'player': {'id': 8216, 'name': 'Sven Bender'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 8816, 'name': 'Julian Weigl'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 10287, 'name': 'İlkay Gündoğan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 8233, 'name': 'Gonzalo Castro Randon'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8d2da6f6-f6bf-41a2-b925-deed1d6cabf9,3,,,,3890329,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['9ad2699f-ed91-401d-b393-4f01398ec3f6'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9ad2699f-ed91-401d-b393-4f01398ec3f6,4,,,,3890329,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['8d2da6f6-f6bf-41a2-b925-deed1d6cabf9'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f790f969-d57c-46f0-8f50-04275e27211d,1879,,,,3890329,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Bayern Munich,169,['6a7ba512-c4f2-4df9-ab0d-c387baf47a9c'],0,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6a7ba512-c4f2-4df9-ab0d-c387baf47a9c,1880,,,,3890329,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Bayern Munich,169,['f790f969-d57c-46f0-8f50-04275e27211d'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.508363,,,,,,,,,,,,,,5a344ed6-4f3b-456c-9b2f-2ed7e361dc19,5,,,"[60.0, 40.0]",3890329,0,,,,1.5707964,,Right Foot,,,,"[60.0, 42.1]",,Ground Pass,,2.1,,,,Pierre-Emerick Aubameyang,3712.0,,,,,Kick Off,1,From Kick Off,Henrikh Mkhitaryan,3275.0,Left Center Forward,2,Borussia Dortmund,180,['9f8f9847-85bc-4801-adb2-d3e58b69f211'],1,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:01.751,Pass,
,,,,,,,,,,,,,,,,1.063568,,,,,,,,,,,,,,7d06ac7d-44dd-4009-bf86-5a55987a3b2c,7,,,"[59.7, 41.0]",3890329,0,True,,,-2.5973122,,Right Foot,,,,"[52.1, 36.4]",,Ground Pass,,8.883693,,,,Shinji Kagawa,5684.0,,,,,,1,From Kick Off,Pierre-Emerick Aubameyang,3712.0,Right Center Forward,2,Borussia Dortmund,180,['6f3350ee-f99b-4515-b0cf-fbd1af170a9e'],2,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:02.267,Pass,
,,,,,,,,,,,,,,,,1.152998,,,,,,,,,,,,,,a2cff136-0a9e-4eee-a55a-2413cfd545a6,9,,,"[52.1, 36.4]",3890329,0,,,,2.525468,,Left Foot,,,,"[36.0, 47.8]",,Ground Pass,,19.727392,,,,Sven Bender,8216.0,,,,,,1,From Kick Off,Shinji Kagawa,5684.0,Center Attacking Midfield,2,Borussia Dortmund,180,['19b14572-c8b7-4808-97cd-bd41c1943b99'],3,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:03.885,Pass,
,,,,,,,,,,,,,,,,1.388678,,,,,,,,,,,,,,a516f5c5-c569-46aa-ab2e-3850755babb8,12,,,"[36.0, 47.8]",3890329,0,,,,1.5444866,,Left Foot,,,,"[36.6, 70.6]",,Ground Pass,,22.807894,,,,Sokratis Papastathopoulos,8244.0,,,,,,1,From Kick Off,Sven Bender,8216.0,Right Center Back,2,Borussia Dortmund,180,['63a2ee42-3799-467b-a80a-282db22bf46b'],5,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:05.995,Pass,
