50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f0a6c689-f9e8-4537-b488-531cf089bbb0,1,,,3890341,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19295, 'name': 'Philipp Lahm'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5578, 'name': 'Jérôme Boateng'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 8209, 'name': 'Márcio Rafael Ferreira de Souza'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 8217, 'name': 'Kingsley Coman'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 29}, {'player': {'id': 8218, 'name': 'Arjen Robben'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 5837, 'name': 'Douglas Costa de Souza'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,213aced9-a743-4255-8ff6-7486b7db2ad8,2,,,3890341,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8829, 'name': 'Frederik Hillesborg Sørensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 11286, 'name': 'Dominik Maroh'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 7}, {'player': {'id': 6040, 'name': 'Jonas Hector'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 14}, {'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8397, 'name': 'Kevin Vogt'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8822, 'name': 'Simon Zoller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 8231, 'name': 'Yannick Gerhardt'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 31}, {'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",FC Köln,186,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6c44a5fb-f8ef-4797-8c99-da4adac5c7d7,3,,,3890341,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['77963a8e-0f9a-4666-836a-8cd5fb5703a8'],0,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,77963a8e-0f9a-4666-836a-8cd5fb5703a8,4,,,3890341,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['6c44a5fb-f8ef-4797-8c99-da4adac5c7d7'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a32cd53e-f35c-4776-9d25-58b4c037d9a6,1887,,,3890341,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,FC Köln,186,['04332b2d-299b-4372-903a-d44841926586'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,04332b2d-299b-4372-903a-d44841926586,1888,,,3890341,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,FC Köln,186,['a32cd53e-f35c-4776-9d25-58b4c037d9a6'],0,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.586549,,,,,,,,,,,,,,,458d6e92-2fb8-4d00-bfef-e0b219c4d428,5,,"[61.0, 40.1]",3890341,0,,,,,2.0607536,,Right Foot,,,"[60.2, 41.6]",,Ground Pass,,1.7,,,Robert Lewandowski,5668.0,,,,,,Kick Off,1,From Kick Off,Thomas Müller,5562.0,Left Center Midfield,2,Bayern Munich,169,['6307b050-b5f3-460b-8d42-b225620eb667'],0,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.219,Pass,
,,,,,,,,,,,,,,,,,,,1.68887,,,,,,,,,,,,,,,5999a6e2-2058-42c7-8c62-568099a1320d,8,,"[59.4, 42.0]",3890341,0,,,,,2.6845238,,Right Foot,,,"[41.1, 51.0]",,Ground Pass,,20.393381,,,Jérôme Boateng,5578.0,,,,,,,1,From Kick Off,Robert Lewandowski,5668.0,Center Forward,2,Bayern Munich,169,['a847ab9d-9d77-4237-bdd2-a81f51954759'],1,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:01.803,Pass,
,,,,,,,,,,,,,,,,,,,1.105372,,,,,,,,,,,,,,,d5e57877-bc05-4496-ac4b-deaff30493c6,11,,"[40.9, 51.0]",3890341,0,,,,,-0.60228735,,Right Foot,,,"[47.3, 46.6]",,Ground Pass,,7.7665954,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,,1,From Kick Off,Jérôme Boateng,5578.0,Right Center Back,2,Bayern Munich,169,['9cf97543-b387-4f76-9908-0b6ab114b30a'],3,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:03.535,Pass,
,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,2a9d8a11-c853-4215-a33a-03a22d961581,13,,"[47.3, 46.6]",3890341,0,,,,,1.3744937,,Right Foot,,,"[50.8, 64.2]",,Ground Pass,,17.944637,,,Philipp Lahm,19295.0,,,,,,,1,From Kick Off,Arturo Erasmo Vidal Pardo,8206.0,Center Defensive Midfield,2,Bayern Munich,169,['8a912307-a382-4e73-9192-d2e4c194cc9f'],4,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:04.641,Pass,
