50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6d284246-e8f1-4f85-b2a5-b4b723285b5b,1,,,,3890342,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 108336, 'name': 'Júnior Enrique Díaz Campbell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 11134, 'name': 'Konstantin Rausch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 34}, {'player': {'id': 400612, 'name': 'Marco Sailer'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2125b000-bf2c-4a34-a909-bb9d2e2b21bd,2,,,,3890342,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 4600, 'name': 'Diego Orlando Benaglio'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23266, 'name': 'Christian Träsch'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 34}, {'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 10790, 'name': 'Adelino André Vieira Freitas'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 3186, 'name': 'Julian Draxler'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 10594, 'name': 'Bas Dost'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 12}, {'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fb009cca-2b82-4d4c-aa2f-ca25b53f6c78,3,,,,3890342,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['038234ef-2bd4-4bfa-9cf4-b8a65b90485b'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,038234ef-2bd4-4bfa-9cf4-b8a65b90485b,4,,,,3890342,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['fb009cca-2b82-4d4c-aa2f-ca25b53f6c78'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ef60ba40-d206-4525-9b0d-581b3541add9,1697,,,,3890342,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Wolfsburg,179,['723b82ab-1928-4072-980f-4a4458967303'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,723b82ab-1928-4072-980f-4a4458967303,1698,,,,3890342,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Wolfsburg,179,['ef60ba40-d206-4525-9b0d-581b3541add9'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.464832,,,,,,,,,,,,4f5d45b5-ef86-4220-9a14-b3514c3b8537,5,,,"[61.0, 40.1]",3890342,0,,,,,1.3932002,,Left Foot,,,,"[61.7, 44.0]",,Ground Pass,,3.9623225,,,,Bas Dost,10594.0,,,,,,Kick Off,1,From Kick Off,Max Kruse,8386.0,Left Center Forward,2,Wolfsburg,179,['442fa490-dcf9-45f7-9855-da96ca9ab93e'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.463,Pass,
,,,,,,,,,,,,,,,,1.548181,,,,,,,,,,,,7a52325c-75e2-4bf3-ad09-036e422cab37,7,,,"[61.7, 43.8]",3890342,0,,,,,-2.783305,,Right Foot,,,,"[39.0, 35.3]",,Ground Pass,,24.239223,,,,Luiz Gustavo Dias,3545.0,,,,,,,1,From Kick Off,Bas Dost,10594.0,Right Center Forward,2,Wolfsburg,179,['c278db70-a080-4874-9918-a6190e0fd8e9'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.928,Pass,
,,,,,,,,,,,,,,,,3.665816,,,,,,,,,,,,46b5e2ec-d798-4fda-b299-d4b6253a2c8d,10,,,"[43.0, 33.5]",3890342,0,,,,,0.31013355,,Left Foot,,,,"[110.4, 55.1]",,High Pass,,70.77655,,Incomplete,,Adelino André Vieira Freitas,10790.0,,,,,,,1,From Kick Off,Luiz Gustavo Dias,3545.0,Left Defensive Midfield,2,Wolfsburg,179,"['a6a87f8c-5d2d-4c8e-8380-6bcdf387dc60', 'aaeb4217-cb85-4d4d-9a7a-32d339ae7787']",3,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:03.557,Pass,
,,,,,,,,,,,,,,,,3.694166,,,,,,,,,,,,0e27b3e4-7741-4e60-9d68-7ebea77d0e23,14,,,"[19.8, 34.7]",3890342,0,,,,,-0.32784274,,Right Foot,,,,"[88.6, 11.3]",,High Pass,,72.67049,,Incomplete,,Sandro Wagner,9723.0,,,,,,,1,Regular Play,Christian Mathenia,8306.0,Goalkeeper,3,Darmstadt 98,872,"['055e3ae8-0018-448c-a165-8adf686c07cd', '65be3507-38b1-4666-9b93-c622ece91cf9']",20,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:20.436,Pass,
,,,,,,,,,,,,,,,,2.31183,,,,,,,,,,,,65be3507-38b1-4666-9b93-c622ece91cf9,17,,,"[31.5, 68.8]",3890342,0,,,,True,-0.015383402,,,,,,"[51.0, 68.5]",,High Pass,,19.502308,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,3,Darmstadt 98,872,"['0e27b3e4-7741-4e60-9d68-7ebea77d0e23', '815e8f42-ae0a-4ee1-99ae-c5f5f87433ac', '9b102e6b-7cdf-4c5b-99c3-7a06beebe223']",24,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:24.130,Pass,True
,,,,,,,,,,,,,,,,0.823405,,,,,,,,,,,,815e8f42-ae0a-4ee1-99ae-c5f5f87433ac,18,,,"[69.1, 11.6]",3890342,0,,,,,1.4172525,,Left Foot,,,,"[70.4, 20.0]",,Low Pass,,8.5,,,,Peter Niemeyer,40467.0,,,,,,Recovery,1,Regular Play,Júnior Enrique Díaz Campbell,108336.0,Left Back,3,Darmstadt 98,872,"['65be3507-38b1-4666-9b93-c622ece91cf9', 'df05b773-a301-476c-8998-8446786cac13']",26,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:26.442,Pass,
