50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,99e8bd25-b73e-4cc5-a4f2-3e649129c99f,1,,,3890355,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8517, 'name': 'Ralf Fährmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30312, 'name': 'Uilson de Souza Paula Júnior'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 7016, 'name': 'Benedikt Höwedes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 3502, 'name': 'Joël Andre Job Matip'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 8958, 'name': 'Dennis Aogo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3510, 'name': 'Sead Kolašinac'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 8508, 'name': 'Max Meyer'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 8060, 'name': 'Klaas-Jan Huntelaar'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 25}, {'player': {'id': 8512, 'name': 'Franco Matías Di Santo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Schalke 04,181,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d19d8c98-3c29-4c98-a44c-bd5ccada3186,2,,,3890355,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40460, 'name': 'Tobias Levels'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3221, 'name': 'Markus Suttner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 13332, 'name': 'Romain Brégerie'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 12551, 'name': 'Max Christiansen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 40464, 'name': 'Moritz Hartmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 2968, 'name': 'Elias Kachunga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,00d50c43-1833-43b3-9511-ff57abf54c09,3,,,3890355,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['a433e619-40d8-4f41-a9dc-19b75f198746'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a433e619-40d8-4f41-a9dc-19b75f198746,4,,,3890355,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Schalke 04,181,['00d50c43-1833-43b3-9511-ff57abf54c09'],0,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e27a65fc-ac6d-487c-9d4d-a742c2dd8361,1700,,,3890355,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Schalke 04,181,['fd4f9bee-1ea5-43bc-a40e-c476e7e6f7ff'],0,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fd4f9bee-1ea5-43bc-a40e-c476e7e6f7ff,1701,,,3890355,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,101,Schalke 04,181,['e27a65fc-ac6d-487c-9d4d-a742c2dd8361'],0,,,,,,,,,,,,,,,,,,Schalke 04,181,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.414543,,,,,,,,,,,,,,76a860fd-1f95-4928-b040-2a86bc92da65,5,,"[60.0, 40.0]",3890355,0,,,,,1.4994888,,Left Foot,,,"[60.1, 41.4]",,Ground Pass,,1.4035668,,,Pascal Groß,3097.0,,,,,Kick Off,1,From Kick Off,Elias Kachunga,2968.0,Center Forward,2,Ingolstadt,189,['23d17bc6-5b7f-4366-82ca-3eee2d2380fa'],1,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:01.676,Pass,
,,,,,,,,,,,,,,,,1.720335,,,,,,,,,,,,,,d4f7a72f-c9af-422f-8f61-8cf94f9bed68,9,,"[57.1, 37.1]",3890355,0,,,,,-1.7526721,,Right Foot,,,"[52.3, 11.0]",,Ground Pass,,26.537708,,,Markus Suttner,3221.0,,,,,,1,From Kick Off,Pascal Groß,3097.0,Left Center Midfield,2,Ingolstadt,189,"['79090da6-d2f9-4db9-bd99-d88383018bcc', 'efbebc67-d32c-4ecf-9027-871afa90d2bd']",3,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:03.288,Pass,True
,,,,,,,,,,,,,,,,0.996244,,,,,,,,,,,,,,b6a3857c-e4cd-45af-afe0-3e99e4a59b28,12,,"[54.9, 10.5]",3890355,0,,,,,0.2988126,,Left Foot,,,"[77.3, 17.4]",,Ground Pass,,23.438643,,,Max Christiansen,12551.0,,,,,,1,From Kick Off,Markus Suttner,3221.0,Left Back,2,Ingolstadt,189,['e06def3d-8c02-4550-b036-d294f4f807f3'],6,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:06.206,Pass,
,,,,,,,,,,,,,,,,0.572751,,,,,,,,,,,,,,d86faab0-282f-49b5-b521-ad1d040cc67b,16,,"[83.1, 8.8]",3890355,0,,,,,-0.6692565,,Right Foot,,,"[89.8, 3.5]",,Ground Pass,,8.542833,,,Mathew Leckie,5481.0,,,,,,1,From Kick Off,Max Christiansen,12551.0,Right Center Midfield,2,Ingolstadt,189,"['6326f7da-c4f8-4ecf-b5cf-0e2e932a082f', 'c2c28a4f-712e-48f3-bc11-94c2a9abc59f']",8,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:08.528,Pass,True
