50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d95a118a-1d68-426d-90f0-1fb14a355130,1,,,,3890366,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 8237, 'name': 'Paul Verhaegh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 22826, 'name': 'Jan-Ingwer Callsen-Bracker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8319, 'name': 'Philipp Max'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 8807, 'name': 'Raúl Marcelo Bobadilla'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 30}, {'player': {'id': 12302, 'name': 'Dong-Won Ji'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Augsburg,172,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,664b3712-ec21-4c62-8945-cc3ae15086a8,2,,,,3890366,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 6924, 'name': 'Alejandro Gálvez Jimena'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 7}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 8390, 'name': 'Philipp Bargfrede'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 44}, {'player': {'id': 8389, 'name': 'Fin Bartels'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 8762, 'name': 'Zlatko Junuzović'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 22043, 'name': 'Ulisses Alexandre Garcia Lopes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 8554, 'name': 'Levin Mete Öztunali'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 12624, 'name': 'Anthony Ujah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cef0b233-d3ca-4a5d-bdee-939572195f14,3,,,,3890366,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,['73e4513b-eb9c-4179-bd97-97389c97710c'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,73e4513b-eb9c-4179-bd97-97389c97710c,4,,,,3890366,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,['cef0b233-d3ca-4a5d-bdee-939572195f14'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c1187a17-73b8-4214-8738-9ca37995f3c9,1693,,,,3890366,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Werder Bremen,176,['54800937-af85-4f2d-a7cf-8b95ced0580e'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,54800937-af85-4f2d-a7cf-8b95ced0580e,1694,,,,3890366,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Werder Bremen,176,['c1187a17-73b8-4214-8738-9ca37995f3c9'],0,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,7e089874-e4ae-4a51-9a53-ed17a8f9b31b,5,,,"[60.0, 40.0]",3890366,0,,,,,0.6998929,,Right Foot,,,,"[61.9, 41.6]",,Ground Pass,,2.4839485,,,,Ja-Cheol Koo,5627.0,,,,,Kick Off,1,From Kick Off,Dong-Won Ji,12302.0,Center Forward,2,Augsburg,172,['c4253b2d-1429-4546-88e7-6be5116e98da'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.685,Pass,
,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,2ea53294-cfc9-4d81-9f9b-78cb69d2c7c6,7,,,"[60.1, 37.8]",3890366,0,,,,,-2.401431,,Right Foot,,,,"[47.4, 26.2]",,Ground Pass,,17.20029,,,,Daniel Baier,8317.0,,,,,,1,From Kick Off,Ja-Cheol Koo,5627.0,Center Attacking Midfield,2,Augsburg,172,['5574bd46-764b-4613-a768-fab461e54965'],1,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:01.165,Pass,
,,,,,,,,,,,,,,,,,,1.72,,,,,,,,,,,,,,4d50b8b9-fced-45ce-b2c1-8cbd9bbcfc2f,10,,,"[46.0, 28.0]",3890366,0,,,,,1.7834922,,Right Foot,,,,"[41.4, 49.3]",,Ground Pass,,21.791054,,,,Jan-Ingwer Callsen-Bracker,22826.0,,,,,,1,From Kick Off,Daniel Baier,8317.0,Left Defensive Midfield,2,Augsburg,172,['da934541-cfa4-4ca4-b663-ef45852d858a'],3,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:03.025,Pass,
,,,,,,,,,,,,,,,,,,3.120992,,,,,,,,,,,,,,9598623b-4d0e-40e7-b9d0-97b9968e329c,13,,,"[46.4, 51.4]",3890366,0,,,,,-0.6520176,,Right Foot,,,,"[91.2, 17.2]",,High Pass,,56.362045,,,,Raúl Marcelo Bobadilla,8807.0,,,,,,1,From Kick Off,Jan-Ingwer Callsen-Bracker,22826.0,Right Center Back,2,Augsburg,172,['fca76db1-0d6d-45cf-aaf9-a50016b895fd'],6,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:06.025,Pass,
