50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,80db6005-470f-4564-880e-0acded8ab8cc,1,,,3890387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,,0,,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 8395, 'name': 'Håvard Nordtveit'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 8545, 'name': 'Julian Korb'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 8809, 'name': 'Oscar Wendt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 8238, 'name': 'Mahmoud Dahoud'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 13}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,11a8b67b-e44d-4431-8ecc-3dc8af5f38d0,2,,,3890387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,,0,,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19295, 'name': 'Philipp Lahm'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5578, 'name': 'Jérôme Boateng'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 5244, 'name': 'Medhi Amine El Mouttaqi Benatia'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8209, 'name': 'Márcio Rafael Ferreira de Souza'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 9399, 'name': 'Javier Martínez Aginaga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 8217, 'name': 'Kingsley Coman'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 29}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ed239759-60fe-49e4-858c-64c485add9b3,3,,,3890387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,['07fc545d-35cb-4567-9b14-0f3bdfe01c66'],0,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,07fc545d-35cb-4567-9b14-0f3bdfe01c66,4,,,3890387,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,['ed239759-60fe-49e4-858c-64c485add9b3'],0,,,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c323d6ef-d026-46bb-bfe0-9809c3ad7668,1935,,,3890387,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Bayern Munich,169,['a997c477-170e-46b9-a938-dd18fa616c53'],0,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a997c477-170e-46b9-a938-dd18fa616c53,1936,,,3890387,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Bayern Munich,169,['c323d6ef-d026-46bb-bfe0-9809c3ad7668'],0,,,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.348818,,,,,,,,,,,,,,,35d00641-1b7d-43ff-b944-65dff0bb9357,5,,"[60.0, 40.0]",3890387,0,,,,,1.3909428,,Right Foot,,,,"[60.2, 41.1]",,Ground Pass,,1.118034,,,,Raffael Caetano de Araújo,8810.0,,,,,,Kick Off,1,From Kick Off,Mahmoud Dahoud,8238.0,Right Center Midfield,2,Borussia Mönchengladbach,185,['d6518f35-21b3-4420-b5a9-280b4831253a'],0,,,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.594,Pass,
,,,,,,,,,,,,,,,,,1.563175,,,,,,,,,,,,,,,99e5706f-8cb8-4ea7-a43d-59110dc539d7,8,,"[60.3, 39.5]",3890387,0,,,,,-2.6055257,,Right Foot,,,,"[33.2, 23.4]",,Ground Pass,,31.521738,,,,Håvard Nordtveit,8395.0,,,,,,,1,From Kick Off,Raffael Caetano de Araújo,8810.0,Right Center Forward,2,Borussia Mönchengladbach,185,['13ec44ee-ba15-4839-a185-36a83df7456a'],1,,,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:01.023,Pass,
,,,,,,,,,,,,,,,,,2.790623,,,,,,,,,,,,,,,624de73c-6634-4bd5-bde6-6a3cd433fa1a,12,,"[38.0, 22.3]",3890387,0,,,,,-0.23959948,,Left Foot,,,,"[81.8, 11.6]",,High Pass,,45.088024,,Incomplete,,Oscar Wendt,8809.0,,,,,,,1,From Kick Off,Håvard Nordtveit,8395.0,Left Center Back,2,Borussia Mönchengladbach,185,"['3f474f75-8b64-4bf0-998c-27d2c3960f59', '5a2df960-f4d5-4570-bd63-19fcab839ec7']",6,,,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:06.257,Pass,
,,,,,,,,,,,,,,,,,1.038432,,,,,,,,,,,,,,,3f474f75-8b64-4bf0-998c-27d2c3960f59,14,,"[38.3, 68.5]",3890387,0,,,,,-0.28255495,,Head,,,,"[47.6, 65.8]",,High Pass,,9.684008,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,Interception,1,Regular Play,Jérôme Boateng,5578.0,Right Center Back,3,Bayern Munich,169,"['624de73c-6634-4bd5-bde6-6a3cd433fa1a', 'eb652e78-5a15-408a-82fb-c62762be00fa']",9,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:09.048,Pass,
