bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,abc472b9-9fd5-4bdd-bd5b-72d1c03be778,1,,,,3890404,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8560, 'name': 'René Adler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 6339, 'name': 'Gotoku Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26791, 'name': 'Emir Spahić'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 8323, 'name': 'Gideon Jung'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8302, 'name': 'Nicolai Müller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 8308, 'name': 'Aaron Hunt'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 8895, 'name': 'Pierre-Michel Lasogga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Hamburger SV,171,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7adfb3ea-68c1-4847-8365-1e0ea587fb3c,2,,,,3890404,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 8237, 'name': 'Paul Verhaegh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40543, 'name': 'Jeong-Ho Hong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8319, 'name': 'Philipp Max'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 40480, 'name': 'Markus Feulner'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 8574, 'name': 'Alexander Esswein'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 12302, 'name': 'Dong-Won Ji'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 30}, {'player': {'id': 8807, 'name': 'Raúl Marcelo Bobadilla'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Augsburg,172,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,cfd7cbd0-e3ed-40cc-94a6-f5c60adc40a0,3,,,,3890404,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,['5a78d51d-bd95-461d-9318-fc11b8907be8'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5a78d51d-bd95-461d-9318-fc11b8907be8,4,,,,3890404,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,['cfd7cbd0-e3ed-40cc-94a6-f5c60adc40a0'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ff04fcc6-f9db-4751-8569-1591369bfdd3,1728,,,,3890404,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,97,Hamburger SV,171,['3eaf4551-c40f-4103-9738-58040d4feafd'],0,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3eaf4551-c40f-4103-9738-58040d4feafd,1729,,,,3890404,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,97,Hamburger SV,171,['ff04fcc6-f9db-4751-8569-1591369bfdd3'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.482013,,,,,,,,,,,97a75be4-b0c4-4332-9fa5-2d76056f5faf,5,,,"[60.0, 40.0]",3890404,0,,,,,1.8622531,,Right Foot,,,"[59.7, 41.0]",Ground Pass,,1.0440307,,,,Markus Feulner,40480.0,,,,,,Kick Off,1,From Kick Off,Dong-Won Ji,12302.0,Center Attacking Midfield,2,Augsburg,172,['e7b0542d-ada2-4787-be1c-509049b16c61'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.276,Pass,
,,,,,,,,,,,,,,,,,1.814748,,,,,,,,,,,3c1feb2e-1548-4de7-9453-4fcdea9bbf2d,7,,,"[59.7, 41.0]",3890404,0,,,,,-3.038511,,Right Foot,,,"[45.2, 39.5]",Ground Pass,,14.57738,,,,Daniel Baier,8317.0,,,,,,,1,From Kick Off,Markus Feulner,40480.0,Right Defensive Midfield,2,Augsburg,172,['4ead5e8e-fb71-4d3a-ae35-314cbccf3736'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.758,Pass,
,,,,,,,,,,,,,,,,,2.245724,,,,,,,,,,,a605c4fe-c736-48d3-a710-981092c4cb6a,9,,,"[45.2, 39.5]",3890404,0,,,,,-0.891507,,Right Foot,,,"[75.4, 2.1]",High Pass,,48.07078,,,,Caiuby Francisco da Silva,8303.0,,,,,,,1,From Kick Off,Daniel Baier,8317.0,Left Defensive Midfield,2,Augsburg,172,['f2e17fcf-ded9-455a-8d1c-026a313e7ac2'],2,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:02.572,Pass,
,,,,,,,,,,,,,,,,,0.810919,,,,,,,,,,,b183edc9-65fa-47ec-8410-17abf317099a,11,,,"[75.4, 2.1]",3890404,0,,,,,0.38537648,,Head,,,"[86.0, 6.4]",Low Pass,,11.438969,,,,Dong-Won Ji,12302.0,,,,,,,1,From Kick Off,Caiuby Francisco da Silva,8303.0,Left Wing,2,Augsburg,172,['17ffdb36-8451-4cfe-8c43-9d1c6b6e50d0'],4,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:04.831,Pass,
,,,,,,,,,,,,,,,,,1.300016,,,,,,,,,,,6f811856-61b8-420b-931f-d652a9df138d,13,,,"[86.0, 6.4]",3890404,0,,,,,-2.9941,,Right Foot,,,"[68.5, 3.8]",High Pass,,17.69209,,,,Philipp Max,8319.0,,,,,,,1,From Kick Off,Dong-Won Ji,12302.0,Center Attacking Midfield,2,Augsburg,172,['237a96df-c4c2-4c41-ba3d-be240476ec6c'],5,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:05.642,Pass,
,,,,,,,,,,,,,,,,,0.971796,,,,,,,,,,,4123cc36-7a44-42d9-b838-332a59108913,17,,,"[69.2, 7.8]",3890404,0,,,,,2.8903327,,Left Foot,,,"[50.5, 12.6]",Ground Pass,,19.306217,,,,Ragnar Klavan,4174.0,,,,,,,1,From Kick Off,Philipp Max,8319.0,Left Back,2,Augsburg,172,"['5ff52afa-f085-4338-b199-d6f510db7517', 'a3e10697-d014-4c50-8bc7-12e8c668b8f4']",9,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:09.092,Pass,True
,,,,,,,,,,,,,,,,,2.356701,,,,,,,,,,,4b53e396-4a3b-4a97-bd15-e6c4338380f3,20,,,"[27.2, 13.6]",3890404,0,,,,,2.002197,,Right Foot,,,"[12.7, 45.1]",Ground Pass,,34.677082,,,,Marwin Hitz,8314.0,,,,,,,1,From Kick Off,Ragnar Klavan,4174.0,Left Center Back,2,Augsburg,172,['7c6737bd-29c9-4bda-8d78-420f5ded2fce'],13,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:13.043,Pass,
,,,,,,,,,,,,,,,,,3.214341,,,,,,,,,,,d9e81764-cbf4-4fc1-8eb8-5bedeaf58333,23,,,"[17.0, 54.7]",3890404,0,,,,,-0.22824219,,Right Foot,,,"[77.7, 40.6]",High Pass,,62.316128,,Pass Offside,,Raúl Marcelo Bobadilla,8807.0,,,,,,,1,From Kick Off,Marwin Hitz,8314.0,Goalkeeper,2,Augsburg,172,['dc952d9b-e022-4cb9-854d-64b21cfd7e45'],17,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:17.780,Pass,
,,,,,,,,,,,,,,,,,1.357509,,,,,,,,,,,3c6b1ecd-827c-4938-bcce-ef5b0bf33e01,25,,,"[44.7, 29.9]",3890404,0,,,,,1.8075182,,Left Foot,,,"[38.5, 55.6]",Ground Pass,,26.437284,,,,Johan Danon Djourou-Gbadjere,6359.0,,,,,,Free Kick,1,From Free Kick,Emir Spahić,26791.0,Left Center Back,3,Hamburger SV,171,['9428ab8c-130f-4668-bb92-bc7a78b9a0ae'],38,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:38.923,Pass,
,,,,,,,,,,,,,,,,,2.082699,,,,,,,,,,,ed7f8946-793e-4a16-baee-f4eee5690b16,29,,,"[45.2, 68.2]",3890404,0,,,,,-0.16215803,,Right Foot,,,"[88.6, 61.1]",High Pass,,43.976925,,Incomplete,,Aaron Hunt,8308.0,,,,,,,1,From Free Kick,Johan Danon Djourou-Gbadjere,6359.0,Right Center Back,3,Hamburger SV,171,"['058731f6-9dd5-4f6a-a739-7cbb5bb8065a', 'b0664e42-b6b2-44a9-b00c-8e4a0aee252f', 'ceaef07f-d207-4148-ae15-e046927e9313']",44,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:44.169,Pass,True
,,,,,,,,,,,,,,,,,1.666538,,,,,,,,,,,ceaef07f-d207-4148-ae15-e046927e9313,31,,,"[31.5, 19.0]",3890404,0,,,,,-0.23737425,,Head,,,"[56.3, 13.0]",High Pass,,25.515486,,,,Caiuby Francisco da Silva,8303.0,,,,,,Recovery,1,Regular Play,Ragnar Klavan,4174.0,Left Center Back,4,Augsburg,172,"['66d64be5-8421-4a6c-bb90-ce964cfaafd3', 'ed7f8946-793e-4a16-baee-f4eee5690b16']",46,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:46.252,Pass,
,,,,,,,,,,,,,,,,,1.592671,,,,,,,,,,,8ff3bc05-a309-4a52-908b-636418513558,33,,,"[56.3, 13.0]",3890404,0,,,,,2.5759895,,Left Foot,,,"[44.8, 20.3]",Low Pass,,13.621306,,,,Daniel Baier,8317.0,,,,,,,1,Regular Play,Caiuby Francisco da Silva,8303.0,Left Wing,4,Augsburg,172,['b5788743-4fe4-4955-9610-80997fccb0a6'],47,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:47.918,Pass,
,,,,,,,,,,,,,,,,,4.175258,,,,,,,,,,,80997152-a0c3-4e82-b4fd-2b57b2d6c036,35,,,"[51.4, 21.3]",3890404,0,,,,,0.0279257,,Right Foot,,,"[105.1, 22.8]",High Pass,,53.720947,,Incomplete,,Caiuby Francisco da Silva,8303.0,,,,,,,1,Regular Play,Daniel Baier,8317.0,Left Defensive Midfield,4,Augsburg,172,"['1ae025ec-94a8-42a7-8396-1bec2c80125a', '9f06fbd1-819a-42fe-ad7d-0a6dfd5d1b26']",49,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:49.511,Pass,
,,,,,,,,,,,,,,,,,1.696641,,,,,,,,,,,08bb0a49-ab8d-4f8c-88fc-f6c7e073b9a5,39,,,"[15.7, 56.0]",3890404,0,,,,,0.07331469,,Keeper Arm,,,"[33.4, 57.3]",Ground Pass,,17.747677,,,,Gideon Jung,8323.0,,,,,,,1,From Keeper,René Adler,8560.0,Goalkeeper,5,Hamburger SV,171,['6f9332f5-b2a4-4740-8bc2-e1322bfdeb1c'],54,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:54.651,Pass,
,,,,,,,,,,,,,,,,,1.618376,,,,,,,,,,,230ae160-c873-4f43-9c87-945caf1bf201,42,,,"[32.8, 57.5]",3890404,0,,,,,1.2687701,,Right Foot,,,"[39.0, 77.4]",Ground Pass,,20.843464,,,,Gotoku Sakai,6339.0,,,,,,,1,From Keeper,Gideon Jung,8323.0,Right Defensive Midfield,5,Hamburger SV,171,['94de23cb-79bf-4204-9b1f-3a00888c5bfa'],57,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:57.001,Pass,
,,,,,,,,,,,,,,,,,1.403192,,,,,,,,,,,8d51ebaa-7b3b-4e75-aa3e-d9c3f48b7e04,45,,,"[44.7, 78.5]",3890404,1,,,,,-1.5516903,,Right Foot,,,"[45.0, 62.8]",Ground Pass,,15.702866,,,,Gideon Jung,8323.0,,,,,,,1,From Keeper,Gotoku Sakai,6339.0,Right Back,5,Hamburger SV,171,['94164182-7f30-482c-b31e-c30e7363c82f'],1,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:01:01.114,Pass,
,,,,,,,,,,,,,,,,,1.723969,,,,,,,,,,,8bec5c9f-0645-4e16-a1f7-cf3aad70c969,48,,,"[43.5, 57.1]",3890404,1,,,,,-1.8137856,,Right Foot,,,"[34.7, 21.6]",Ground Pass,,36.574444,,,,Emir Spahić,26791.0,,,,,,,1,From Keeper,Gideon Jung,8323.0,Right Defensive Midfield,5,Hamburger SV,171,['23b52379-8416-45cb-b51f-222e0c1fad68'],3,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:01:03.964,Pass,
,,,,,,,,,,,,,,,,,1.050033,,,,,,,,,,,1355a18b-9a60-40ef-a2e9-8eb784736ad8,51,,,"[34.3, 14.7]",3890404,1,,,,,-0.5743048,,Left Foot,,,"[46.2, 7.0]",Ground Pass,,14.17392,,,,Matthias Ostrzolek,8547.0,,,,,,,1,From Keeper,Emir Spahić,26791.0,Left Center Back,5,Hamburger SV,171,['f3b0ee90-7e32-4b3c-b4a2-d62c146ac9ec'],8,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:01:08.335,Pass,
,,,,,,,,,,,,,,,,,2.276071,,,,,,,,,,,48a00277-ec1a-4348-bf53-e63ef5392e2c,55,,,"[32.8, 9.6]",3890404,1,,,,,1.8950658,,Right Foot,,,"[20.8, 45.3]",Ground Pass,,37.662846,,,,Johan Danon Djourou-Gbadjere,6359.0,,,,,,,1,From Keeper,Matthias Ostrzolek,8547.0,Left Back,5,Hamburger SV,171,"['c88ba33f-264f-46a8-953e-97260c810b98', 'eb84f326-cbbc-4b9f-9564-20a6c5adbf7d']",10,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:01:10.851,Pass,True
,,,,,,,,,,,,,,,,,1.705557,,,,,,,,,,,d0598381-2f61-4d38-b83e-eb0326bad4a4,58,,,"[20.8, 51.9]",3890404,1,,,,,0.1378302,,Right Foot,,,"[51.8, 56.2]",Ground Pass,,31.296804,,Incomplete,,Nicolai Müller,8302.0,,,,,,,1,From Keeper,Johan Danon Djourou-Gbadjere,6359.0,Right Center Back,5,Hamburger SV,171,"['14a35aeb-70ce-417b-a746-91b6a72859a3', '35fe1ec9-c6e8-4e72-929c-44b8ce58249a']",15,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:01:15.341,Pass,
