50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2550ba0a-0846-4e88-bdac-e3a788954165,1,,,3890405,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9134, 'name': 'Aleksandar Ignjovski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 155655, 'name': 'Václav Kadlec'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 23268, 'name': 'Alexander Meier'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Eintracht Frankfurt,184,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1830371b-dbc3-480b-a58d-09a69a213fab,2,,,3890405,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 51388, 'name': 'Assani Lukimya-Mulongoti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 7}, {'player': {'id': 40479, 'name': 'Janek Sternberg'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 37}, {'player': {'id': 20010, 'name': 'Clemens Fritz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8390, 'name': 'Philipp Bargfrede'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 44}, {'player': {'id': 8554, 'name': 'Levin Mete Öztunali'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 12624, 'name': 'Anthony Ujah'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 11132, 'name': 'Claudio Miguel Pizarro Bossio'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1bf2b6e5-9be1-41f5-a558-ea0077e63c5f,3,,,3890405,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,['5d8a6b46-5cb1-4f31-8a62-cff0718af680'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5d8a6b46-5cb1-4f31-8a62-cff0718af680,4,,,3890405,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,['1bf2b6e5-9be1-41f5-a558-ea0077e63c5f'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6a437dd0-4e9f-42c7-9e31-2a4bc8a56b1d,1576,,,3890405,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,117,Eintracht Frankfurt,184,['49b9946a-8ae0-4049-a890-e6d869a84eac'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,49b9946a-8ae0-4049-a890-e6d869a84eac,1577,,,3890405,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,117,Eintracht Frankfurt,184,['6a437dd0-4e9f-42c7-9e31-2a4bc8a56b1d'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.206249,,,,,,,,,,,,,2f34dfb6-7c93-497e-9ab2-556e85ec9bdf,5,,"[60.0, 40.0]",3890405,0,,True,,,2.4805496,,Right Foot,,,,"[58.2, 41.4]",,Ground Pass,,2.280351,,,Clemens Fritz,20010.0,,,,,Kick Off,1,From Kick Off,Claudio Miguel Pizarro Bossio,11132.0,Left Center Forward,2,Werder Bremen,176,['4dfd82ab-46e1-49c3-93b2-c5b74bed94dd'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.856,Pass,
,,,,,,,,,,,,,,,,,,1.636427,,,,,,,,,,,,,5a2eefd5-f4b5-401c-9566-8b05059c4a99,7,,"[58.8, 42.0]",3890405,0,,,,,-2.7982628,,Right Foot,,,,"[38.1, 34.6]",,Ground Pass,,21.982948,,,Jannik Vestergaard,8815.0,,,,,,1,From Kick Off,Clemens Fritz,20010.0,Right Defensive Midfield,2,Werder Bremen,176,['b500599b-fd7f-4928-ad9c-fb1a53b6732b'],1,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:01.120,Pass,
,,,,,,,,,,,,,,,,,,1.413328,,,,,,,,,,,,,ecc12de3-3d1f-4943-8003-5a1b1c7a78d7,11,,"[37.3, 37.2]",3890405,0,,,,,0.7732775,,Right Foot,,,,"[54.0, 53.5]",,High Pass,,23.336239,,,Clemens Fritz,20010.0,,,,,,1,From Kick Off,Jannik Vestergaard,8815.0,Left Center Back,2,Werder Bremen,176,"['aa9488d2-302f-429e-aa57-8a51f26af9e3', 'd75c41bd-06f5-454d-9fae-f9e1ac6783a2']",3,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:03.716,Pass,True
,,,,,,,,,,,,,,,,,,2.27169,,,,,,,,,,,,,8a3ae23e-59d3-4f7b-9145-49c5efef3f98,13,,"[54.0, 53.5]",3890405,0,,,,,0.9590694,,Head,,,,"[68.1, 73.6]",,High Pass,,24.552393,,,Levin Mete Öztunali,8554.0,,,,,,1,From Kick Off,Clemens Fritz,20010.0,Right Defensive Midfield,2,Werder Bremen,176,['2045a440-be1a-4d0c-90d4-8568cff3cee6'],5,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:05.169,Pass,
