50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,09247f5b-63bc-49e2-a761-ee3e891e3472,1,,,,3890410,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8545, 'name': 'Julian Korb'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 30}, {'player': {'id': 8809, 'name': 'Oscar Wendt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 8395, 'name': 'Håvard Nordtveit'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 11283, 'name': 'Fabian Johnson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 8806, 'name': 'Lars Edi Stindl'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 13}, {'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,910f9dde-30bc-49f8-89d8-020a697dd966,2,,,,3890410,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8306, 'name': 'Christian Mathenia'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 20522, 'name': 'György Garics'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 9217, 'name': 'Aytac Sulu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 9404, 'name': 'Luca Caldirola'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 9222, 'name': 'Fabian Holland'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 32}, {'player': {'id': 40467, 'name': 'Peter Niemeyer'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8388, 'name': 'Jérôme Gondorf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 9401, 'name': 'Marcel Heller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 40477, 'name': 'Jan Rosenthal'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 9219, 'name': 'Tobias Kempe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 9723, 'name': 'Sandro Wagner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cb84e611-3604-4ca4-912a-d66d8eb8ed07,3,,,,3890410,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,['e7175ac9-49b2-4955-9993-e6489b62eed5'],0,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e7175ac9-49b2-4955-9993-e6489b62eed5,4,,,,3890410,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,['cb84e611-3604-4ca4-912a-d66d8eb8ed07'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0305e6bc-bc41-4ffe-a653-c1c4f528e710,1605,,,,3890410,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Darmstadt 98,872,['76ffa7b3-1d7f-424d-9f90-0fb558f9f22b'],0,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,76ffa7b3-1d7f-424d-9f90-0fb558f9f22b,1606,,,,3890410,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Darmstadt 98,872,['0305e6bc-bc41-4ffe-a653-c1c4f528e710'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.578946,,,,,,,,,,,,,28be8bec-76b5-40df-8226-60aad8c5ba9e,5,,,"[61.0, 40.1]",3890410,0,,True,,,1.6124389,,Right Foot,,,"[60.8, 44.9]",,Ground Pass,,4.804165,,,Sandro Wagner,9723.0,,,,,Kick Off,1,From Kick Off,Jan Rosenthal,40477.0,Center Attacking Midfield,2,Darmstadt 98,872,['4dbc33dd-c029-4942-8bd4-9c0dfd07d63b'],1,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:01.356,Pass,
,,,,,,,,,,,,,,,,,2.866938,,,,,,,,,,,,,e17dce0c-ae1a-43e0-a2f9-14a2a2a1c903,7,,,"[63.4, 44.2]",3890410,0,,,,,-0.90611976,,Right Foot,,,"[90.2, 10.0]",,High Pass,,43.44974,Incomplete,,Tobias Kempe,9219.0,,,,,,1,From Kick Off,Sandro Wagner,9723.0,Center Forward,2,Darmstadt 98,872,"['4d7a52f6-b744-43ba-ba14-97483e90009e', 'ce22efb1-1771-4d21-8ca2-79c727aa9e8b']",2,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:02.798,Pass,
,,,,,,,,,,,,,,,,,1.364004,,,,,,,,,,,,,fb254047-ae49-4446-86ef-0f4b28190598,10,,,"[83.2, 0.1]",3890410,0,,,,,0.71770513,,,,,"[95.8, 11.1]",,High Pass,,16.726028,,,Peter Niemeyer,40467.0,,,,,Throw-in,1,From Throw In,Fabian Holland,9222.0,Left Back,3,Darmstadt 98,872,['03ab1cc0-0623-405e-b03d-96fe1eb2eaf9'],11,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:11.026,Pass,
,,,,,,,,,,,,,,,,,1.282305,,,,,,,,,,,,,0ec14bea-a6a7-4fb6-b789-61e3fe8705c0,13,,,"[95.0, 11.1]",3890410,0,,,,True,-0.16272737,,,,,"[101.7, 10.0]",,High Pass,,6.789698,,,Tobias Kempe,9219.0,,,,,,1,From Throw In,Peter Niemeyer,40467.0,Right Defensive Midfield,3,Darmstadt 98,872,"['0d07bd90-56bd-46e0-91a1-63db8e3192b8', 'bf41c5f4-dc35-423c-9130-22569ac1ef92']",12,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:12.390,Pass,True
,,,,,,,,,,,,,,,,,0.080426,,,,,,,,,,,,,e0e90ae1-b7a5-465a-b046-a9a1073ceca4,20,,,"[12.1, 73.4]",3890410,0,,,,,0.124354996,,Right Foot,,,"[14.5, 73.7]",,Ground Pass,,2.4186773,Incomplete,,Andreas Christensen,3959.0,,,,,,1,From Throw In,Julian Korb,8545.0,Right Back,3,Darmstadt 98,872,"['53008257-0544-4cf6-a532-6b02d1bf1e4e', '5d9453d0-bf99-4993-a3fb-3de243a77a14']",16,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:16.850,Pass,
,,,,,,,,,,,,,,,,,1.422653,,,,,,,,,,,,,e16712a0-59cc-4db0-b698-1e51cc79501e,23,,,"[22.5, 80.0]",3890410,0,,,,,-0.31895727,,,,,"[44.0, 72.9]",,High Pass,,22.641996,,,Thorgan Hazard,5632.0,,,,,Throw-in,1,From Throw In,Julian Korb,8545.0,Right Back,4,Borussia Mönchengladbach,185,['047ab42d-da46-437f-a5b8-8be9140f6e87'],26,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:26.583,Pass,
,,,,,,,,,,,,,,,,,2.646867,,,,,,,,,,,,,00043e04-67ee-4ffd-a978-60f50c1376a2,26,,,"[43.2, 75.9]",3890410,0,,,,True,-0.17335744,,,,,"[64.9, 72.1]",,Low Pass,,22.030207,Incomplete,,Lars Edi Stindl,8806.0,,,,,,1,From Throw In,Thorgan Hazard,5632.0,Right Midfield,4,Borussia Mönchengladbach,185,"['65a9545d-0b60-4127-b8f9-26fb49c04b40', '8b578f0a-baad-4f24-a8ab-9e14df0dba06', 'd74a369f-1b29-486e-9931-258e33b04b5c']",28,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:28.045,Pass,True
,,,,,,,,,,,,,,,,,4.236421,,,,,,,,,,,,,8b578f0a-baad-4f24-a8ab-9e14df0dba06,28,,,"[55.2, 8.0]",3890410,0,,,,,0.60885924,,Left Foot,,,"[91.2, 33.1]",,High Pass,,43.88633,Incomplete,,Sandro Wagner,9723.0,,,,,Recovery,1,From Throw In,Luca Caldirola,9404.0,Left Center Back,4,Borussia Mönchengladbach,185,"['00043e04-67ee-4ffd-a978-60f50c1376a2', '8e127ca9-5c88-4baa-bb2d-0b35b4966f5e', 'dca44b10-5edc-4a15-8d82-dbfbcabf19b0']",30,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:30.692,Pass,
,,,,,,,,,,,,,,,,,2.270356,,,,,,,,,,,,,dca44b10-5edc-4a15-8d82-dbfbcabf19b0,31,,,"[28.9, 47.0]",3890410,0,,,,True,-0.41716948,,,,,"[37.7, 43.1]",,High Pass,,9.625487,Incomplete,,Håvard Nordtveit,8395.0,,,,,Recovery,1,From Throw In,Granit Xhaka,3500.0,Left Defensive Midfield,4,Borussia Mönchengladbach,185,"['86e5f230-5ab0-4ccc-9676-d456523d96cf', '8b578f0a-baad-4f24-a8ab-9e14df0dba06', 'add99088-2868-4d68-a46a-70c6a38f1b31', 'cba6dedf-d97b-4a13-b793-9752e73a3ca6']",34,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:34.928,Pass,True
,,,,,,,,,,,,,,,,,0.389069,,,,,,,,,,,,,86e5f230-5ab0-4ccc-9676-d456523d96cf,33,,,"[82.4, 37.0]",3890410,0,,,,,1.6814536,,Head,,,"[80.9, 50.5]",,High Pass,,13.583077,Incomplete,,Sandro Wagner,9723.0,,,,,Recovery,1,From Throw In,Jan Rosenthal,40477.0,Center Attacking Midfield,4,Borussia Mönchengladbach,185,"['13f2a81d-85e6-4db4-a793-aab5d2c5df92', 'bc401a2f-fd0d-4531-b3d0-c543f23f7435', 'dca44b10-5edc-4a15-8d82-dbfbcabf19b0']",37,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:37.199,Pass,
