50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5b0722eb-98e4-4f4e-a649-cc77df79616f,1,,,3890412,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8560, 'name': 'René Adler'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 15}, {'player': {'id': 8316, 'name': 'Dennis Diekmeier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40468, 'name': 'Cleber Janderson Pereira Reis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 8547, 'name': 'Matthias Ostrzolek'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 9407, 'name': 'Gojko Kačar'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 40}, {'player': {'id': 8891, 'name': 'Lewis Harry Holtby'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8302, 'name': 'Nicolai Müller'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 8308, 'name': 'Aaron Hunt'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 24740, 'name': 'Ivo Iličević'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 8895, 'name': 'Pierre-Michel Lasogga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Hamburger SV,171,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,53e044c1-f063-43ee-8f04-8b7b069e8c7d,2,,,3890412,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19295, 'name': 'Philipp Lahm'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5578, 'name': 'Jérôme Boateng'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 9406, 'name': 'Holger Badstuber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 8220, 'name': 'David Olatukunbo Alaba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 27}, {'player': {'id': 20133, 'name': 'Xabier Alonso Olano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 5208, 'name': 'Thiago Alcântara do Nascimento'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5837, 'name': 'Douglas Costa de Souza'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 8217, 'name': 'Kingsley Coman'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 29}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8f6ea19f-8bea-47d6-89f6-4231b401a9fd,3,,,3890412,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,['f167c859-b1c9-4a00-8523-6ccf539c3a8e'],0,,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f167c859-b1c9-4a00-8523-6ccf539c3a8e,4,,,3890412,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hamburger SV,171,['8f6ea19f-8bea-47d6-89f6-4231b401a9fd'],0,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8e5ec693-f1ba-4827-a2e9-ec144c438d17,1763,,,3890412,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Hamburger SV,171,['fdf6e023-0bdb-41ac-91a5-8472bf5b7da5'],0,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fdf6e023-0bdb-41ac-91a5-8472bf5b7da5,1764,,,3890412,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Hamburger SV,171,['8e5ec693-f1ba-4827-a2e9-ec144c438d17'],0,,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,7a1ac644-e0a4-449f-9a3c-61021885e1fb,5,,"[60.0, 40.0]",3890412,0,,,,,-1.6902252,,Right Foot,,,,"[59.7, 37.5]",Ground Pass,2.5179358,,,,Thomas Müller,5562.0,,,,,,Kick Off,1,From Kick Off,Robert Lewandowski,5668.0,Center Forward,2,Bayern Munich,169,['d8d54287-7ba7-4e9b-8d97-885137b20190'],0,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.663,Pass,
,,,,,,,,,,,,,,,,,,0.879979,,,,,,,,,,,,,,,bacb00a3-ed4b-40e1-9d53-cc479a918d47,8,,"[59.7, 37.7]",3890412,0,,,,,2.989492,,Left Foot,,,,"[46.0, 39.8]",Ground Pass,13.860014,,,,Xabier Alonso Olano,20133.0,,,,,,,1,From Kick Off,Thomas Müller,5562.0,Right Center Midfield,2,Bayern Munich,169,['c16d7207-d02f-4fb8-a939-37b210a60ed6'],1,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:01.810,Pass,
,,,,,,,,,,,,,,,,,,1.108868,,,,,,,,,,,,,,,0799359a-7641-471d-83e8-089bbe6ce09c,11,,"[47.0, 41.6]",3890412,0,,,,,-1.879182,,Right Foot,,,,"[39.1, 16.8]",Ground Pass,26.02787,,,,David Olatukunbo Alaba,8220.0,,,,,,,1,From Kick Off,Xabier Alonso Olano,20133.0,Center Defensive Midfield,2,Bayern Munich,169,['5d34b4d8-2cc9-46a4-878e-e06d30ee28ae'],3,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:03.689,Pass,
,,,,,,,,,,,,,,,,,,0.655017,,,,,,,,,,,,,,,d2b6b1ba-499d-4961-bae1-8aa29c052ecf,15,,"[37.8, 15.1]",3890412,0,,,,,2.2766082,,Left Foot,,,,"[30.3, 23.9]",Ground Pass,11.562439,,,,Holger Badstuber,9406.0,,,,,,,1,From Kick Off,David Olatukunbo Alaba,8220.0,Left Back,2,Bayern Munich,169,"['968e605d-4c78-4e37-867b-cd404d3f8e38', 'dec8e634-75ab-42ef-be05-c23d88afea01']",6,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:06.731,Pass,True
