bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,83cd8f58-8e86-4161-84a5-dd747875dc11,1,,,,3890414,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hertha Berlin,173,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8577, 'name': 'Rune Almenning Jarstein'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 8576, 'name': 'Mitchell Weiser'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 8580, 'name': 'Sebastian Langkamp'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 12327, 'name': 'John Anthony Brooks'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 25}, {'player': {'id': 5569, 'name': 'Marvin Plattenhardt'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 8965, 'name': 'Fabian Lustenberger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 8578, 'name': 'Per Ciljan Skjelbred'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 5697, 'name': 'Genki Haraguchi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 8579, 'name': 'Vladimír Darida'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 8575, 'name': 'Salomon Armand Magloire Kalou'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 8571, 'name': 'Vedad Ibišević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Hertha Berlin,173,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c6751e59-47df-451e-a1c7-fa0e7462f50d,2,,,,3890414,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hertha Berlin,173,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 8237, 'name': 'Paul Verhaegh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40543, 'name': 'Jeong-Ho Hong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8319, 'name': 'Philipp Max'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 8574, 'name': 'Alexander Esswein'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 12302, 'name': 'Dong-Won Ji'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 30}, {'player': {'id': 8807, 'name': 'Raúl Marcelo Bobadilla'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Augsburg,172,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,083437eb-b8d8-4920-9805-cd7df99f8a3d,3,,,,3890414,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hertha Berlin,173,['9d340093-8141-47e4-b6b0-bcc6027a5e00'],0,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9d340093-8141-47e4-b6b0-bcc6027a5e00,4,,,,3890414,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hertha Berlin,173,['083437eb-b8d8-4920-9805-cd7df99f8a3d'],0,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,90635b7a-da14-4cc8-8c27-1c675206128d,1763,,,,3890414,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,94,Hertha Berlin,173,['281229fb-5af0-499e-85d4-2487162a7650'],0,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,281229fb-5af0-499e-85d4-2487162a7650,1764,,,,3890414,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,94,Hertha Berlin,173,['90635b7a-da14-4cc8-8c27-1c675206128d'],0,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.20011,,,,,,,,,,,98719939-ce97-4156-bd7e-64de622ecaac,5,,,"[60.0, 40.0]",3890414,0,,,,,1.5707964,,Right Foot,,,,"[60.0, 43.6]",Ground Pass,,3.6,,,Vladimír Darida,8579.0,,,,,Kick Off,1,From Kick Off,Vedad Ibišević,8571.0,Center Forward,2,Hertha Berlin,173,['45960271-6bc8-43d8-aa38-d6a0f3de412a'],0,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.688,Pass,
,,,,,,,,,,,,,,,,,1.152292,,,,,,,,,,,1071d68c-f7ff-47d9-9c20-edbd910deac6,7,,,"[60.0, 43.4]",3890414,0,,,,,-2.5910432,,Right Foot,,,,"[49.9, 37.2]",Ground Pass,,11.85116,,,Per Ciljan Skjelbred,8578.0,,,,,,1,From Kick Off,Vladimír Darida,8579.0,Center Attacking Midfield,2,Hertha Berlin,173,['67f76005-a0ba-4092-9aa8-901352748306'],0,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:00.888,Pass,
,,,,,,,,,,,,,,,,,2.534874,,,,,,,,,,,4538ab5b-3c77-4409-9a3d-e544d5fb3d04,10,,,"[50.5, 37.8]",3890414,0,,,,,0.55882233,,Right Foot,,,,"[90.8, 63.0]",High Pass,,47.530308,Incomplete,,Genki Haraguchi,5697.0,,,,,,1,From Kick Off,Per Ciljan Skjelbred,8578.0,Left Defensive Midfield,2,Hertha Berlin,173,"['5b97fa69-074a-4dc8-b287-a7da3a1ea548', 'a0da04a4-7773-40c3-ba28-32335e93c707']",2,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:02.815,Pass,
,,,,,,,,,,,,,,,,,1.452971,,,,,,,,,,,a0da04a4-7773-40c3-ba28-32335e93c707,12,,,"[29.3, 17.1]",3890414,0,,,,,0.5136817,,Head,,,,"[55.0, 31.6]",High Pass,,29.508305,Incomplete,,Raúl Marcelo Bobadilla,8807.0,,,,,Recovery,1,From Kick Off,Philipp Max,8319.0,Left Back,2,Hertha Berlin,173,"['4538ab5b-3c77-4409-9a3d-e544d5fb3d04', 'd926c756-f7bf-4120-a887-e898003e3351', 'f9ec7767-5ae2-42c8-b178-d21424faebde']",5,,,,,,,,,,,,,,,,,Augsburg,172,00:00:05.350,Pass,
