50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cf324697-32f1-457c-b026-2ea326f0932d,1,,,3890422,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 8244, 'name': 'Sokratis Papastathopoulos'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 13206, 'name': 'Erik Durm'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 37}, {'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 8816, 'name': 'Julian Weigl'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 24324, 'name': 'Gustavo Adrián Ramos Vásquez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9f6d84b7-089b-4225-8be0-23c814cf2c20,2,,,3890422,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8676, 'name': 'Danny Vieira da Costa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8394, 'name': 'Robert Bauer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 40459, 'name': 'Roger de Oliveira Bernardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 12551, 'name': 'Max Christiansen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 12304, 'name': 'Alfredo Morales'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 40464, 'name': 'Moritz Hartmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 9113, 'name': 'Dario Lezcano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 37}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c7df4e6c-6a96-4ae2-8c91-52ad87e8bd52,3,,,3890422,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['e13976b8-2be4-42d4-aa8f-9835898aade2'],0,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e13976b8-2be4-42d4-aa8f-9835898aade2,4,,,3890422,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Dortmund,180,['c7df4e6c-6a96-4ae2-8c91-52ad87e8bd52'],0,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b0e33ae6-ec95-446d-a3d9-a68e190a3c70,1473,,,3890422,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,106,Borussia Dortmund,180,['1439e5d1-25e2-4c9e-becc-3bab6c8ad004'],0,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1439e5d1-25e2-4c9e-becc-3bab6c8ad004,1474,,,3890422,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,106,Borussia Dortmund,180,['b0e33ae6-ec95-446d-a3d9-a68e190a3c70'],0,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.457828,,,,,,,,,,,,,5e34aa84-ebb9-472a-a00e-3006c792e5f0,5,,"[61.0, 40.1]",3890422,0,,,,,1.9055332,,Right Foot,,,"[60.2, 42.4]",,Ground Pass,,2.4351592,,,,Dario Lezcano,9113.0,,,,,Kick Off,1,From Kick Off,Moritz Hartmann,40464.0,Right Wing,2,Ingolstadt,189,['7c074622-c480-42ce-8630-832e1cc30665'],0,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.516,Pass,
,,,,,,,,,,,,,,,,,,1.393916,,,,,,,,,,,,,dcdd7cbb-c673-4deb-95e4-9a6454ad4a4e,8,,"[59.1, 40.0]",3890422,0,,,,,2.9555345,,Right Foot,,,"[42.1, 43.2]",,Ground Pass,,17.298555,,,,Roger de Oliveira Bernardo,40459.0,,,,,,1,From Kick Off,Dario Lezcano,9113.0,Center Forward,2,Ingolstadt,189,['38b7507c-5947-4231-ba13-f4549b203a0f'],1,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:01.014,Pass,
,,,,,,,,,,,,,,,,,,2.730507,,,,,,,,,,,,,6f60827e-d860-48f2-9931-d31ed57bbb86,11,,"[42.5, 40.4]",3890422,0,,,,,-0.6578886,,Right Foot,,,"[84.3, 8.1]",,High Pass,,52.825466,,,,Alfredo Morales,12304.0,,,,,,1,From Kick Off,Roger de Oliveira Bernardo,40459.0,Center Defensive Midfield,2,Ingolstadt,189,['dae5b1c2-a2e4-4c82-8083-40c5e9177edb'],3,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:03.137,Pass,
,,,,,,,,,,,,,,,,,,0.158373,,,,,,,,,,,,,cdea66ff-deb6-4bc6-a2b1-fedb03ac982b,14,,"[84.3, 6.2]",3890422,0,,,,True,0.7086263,,,,,"[85.7, 7.4]",,High Pass,,1.8439089,,Incomplete,,,,,,,,,1,From Kick Off,Alfredo Morales,12304.0,Left Center Midfield,2,Ingolstadt,189,"['07ed24a9-d5c9-4607-bed2-f61475ead5f9', 'd7b991eb-59e3-40d8-ab5a-507a5ac8310d']",5,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:05.867,Pass,True
