50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e9ec9c40-2ef1-4848-be4b-c5446b2279fb,1,,,,3890426,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 8237, 'name': 'Paul Verhaegh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40543, 'name': 'Jeong-Ho Hong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8319, 'name': 'Philipp Max'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 8574, 'name': 'Alexander Esswein'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 9408, 'name': 'Jan Morávek'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 12302, 'name': 'Dong-Won Ji'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 8807, 'name': 'Raúl Marcelo Bobadilla'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 25}]}",Augsburg,172,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2356f294-0b63-4030-8303-24d5a1d44bbc,2,,,,3890426,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 6317, 'name': 'Marco Jhonfai Fabián De La Mora'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 18888, 'name': 'Szabolcs Huszti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 23268, 'name': 'Alexander Meier'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Eintracht Frankfurt,184,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a339848d-a1f9-4968-a882-f1387b8dbe7a,3,,,,3890426,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,['cc9f68c2-5ffa-456c-b722-3c18f33331d1'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cc9f68c2-5ffa-456c-b722-3c18f33331d1,4,,,,3890426,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Augsburg,172,['a339848d-a1f9-4968-a882-f1387b8dbe7a'],0,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,774a0c24-61e2-4a0b-97b7-b17d14fc40fb,1521,,,,3890426,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,99,Augsburg,172,['918a8b30-b09a-4ded-81b9-a77fff4af0a4'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,918a8b30-b09a-4ded-81b9-a77fff4af0a4,1522,,,,3890426,45,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,99,Augsburg,172,['774a0c24-61e2-4a0b-97b7-b17d14fc40fb'],0,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.5768,,,,,,,,,,,,,f602bcc2-25dd-4e5b-93fb-2555801f32fc,5,,,"[60.0, 40.0]",3890426,0,,True,,,1.9614034,,Right Foot,,,"[59.3, 41.7]",Ground Pass,,1.8384776,,,Jan Morávek,9408.0,,,,,Kick Off,1,From Kick Off,Raúl Marcelo Bobadilla,8807.0,Center Forward,2,Augsburg,172,['836fd53c-0663-4f82-a9a5-99fd27278e8c'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.321,Pass,
,,,,,,,,,,,,,,,,,1.066367,,,,,,,,,,,,,12b695ec-f4f1-4587-a111-87936703759b,7,,,"[59.9, 41.7]",3890426,0,,,,,-2.8951347,,Right Foot,,,"[44.0, 37.7]",Ground Pass,,16.395426,,,Daniel Baier,8317.0,,,,,,1,From Kick Off,Jan Morávek,9408.0,Center Attacking Midfield,2,Augsburg,172,['849ecdb4-f443-413a-b3f4-ceb56e022725'],0,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.991,Pass,
,,,,,,,,,,,,,,,,,1.5021,,,,,,,,,,,,,1d2f2505-ea35-4e00-9035-3adea9da846c,10,,,"[45.2, 38.7]",3890426,0,,,,,2.2633448,,Right Foot,,,"[34.0, 52.2]",Ground Pass,,17.541094,,,Jeong-Ho Hong,40543.0,,,,,,1,From Kick Off,Daniel Baier,8317.0,Left Defensive Midfield,2,Augsburg,172,['4a86702a-64be-4e07-94b0-5cd1513dca07'],3,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:03.796,Pass,
,,,,,,,,,,,,,,,,,1.467451,,,,,,,,,,,,,9af10b32-96d8-4020-97a8-6f4661c3e863,13,,,"[32.3, 54.6]",3890426,0,,,,,1.2563449,,Right Foot,,,"[39.0, 75.2]",Ground Pass,,21.66218,,,Paul Verhaegh,8237.0,,,,,,1,From Kick Off,Jeong-Ho Hong,40543.0,Right Center Back,2,Augsburg,172,['5a7278e8-0361-42d8-9fef-5391b105c972'],6,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:06.040,Pass,
,,,,,,,,,,,,,,,,,1.804775,,,,,,,,,,,,,610a39d3-e3a7-41e3-adcf-98ae4f2656a3,16,,,"[39.0, 74.9]",3890426,0,,,,,-2.413371,,Right Foot,,,"[23.3, 60.9]",Ground Pass,,21.035446,,,Jeong-Ho Hong,40543.0,,,,,,1,From Kick Off,Paul Verhaegh,8237.0,Right Back,2,Augsburg,172,['1cb1bc77-a1a5-40fc-990a-57b4dd0f4351'],8,,,,,,,,,,,,,,,,,,Augsburg,172,00:00:08.234,Pass,
