bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6417d704-f3f2-46c6-9576-4bcd5d939bc2,1,,,3890467,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12319, 'name': 'Ramazan Özcan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8676, 'name': 'Danny Vieira da Costa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 9106, 'name': 'Marvin Matip'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 34}, {'player': {'id': 8405, 'name': 'Benjamin Hübner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8394, 'name': 'Robert Bauer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 40459, 'name': 'Roger de Oliveira Bernardo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3097, 'name': 'Pascal Groß'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 20485, 'name': 'Almog Cohen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 36}, {'player': {'id': 9103, 'name': 'Lukas Hinterseer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 5481, 'name': 'Mathew Leckie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 9113, 'name': 'Dario Lezcano'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 37}]}",Ingolstadt,189,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,212f5cf7-2145-402b-9879-944d6aedf972,2,,,3890467,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8821, 'name': 'Timo Horn'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8829, 'name': 'Frederik Hillesborg Sørensen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 11286, 'name': 'Dominik Maroh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 8900, 'name': 'Mërgim Mavraj'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 8828, 'name': 'Dominique Heintz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 8397, 'name': 'Kevin Vogt'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8827, 'name': 'Matthias Lehmann'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 8823, 'name': 'Marcel Risse'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 8231, 'name': 'Yannick Gerhardt'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 31}, {'player': {'id': 8826, 'name': 'Leonardo Bittencourt'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 23486, 'name': 'Anthony Modeste'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",FC Köln,186,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c99d9589-50a8-4b0e-94c8-b9e5d2ca958a,3,,,3890467,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['dd9c9991-cdba-4053-9c72-838207dbdda9'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dd9c9991-cdba-4053-9c72-838207dbdda9,4,,,3890467,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Ingolstadt,189,['c99d9589-50a8-4b0e-94c8-b9e5d2ca958a'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,db46677d-de6e-496c-940f-986ffac77bf4,1755,,,3890467,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,111,Ingolstadt,189,['6c64f9fe-d469-4e07-96ba-54554473e00e'],0,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6c64f9fe-d469-4e07-96ba-54554473e00e,1756,,,3890467,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,111,Ingolstadt,189,['db46677d-de6e-496c-940f-986ffac77bf4'],0,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.610786,,,,,,,,,,,,,7d67f431-08af-488c-ac79-993a04e496ee,5,,"[60.0, 40.0]",3890467,0,,True,,,0.86630225,,Left Foot,,,,"[61.7, 42.0]",,Ground Pass,,2.624881,,,,Yannick Gerhardt,8231.0,,,,,Kick Off,1,From Kick Off,Anthony Modeste,23486.0,Center Forward,2,FC Köln,186,['e1ae92ce-8bd8-4a8a-9672-16a60f3c1d54'],1,,,,,,,,,,,,,,,,,FC Köln,186,00:00:01.822,Pass,
,,,,,,,,,,,,,,,0.89755,,,,,,,,,,,,,a6b2c79e-ecfa-4dec-9ff5-2f39e8b3f989,7,,"[62.0, 42.8]",3890467,0,,,,,-2.958053,,Right Foot,,,,"[45.3, 39.7]",,Ground Pass,,16.985289,,,,Kevin Vogt,8397.0,,,,,,1,From Kick Off,Yannick Gerhardt,8231.0,Center Attacking Midfield,2,FC Köln,186,['9aa82d3d-da7a-461b-80e3-eb6d2027442f'],2,,,,,,,,,,,,,,,,,FC Köln,186,00:00:02.433,Pass,
,,,,,,,,,,,,,,,0.647989,,,,,,,,,,,,,43eb89cb-f8f5-42b9-bd07-57d521980a12,10,,"[45.3, 39.7]",3890467,0,,,,,-1.0584068,,Right Foot,,,,"[49.8, 31.7]",,Ground Pass,,9.17878,,,,Matthias Lehmann,8827.0,,,,,,1,From Kick Off,Kevin Vogt,8397.0,Right Defensive Midfield,2,FC Köln,186,['f3e079af-e3da-4399-a560-52868aaa06b5'],5,,,,,,,,,,,,,,,,,FC Köln,186,00:00:05.211,Pass,
,,,,,,,,,,,,,,,3.195337,,,,,,,,,,,,,305bf182-cd79-442b-bc3d-71971d196e71,13,,"[49.8, 31.7]",3890467,0,,,,,2.5586236,,Right Foot,,,,"[22.2, 49.9]",,Ground Pass,,33.06055,,,,Dominik Maroh,11286.0,,,,,,1,From Kick Off,Matthias Lehmann,8827.0,Left Defensive Midfield,2,FC Köln,186,['3607e5d5-8183-45db-9ead-ad3496fc3d32'],6,,,,,,,,,,,,,,,,,FC Köln,186,00:00:06.048,Pass,
,,,,,,,,,,,,,,,2.144654,,,,,,,,,,,,,ee9dedfa-dcaf-4ced-8025-f3ceaa2fc887,16,,"[22.9, 50.0]",3890467,0,,,,,-2.2724745,,Right Foot,,,,"[9.8, 34.5]",,Ground Pass,,20.294334,,,,Timo Horn,8821.0,,,,,,1,From Kick Off,Dominik Maroh,11286.0,Right Center Back,2,FC Köln,186,['33669cc9-615f-4df7-83ad-cd9991435f37'],10,,,,,,,,,,,,,,,,,FC Köln,186,00:00:10.002,Pass,
,,,,,,,,,,,,,,,4.836839,,,,,,,,,,,,,dea80ddc-5c73-483a-94f5-a0eb2783abfe,20,,"[13.9, 29.7]",3890467,0,,,,,0.10869048,,Left Foot,,,,"[75.3, 36.4]",,High Pass,,61.764473,,,,Anthony Modeste,23486.0,,,,,,1,From Kick Off,Timo Horn,8821.0,Goalkeeper,2,FC Köln,186,"['a014f512-91fa-438a-b859-4468a67f89f7', 'bcfc5327-3b8e-44ed-9bc3-701eeff7103f']",14,,,,,,,,,,,,,,,,,FC Köln,186,00:00:14.319,Pass,True
,,,,,,,,,,,,,,,0.731494,,,,,,,,,,,,,1aa06bcd-b5de-4c78-be32-ca3619da1265,23,,"[75.3, 36.4]",3890467,0,,,,True,-0.1269728,,,,,,"[80.0, 35.8]",,Low Pass,,4.738143,,,,Leonardo Bittencourt,8826.0,,,,,,1,From Kick Off,Anthony Modeste,23486.0,Center Forward,2,FC Köln,186,"['3c585f6d-232f-488d-ad81-382fa05217a9', 'bf04c55c-0513-4613-80eb-2cf4a696cb7e']",19,,,,,,,,,,,,,,,,,FC Köln,186,00:00:19.227,Pass,True
,,,,,,,,,,,,,,,1.934871,,,,,,,,,,,,,6d002dfc-5025-424c-9bc7-95aa397de998,26,,"[80.4, 36.4]",3890467,0,,,,,1.5951817,,Right Foot,,,,"[79.8, 61.0]",,Ground Pass,,24.607315,,,,Marcel Risse,8823.0,,,,,,1,From Kick Off,Leonardo Bittencourt,8826.0,Left Wing,2,FC Köln,186,['2c0684ea-6835-4a40-99d3-198df1f33d5e'],20,,,,,,,,,,,,,,,,,FC Köln,186,00:00:20.936,Pass,
