50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,68b124ff-492f-4e61-a726-f5c29476bb0d,1,,,3890494,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 7}, {'player': {'id': 3774, 'name': 'Papiss Mison Djilobodji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 8554, 'name': 'Levin Mete Öztunali'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 20010, 'name': 'Clemens Fritz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 8762, 'name': 'Zlatko Junuzović'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 8389, 'name': 'Fin Bartels'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 11132, 'name': 'Claudio Miguel Pizarro Bossio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0de1f5e4-6a79-40f2-9905-94e038ae8a7b,2,,,3890494,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3630, 'name': 'Loris Karius'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8548, 'name': 'Daniel Brosinski'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 8559, 'name': 'Stefan Bell'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 15847, 'name': 'Alexander Hack'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 42}, {'player': {'id': 18399, 'name': 'Gaëtan Bussmann'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 20037, 'name': 'Julian Baumgartlinger'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 8539, 'name': 'Danny Latza'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8555, 'name': 'Pablo Ezequiel De Blasis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 32}, {'player': {'id': 8679, 'name': 'Yunus Mallı'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 6925, 'name': 'Jairo Samperio Bustara'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 8817, 'name': 'Jhon Andrés Córdoba Copete'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",FSV Mainz 05,177,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5eb6206b-3d19-4f18-b90f-393935ff6b8b,3,,,3890494,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['55c0eb03-ed1d-43d1-9600-4311f5bb66da'],0,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,55c0eb03-ed1d-43d1-9600-4311f5bb66da,4,,,3890494,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['5eb6206b-3d19-4f18-b90f-393935ff6b8b'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,956ad95c-7c76-4714-96e1-164c280d2142,1920,,,3890494,45,,,,,,,,,,,,,,,,,,,,,,,,2,Other,,,,101,Werder Bremen,176,['b24849d8-d0cd-4c32-a73d-7cc116f9b047'],0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b24849d8-d0cd-4c32-a73d-7cc116f9b047,1921,,,3890494,45,,,,,,,,,,,,,,,,,,,,,,,,2,Other,,,,101,Werder Bremen,176,['956ad95c-7c76-4714-96e1-164c280d2142'],0,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.73913,,,,,,,,,,,,,,843800e2-8b51-460a-9e06-b3f0511f828a,5,,"[60.0, 40.0]",3890494,0,,,,,-1.0040671,,Right Foot,,,"[62.1, 36.7]",,Ground Pass,,3.9115214,,,Yunus Mallı,8679.0,,,,,Kick Off,1,From Kick Off,Jhon Andrés Córdoba Copete,8817.0,Center Forward,2,FSV Mainz 05,177,['37e028fd-328c-4b06-bb9f-298b4b04bd79'],1,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:01.235,Pass,
,,,,,,,,,,,,,,,,,1.5938,,,,,,,,,,,,,,ac849453-a1eb-43f7-9d32-809bf6502f28,8,,"[60.4, 37.2]",3890494,0,,,,,2.5185666,,Right Foot,,,"[36.6, 54.3]",,Ground Pass,,29.306143,,,Stefan Bell,8559.0,,,,,,1,From Kick Off,Yunus Mallı,8679.0,Center Attacking Midfield,2,FSV Mainz 05,177,['1c33cbc8-11fb-4456-a5d3-b1b311fc612a'],2,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:02.761,Pass,
,,,,,,,,,,,,,,,,,0.020892,,,,,,,,,,,,,,ad049d86-f775-4959-871f-1ec5b7adc550,12,,"[37.3, 55.1]",3890494,0,,,,,0.0,,Right Foot,,,"[42.0, 55.1]",,Low Pass,,4.7,Incomplete,,,,,,,,,1,From Kick Off,Stefan Bell,8559.0,Right Center Back,2,FSV Mainz 05,177,"['3ced4bd4-a900-4919-b3aa-f5f9b0a95efa', 'a3c2bf13-f741-4fa1-aebd-441acc677ff5']",5,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:05.699,Pass,True
,,,,,,,,,,,,,,,,,2.336631,,,,,,,,,,,,,,c21b9511-8321-4f23-a994-efde07895e90,14,,"[46.7, 80.0]",3890494,0,,,,,-0.35167256,,,,,"[85.4, 65.8]",,High Pass,,41.22293,,,Yunus Mallı,8679.0,,,,,Throw-in,1,From Throw In,Daniel Brosinski,8548.0,Right Back,3,FSV Mainz 05,177,['2971e347-9155-4785-996a-a8b2d22054f7'],18,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:18.709,Pass,
,,,,,,,,,,,,,,,,,1.76169,,,,,,,,,,,,,,794758b9-d98d-4c9e-8986-90b3645dd993,22,,"[6.7, 34.2]",3890494,0,,,,,-1.2679114,,Right Foot,,,"[12.2, 16.6]",,Ground Pass,,18.43936,,,Papiss Mison Djilobodji,3774.0,,,,,,1,From Throw In,Felix Wiedwald,23269.0,Goalkeeper,3,FSV Mainz 05,177,['46cbf01d-4d51-44f9-8c64-e460862cd594'],29,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:29.886,Pass,
