50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cff41aee-5981-4944-b0b0-2e34c0282b70,1,,,3890535,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 4600, 'name': 'Diego Orlando Benaglio'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23266, 'name': 'Christian Träsch'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 8516, 'name': 'Ronaldo Aparecido Rodrigues'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 34}, {'player': {'id': 8230, 'name': 'Josuha Guilavogui'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 3545, 'name': 'Luiz Gustavo Dias'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 8521, 'name': 'Daniel Caligiuri'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 8386, 'name': 'Max Kruse'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 10594, 'name': 'Bas Dost'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 12}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4982bb04-f5c6-4d17-bda5-6e1b43b814d2,2,,,3890535,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8314, 'name': 'Marwin Hitz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 35}, {'player': {'id': 8237, 'name': 'Paul Verhaegh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8318, 'name': 'Jeffrey Gouweleeuw'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8319, 'name': 'Philipp Max'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 9400, 'name': 'Daniel Tawiah Opare'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 4}, {'player': {'id': 8303, 'name': 'Caiuby Francisco da Silva'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 30}, {'player': {'id': 40462, 'name': 'Halil Altıntop'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 5514, 'name': 'Alfreð Finnbogason'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Augsburg,172,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9a1de3db-c255-4c86-8c2c-00d79cce5e39,3,,,3890535,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['04b9f945-8ffa-4a59-a4e3-875a87e5a3a0'],0,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,04b9f945-8ffa-4a59-a4e3-875a87e5a3a0,4,,,3890535,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['9a1de3db-c255-4c86-8c2c-00d79cce5e39'],0,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cde7ed3c-8606-46d1-97b5-fe1c0d4aef60,2049,,,3890535,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Wolfsburg,179,['cba40e66-9151-4476-8312-edc8d190663f'],0,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cba40e66-9151-4476-8312-edc8d190663f,2050,,,3890535,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Wolfsburg,179,['cde7ed3c-8606-46d1-97b5-fe1c0d4aef60'],0,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.494955,,,,,,,,,,,,,ab3d76e6-a42e-4e80-91f9-948eff1eef68,5,,"[60.0, 40.0]",3890535,0,,,,,-2.7367008,,Right Foot,,,"[59.3, 39.7]",,Ground Pass,0.7615773,,,,Halil Altıntop,40462.0,,,,,,Kick Off,1,From Kick Off,Alfreð Finnbogason,5514.0,Center Forward,2,Augsburg,172,['6d171503-9a44-410e-a2b8-098d62ee9c7e'],0,,,,,,,,,,,,,,,,,Augsburg,172,00:00:00.706,Pass,
,,,,,,,,,,,,,,,,,1.390614,,,,,,,,,,,,,4102394b-fcce-4e0b-b8b5-1c8f59634228,8,,"[59.9, 37.5]",3890535,0,,,,,3.1285214,,Left Foot,,,"[44.6, 37.7]",,Ground Pass,15.301307,,,,Daniel Baier,8317.0,,,,,,,1,From Kick Off,Halil Altıntop,40462.0,Center Attacking Midfield,2,Augsburg,172,['8a7895cd-ba61-478b-8025-f22bc09d023b'],1,,,,,,,,,,,,,,,,,Augsburg,172,00:00:01.241,Pass,
,,,,,,,,,,,,,,,,,1.393633,,,,,,,,,,,,,747f4814-6155-4ede-8c07-fa80193184fe,11,,"[48.4, 36.5]",3890535,0,,,,,-2.273543,,Right Foot,,,"[32.9, 18.2]",,Ground Pass,23.982077,,,,Ragnar Klavan,4174.0,,,,,,,1,From Kick Off,Daniel Baier,8317.0,Left Defensive Midfield,2,Augsburg,172,['4bf9187c-6e08-4735-a5d0-129cc5acfb21'],4,,,,,,,,,,,,,,,,,Augsburg,172,00:00:04.244,Pass,
,,,,,,,,,,,,,,,,,1.783983,,,,,,,,,,,,,ad408917-58bc-4140-98b0-74e5a9d97f2a,14,,"[26.7, 19.2]",3890535,0,,,,,1.579517,,Left Foot,,,"[26.4, 53.6]",,Ground Pass,34.40131,,,,Jeffrey Gouweleeuw,8318.0,,,,,,,1,From Kick Off,Ragnar Klavan,4174.0,Left Center Back,2,Augsburg,172,['293543b3-e0ef-4cfd-a050-8cd11f00dce5'],8,,,,,,,,,,,,,,,,,Augsburg,172,00:00:08.203,Pass,
