50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4ffd2d90-a3d2-4552-be8a-32adcb6f09fa,1,,,,3890536,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8814, 'name': 'Nico Elvedi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 30}, {'player': {'id': 3959, 'name': 'Andreas Christensen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 8395, 'name': 'Håvard Nordtveit'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 11285, 'name': 'Ibrahima Traoré'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 8809, 'name': 'Oscar Wendt'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 8238, 'name': 'Mahmoud Dahoud'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 8322, 'name': 'André Hahn'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 28}, {'player': {'id': 8810, 'name': 'Raffael Caetano de Araújo'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 5632, 'name': 'Thorgan Hazard'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,89509678-43b7-4d0c-a9eb-ffd467d9771d,2,,,,3890536,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 8393, 'name': 'Oliver Baumann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5537, 'name': 'Fabian Lukas Schär'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6322, 'name': 'Niklas Süle'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 25}, {'player': {'id': 12321, 'name': 'Tobias Strobl'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 8387, 'name': 'Mark Uth'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 8392, 'name': 'Jeremy Toljan'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 8404, 'name': 'Eugen Polanski'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6039, 'name': 'Sebastian Rudy'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 8403, 'name': 'Nadiem Amiri'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 27}, {'player': {'id': 8215, 'name': 'Kevin Volland'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 31}]}",Hoffenheim,175,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,36bed4cc-10a4-4e02-ad36-6ce5e8124041,3,,,,3890536,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,['b377ab14-aef3-4ff8-b77c-335b0bc7ebd4'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b377ab14-aef3-4ff8-b77c-335b0bc7ebd4,4,,,,3890536,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,['36bed4cc-10a4-4e02-ad36-6ce5e8124041'],0,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,f325fd30-831b-4203-9165-87897625f8eb,1925,,,,3890536,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Borussia Mönchengladbach,185,['d582e0a4-9f6d-4cdd-add0-8fc2f79e5880'],0,,,,,,,,,,,,,,,,,Hoffenheim,175,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d582e0a4-9f6d-4cdd-add0-8fc2f79e5880,1926,,,,3890536,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,94,Borussia Mönchengladbach,185,['f325fd30-831b-4203-9165-87897625f8eb'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.431229,,,,,,,,,,,87348327-5bb0-412b-9635-801ee19f4f13,5,,,"[60.0, 40.0]",3890536,0,,,,0.7853982,,Right Foot,,,,"[60.9, 40.9]",,Ground Pass,,1.2727922,,,Thorgan Hazard,5632.0,,,,,Kick Off,1,From Kick Off,André Hahn,8322.0,Right Attacking Midfield,2,Borussia Mönchengladbach,185,['36584703-ea21-4b46-b17b-11d499483107'],1,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:01.205,Pass,
,,,,,,,,,,,,,,,,,1.792568,,,,,,,,,,,775f8386-e45c-4e27-b92e-9b4a471a9316,7,,,"[60.6, 40.9]",3890536,0,,,,-2.6882539,,Right Foot,,,,"[41.1, 31.4]",,Ground Pass,,21.691011,,,Håvard Nordtveit,8395.0,,,,,,1,From Kick Off,Thorgan Hazard,5632.0,Center Forward,2,Borussia Mönchengladbach,185,['ff48db11-f6d1-4d30-a969-c63eaffaea1d'],1,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:01.637,Pass,
,,,,,,,,,,,,,,,,,1.286931,,,,,,,,,,,e56c6379-e7d7-473b-816a-2ce96e86a430,10,,,"[40.1, 33.1]",3890536,0,,,,1.4998257,,Right Foot,,,,"[41.6, 54.2]",,Ground Pass,,21.15325,,,Nico Elvedi,8814.0,,,,,,1,From Kick Off,Håvard Nordtveit,8395.0,Left Center Back,2,Borussia Mönchengladbach,185,['78ffcdfb-164f-469d-8aac-59da3fa5b599'],4,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:04.196,Pass,
,,,,,,,,,,,,,,,,,0.79394,,,,,,,,,,,2011a1d7-a77f-48c7-9dca-30df731101f8,13,,,"[44.4, 55.3]",3890536,0,,,,0.3932794,,Right Foot,,,,"[63.2, 63.1]",,Ground Pass,,20.353868,,,Mahmoud Dahoud,8238.0,,,,,,1,From Kick Off,Nico Elvedi,8814.0,Right Center Back,2,Borussia Mönchengladbach,185,['4f0925c4-ef54-4010-a5c4-722838989320'],6,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:06.794,Pass,
