50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2fc843d0-f198-4470-ad74-954871ad307e,1,,,3890553,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 19}, {'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 20950, 'name': 'Yanni Regäsel'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 400621, 'name': 'Tohouri Zahoui Constant Djakpa'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 18888, 'name': 'Szabolcs Huszti'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 35240, 'name': 'Änis Ben-Hatira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 32}, {'player': {'id': 7846, 'name': 'Luc Castaignos'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 30}]}",Eintracht Frankfurt,184,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,256a10a0-00af-47e1-aabd-bf3de916ab05,2,,,3890553,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 8225, 'name': 'Roman Bürki'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 38}, {'player': {'id': 13206, 'name': 'Erik Durm'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 37}, {'player': {'id': 8216, 'name': 'Sven Bender'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 11458, 'name': 'Marcel Schmelzer'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 29}, {'player': {'id': 8232, 'name': 'Nuri Şahin'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3275, 'name': 'Henrikh Mkhitaryan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5559, 'name': 'Marco Reus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 3712, 'name': 'Pierre-Emerick Aubameyang'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 24324, 'name': 'Gustavo Adrián Ramos Vásquez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Borussia Dortmund,180,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c6e31bf8-d024-4596-8689-3efc7605e737,3,,,3890553,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,['d52488cf-bf15-45f0-bf40-78f3375dab23'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d52488cf-bf15-45f0-bf40-78f3375dab23,4,,,3890553,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eintracht Frankfurt,184,['c6e31bf8-d024-4596-8689-3efc7605e737'],0,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,afdd6270-70d0-44c1-8172-1d819858c53c,1701,,,3890553,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,78,Borussia Dortmund,180,['4f785b52-6fef-49d8-b4f3-2556633eb2dd'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4f785b52-6fef-49d8-b4f3-2556633eb2dd,1702,,,3890553,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,78,Borussia Dortmund,180,['afdd6270-70d0-44c1-8172-1d819858c53c'],0,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.149738,,,,,,,,,,,,,6858c424-ada7-439e-9c45-5fec99d64308,5,,"[60.0, 40.0]",3890553,0,,,,-3.0548544,,Right Foot,,,,"[48.5, 39.0]",,Ground Pass,,11.543396,,,,Nuri Şahin,8232.0,,,,,Kick Off,1,From Kick Off,Gustavo Adrián Ramos Vásquez,24324.0,Left Center Forward,2,Borussia Dortmund,180,['31f09a3e-249e-4c6a-8776-b305f3c49cf3'],1,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:01.218,Pass,
,,,,,,,,,,,,,,,,1.124647,,,,,,,,,,,,,cf984f30-4694-4672-96a9-ff570d9c1be1,8,,"[49.9, 37.1]",3890553,0,,,,-1.478467,,Left Foot,,,,"[50.9, 26.3]",,Ground Pass,,10.846197,,,,Marco Reus,5559.0,,,,,,1,From Kick Off,Nuri Şahin,8232.0,Center Defensive Midfield,2,Borussia Dortmund,180,['69fe7cac-4109-4ca8-b914-c8f5f7a3d5d3'],3,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:03.023,Pass,
,,,,,,,,,,,,,,,,1.355913,,,,,,,,,,,,,4dbc61ad-597b-4284-903b-78fdce1816d0,10,,"[50.9, 26.3]",3890553,0,,,,-2.7908647,,Right Foot,,,,"[42.7, 23.3]",,Ground Pass,,8.731552,,,,Mats Hummels,5572.0,,,,,,1,From Kick Off,Marco Reus,5559.0,Left Center Midfield,2,Borussia Dortmund,180,['7f735c93-6f7a-4a1b-b120-2a807aa038cc'],4,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:04.148,Pass,
,,,,,,,,,,,,,,,,1.024511,,,,,,,,,,,,,3ef0b84c-44ee-4a39-9851-9585d31e4603,13,,"[42.7, 23.3]",3890553,0,,,,0.04051835,,Right Foot,,,,"[50.1, 23.6]",,Ground Pass,,7.406079,,,,Marco Reus,5559.0,,,,,,1,From Kick Off,Mats Hummels,5572.0,Left Center Back,2,Borussia Dortmund,180,['6962cfd7-f5cd-41ba-b1ec-dacf027eb7d3'],5,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:05.888,Pass,
