bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,031298c8-073b-4f77-aee0-eca3a9320bb3,1,,,3890557,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 23269, 'name': 'Felix Wiedwald'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 42}, {'player': {'id': 8396, 'name': 'Theodor Gebre Selassie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 8815, 'name': 'Jannik Vestergaard'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 7}, {'player': {'id': 3774, 'name': 'Papiss Mison Djilobodji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26359, 'name': 'Santiago García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 20010, 'name': 'Clemens Fritz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 11396, 'name': 'Florian Grillitsch'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 8554, 'name': 'Levin Mete Öztunali'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 8762, 'name': 'Zlatko Junuzović'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 8401, 'name': 'Maximilian Eggestein'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 35}, {'player': {'id': 11132, 'name': 'Claudio Miguel Pizarro Bossio'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Werder Bremen,176,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d1a03cc8-d2be-4353-b009-17b08858a274,2,,,3890557,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,,0,,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20950, 'name': 'Yanni Regäsel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 9134, 'name': 'Aleksandar Ignjovski'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 35240, 'name': 'Änis Ben-Hatira'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 32}, {'player': {'id': 400621, 'name': 'Tohouri Zahoui Constant Djakpa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 5543, 'name': 'Haris Seferović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Eintracht Frankfurt,184,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,351f5887-8645-48d2-ac37-303d90532ada,3,,,3890557,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['3bfd9a77-7722-4684-9937-1957c086a2c2'],0,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3bfd9a77-7722-4684-9937-1957c086a2c2,4,,,3890557,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Werder Bremen,176,['351f5887-8645-48d2-ac37-303d90532ada'],0,,,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,75b9d292-0edd-4865-bd7e-4ebfea4c0a6d,1643,,,3890557,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,98,Werder Bremen,176,['be8c16cc-af4c-4b05-9dbb-dd046a10c88a'],0,,,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,be8c16cc-af4c-4b05-9dbb-dd046a10c88a,1644,,,3890557,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,98,Werder Bremen,176,['75b9d292-0edd-4865-bd7e-4ebfea4c0a6d'],0,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.332718,,,,,,,,,,,,,,1dccd2e3-4a64-4ff5-9af2-b7df4f936614,5,,"[60.0, 40.0]",3890557,0,,,,,0.7055682,,Right Foot,,,,"[62.7, 42.3]",Ground Pass,,3.5468295,,,,,Zlatko Junuzović,8762.0,,,,,Kick Off,1,From Kick Off,Claudio Miguel Pizarro Bossio,11132.0,Center Forward,2,Werder Bremen,176,['75207579-f6c6-4871-a3a3-f236829c9405'],0,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.320,Pass,
,,,,,,,,,,,,,,,,,,1.268634,,,,,,,,,,,,,,9ec093d2-acc7-4eda-aafc-070c611b54a9,8,,"[62.1, 43.6]",3890557,0,,,,,-3.0216045,,Right Foot,,,,"[48.0, 41.9]",Ground Pass,,14.202112,,,,,Florian Grillitsch,11396.0,,,,,,1,From Kick Off,Zlatko Junuzović,8762.0,Center Attacking Midfield,2,Werder Bremen,176,['4033b89d-4c78-4741-b603-ada6178c7a00'],0,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:00.752,Pass,
,,,,,,,,,,,,,,,,,,1.809962,,,,,,,,,,,,,,7c2e5485-c825-4363-86bb-204fb1eaa555,12,,"[45.8, 45.1]",3890557,0,,,,,-1.2753555,,Right Foot,,,,"[56.3, 10.6]",Ground Pass,,36.062447,,,,,Santiago García,26359.0,,,,,,1,From Kick Off,Florian Grillitsch,11396.0,Left Defensive Midfield,2,Werder Bremen,176,['d20c9f9d-bd93-4702-9828-cc81ea6819ef'],5,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:05.795,Pass,
,,,,,,,,,,,,,,,,,,1.607993,,,,,,,,,,,,,,13725ef3-54e2-43a6-b2c0-cd80f0fe1c79,16,,"[54.2, 5.9]",3890557,0,,,,,2.3379037,,Left Foot,,,,"[38.1, 22.6]",Ground Pass,,23.196983,,,,,Papiss Mison Djilobodji,3774.0,,,,,,1,From Kick Off,Santiago García,26359.0,Left Back,2,Werder Bremen,176,['742c9993-d7f9-4894-bfe8-e26e3a14e577'],7,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:07.787,Pass,
