50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,dacc6c3a-9a29-4b42-b0b2-af2e469d3da7,1,,,,3895220,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 8919, 'name': 'Marcel Schuhen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15797, 'name': 'Matthias Bader'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 11814, 'name': 'Christoph Zimmermann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 153361, 'name': 'Matej Maglica'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8606, 'name': 'Emir Karic'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 39160, 'name': 'Bartol Franjić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 9222, 'name': 'Fabian Holland'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 9209, 'name': 'Tim Skarke'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 27}, {'player': {'id': 12629, 'name': 'Gerrit Holtmann'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 25}, {'player': {'id': 48655, 'name': 'Luca Pfeiffer'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 42543, 'name': 'Oscar Vilhelmsson'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 29}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1d14a4f3-980f-461b-aaa8-ec0ef4005019,2,,,,3895220,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 49337, 'name': 'Josip Stanišić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 38004, 'name': 'Piero Martín Hincapié Reyna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 41411, 'name': 'Nathan Tella'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 19}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 9195, 'name': 'Robert Andrich'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 28239, 'name': 'Adam Hložek'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 11391, 'name': 'Borja Iglesias Quintas'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,05754d72-0e8e-4760-8955-c565302ec105,3,,,,3895220,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['d06c3555-dd69-4ce5-a921-c422b3c3b835'],0,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d06c3555-dd69-4ce5-a921-c422b3c3b835,4,,,,3895220,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Darmstadt 98,872,['05754d72-0e8e-4760-8955-c565302ec105'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,358c321e-76c2-4cc1-bbbb-123ef3b2d0f1,2153,,,,3895220,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Bayer Leverkusen,904,['a614bbf0-7fd2-4ed6-b68f-2736542a48e6'],0,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a614bbf0-7fd2-4ed6-b68f-2736542a48e6,2154,,,,3895220,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Bayer Leverkusen,904,['358c321e-76c2-4cc1-bbbb-123ef3b2d0f1'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.568556,,,,,,,,,,,,81d56851-5748-48bc-a580-d5fa8579448d,5,,,"[60.0, 40.0]",3895220,0,,,,,-3.109518,,Right Foot,,,"[41.3, 39.4]",,Ground Pass,,18.709623,,,,Josip Stanišić,49337.0,,,,,Kick Off,1,From Kick Off,Granit Xhaka,3500.0,Left Defensive Midfield,2,Bayer Leverkusen,904,['a5912669-8ffd-4927-9000-5c281feb087a'],1,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:01.037,Pass,
,,,,,,,,,,,,,,,,,,,3.070224,,,,,,,,,,,,6ac9da16-c31d-4093-8f27-ed46c10d6fdb,9,,,"[42.0, 41.3]",3895220,0,,,,,-0.30673668,,Right Foot,,,"[92.2, 25.4]",,High Pass,,52.65786,,Incomplete,,Borja Iglesias Quintas,11391.0,,,,,,1,From Kick Off,Josip Stanišić,49337.0,Right Center Back,2,Bayer Leverkusen,904,"['346baf63-1afd-433d-858e-f8848ea50fee', '9676c2b1-d9f2-44ce-834a-6dea74607214', 'c0328dff-b21a-4db8-9466-209a0a1ecf10']",3,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:03.704,Pass,True
,,,,,,,,,,,,,,,,,,,1.481298,,,,,,,,,,,,7389eb91-331d-4b22-9ff2-77e28a295131,19,,,"[77.5, 31.0]",3895220,0,,,,,-0.07580384,e128f2ad-a770-4804-9c04-684fd5dcbdd9,Left Foot,,,"[93.3, 29.8]",,Ground Pass,,15.845504,,,,Gerrit Holtmann,12629.0,True,,,,,1,Regular Play,Oscar Vilhelmsson,42543.0,Left Center Forward,3,Darmstadt 98,872,['2b95529c-6774-441f-9566-6f620bba3b50'],14,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:14.066,Pass,
,,,,,,,,,,,,,,,,,,,0.845911,,,,,,,,,,,,e9da69ff-ea39-4da1-9f79-c5009d5d5283,25,,,"[6.0, 41.5]",3895220,0,,True,,,0.93441254,,Right Foot,,,"[22.7, 64.1]",,Ground Pass,,28.100712,,,,Josip Stanišić,49337.0,,,,,Goal Kick,1,From Goal Kick,Lukáš Hrádecký,8667.0,Goalkeeper,4,Bayer Leverkusen,904,['97bcf892-cacb-45f2-9ea9-1faf47842059'],28,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:28.610,Pass,
,,,,,,,,,,,,,,,,,,,1.323592,,,,,,,,,,,,2b0dcc0d-1f97-43e6-8e31-68a867d3dcba,27,,,"[22.1, 59.2]",3895220,0,,,,,-2.0546725,,Right Foot,,,"[14.9, 45.5]",,Ground Pass,,15.476757,,,,Jonathan Tah,8221.0,,,,,,1,From Goal Kick,Josip Stanišić,49337.0,Right Center Back,4,Bayer Leverkusen,904,['adab86c5-81f2-4176-9c49-5a830940bb99'],34,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:34.301,Pass,
,,,,,,,,,,,,,,,,,,,2.065802,,,,,,,,,,,,9dee14d6-54d9-49f4-9a3c-fbbf2cf4b150,31,,,"[18.7, 41.9]",3895220,0,,,,,-1.5120405,,Right Foot,,,"[20.4, 13.0]",,Ground Pass,,28.949957,,,,Piero Martín Hincapié Reyna,38004.0,,,,,,1,From Goal Kick,Jonathan Tah,8221.0,Center Back,4,Bayer Leverkusen,904,['e4ebed5c-3ae6-4584-aa83-5921aef0b55b'],36,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:36.676,Pass,
,,,,,,,,,,,,,,,,,,,1.02578,,,,,,,,,,,,3b063941-9b68-4f5e-9075-21b2807827fb,34,,,"[21.0, 13.0]",3895220,0,,,,,0.12149172,,Left Foot,,,"[38.2, 15.1]",,Ground Pass,,17.327723,,,,Florian Wirtz,40724.0,,,,,,1,From Goal Kick,Piero Martín Hincapié Reyna,38004.0,Left Center Back,4,Bayer Leverkusen,904,['e4a2bd72-bd90-474b-abd8-0d1825d6fc0e'],39,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:39.782,Pass,
,,,,,,,,,,,,,,,,,,,0.637603,,,,,,,,,,,,30c1f716-b3c9-4542-835a-d228d490e78a,37,,,"[37.9, 14.6]",3895220,0,,,,,2.8049178,,Right Foot,,,"[29.9, 17.4]",,Ground Pass,,8.475848,,,,Robert Andrich,9195.0,,,,,,1,From Goal Kick,Florian Wirtz,40724.0,Left Attacking Midfield,4,Bayer Leverkusen,904,"['4a31bf33-ae36-4243-a1a6-00e555e07e3b', 'e4b4147d-eeb4-49bc-808a-a9db785f10db']",40,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:40.808,Pass,True
,,,,,,,,,,,,,,,,,,,3.009946,,,,,,,,,,,,880f10fa-1bce-4b85-a36d-54eb9a7ad036,39,,,"[29.9, 17.4]",3895220,0,,,,,-0.42114744,,Left Foot,,,"[61.6, 3.2]",,High Pass,,34.73514,,,,Borja Iglesias Quintas,11391.0,,,,,,1,From Goal Kick,Robert Andrich,9195.0,Right Defensive Midfield,4,Bayer Leverkusen,904,['ca1a986b-dbac-42d7-92dd-f30790843e4d'],41,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:41.446,Pass,
