50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,78c8e863-d549-4a3c-b8b3-1cc50891c651,1,,,,3895258,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7095, 'name': 'Marvin Schwäbe'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 29682, 'name': 'Rasmus Carstensen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 35637, 'name': 'Timo Hübers'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 8352, 'name': 'Julian Chabot'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 405983, 'name': 'Max Finkgräfe'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 35}, {'player': {'id': 38991, 'name': 'Eric Martel'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 8623, 'name': 'Dejan Ljubicic'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 134880, 'name': 'Faride Alidou'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 40}, {'player': {'id': 12318, 'name': 'Linton Maina'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 37}, {'player': {'id': 9125, 'name': 'Sargis Adamyan'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 33335, 'name': 'Jan Thielmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 29}]}",FC Köln,186,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,60d224e8-efd8-4f5a-8705-14b4ace97eae,2,,,,3895258,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 49337, 'name': 'Josip Stanišić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 38004, 'name': 'Piero Martín Hincapié Reyna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 32712, 'name': 'Jeremie Frimpong'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 9195, 'name': 'Robert Andrich'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8804, 'name': 'Jonas Hofmann'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 7044, 'name': 'Patrik Schick'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7955c8e1-8a68-4ba3-8fc7-d6383053f6e4,3,,,,3895258,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,['fd37daf8-17c2-49f9-ae51-d34f3b17204e'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fd37daf8-17c2-49f9-ae51-d34f3b17204e,4,,,,3895258,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,FC Köln,186,['7955c8e1-8a68-4ba3-8fc7-d6383053f6e4'],0,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ed6cd113-ee7a-4c34-9571-922a27ed9269,1821,,,,3895258,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,81,Bayer Leverkusen,904,['20379482-ce7f-4409-9513-333138f4c32b'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,20379482-ce7f-4409-9513-333138f4c32b,1822,,,,3895258,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,81,Bayer Leverkusen,904,['ed6cd113-ee7a-4c34-9571-922a27ed9269'],0,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.974975,,,,,,,,,,,,,,0062b854-283d-4b44-8a6c-c222de0ee53b,5,,,"[60.0, 40.0]",3895258,0,,,,,3.1415927,,Right Foot,,,"[48.7, 40.0]",,Ground Pass,,11.3,,,Eric Martel,38991.0,,,,,,Kick Off,1,From Kick Off,Jan Thielmann,33335.0,Left Center Forward,2,FC Köln,186,['9b64b854-3408-4ebb-967f-576b0d62d23d'],0,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:00.880,Pass,
,,,,,,,,,,,,,,,,,1.267556,,,,,,,,,,,,,,686f9ac9-7b5f-4099-b9f8-055724e3feac,8,,,"[48.0, 40.0]",3895258,0,,,,,-2.2272313,,Right Foot,,,"[32.9, 20.4]",,Ground Pass,,24.74207,,,Julian Chabot,8352.0,,,,,,,1,From Kick Off,Eric Martel,38991.0,Right Defensive Midfield,2,FC Köln,186,['88bf62d3-9c46-48e3-8f8c-7da8485749b5'],2,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:02.829,Pass,
,,,,,,,,,,,,,,,,,1.87222,,,,,,,,,,,,,,9b72a70f-ebab-4852-886d-8b6f5ddc4443,11,,,"[32.9, 20.1]",3895258,0,,,,,1.747216,,Left Foot,,,"[26.5, 56.0]",,Ground Pass,,36.46601,,,Timo Hübers,35637.0,,,,,,,1,From Kick Off,Julian Chabot,8352.0,Left Center Back,2,FC Köln,186,['ba20b552-0d3b-4bd7-b3dc-982f618d8bc0'],5,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:05.313,Pass,
,,,,,,,,,,,,,,,,,3.276823,,,,,,,,,,,,,,b69042ca-fb93-47af-add3-0b87ff036899,14,,,"[32.9, 61.5]",3895258,0,,,,,0.09329562,,Right Foot,,,"[84.2, 66.3]",,High Pass,,51.52407,Incomplete,,Jan Thielmann,33335.0,,,,,,,1,From Kick Off,Timo Hübers,35637.0,Right Center Back,2,FC Köln,186,"['0084eb5f-60eb-4cfe-a009-457ce32469f5', '6e41be9a-218f-4d6d-95ff-767bea92e9fb']",8,,,,,,,,,,,,,,,,,,FC Köln,186,00:00:08.901,Pass,
