50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a93f04d3-977f-4c1a-a152-f915fa23617e,1,,,3895275,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Freiburg,183,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 48246, 'name': 'Noah Atubolu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 79429, 'name': 'Kiliann Sildillia'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 28}, {'player': {'id': 12422, 'name': 'Manuel Gulde'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 8361, 'name': 'Ritsu Doan'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 42}, {'player': {'id': 8945, 'name': 'Christian Günter'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 30}, {'player': {'id': 8939, 'name': 'Nicolas Höfler'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 48240, 'name': 'Merlin Röhl'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 12418, 'name': 'Lucas Höler'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 11282, 'name': 'Vincenzo Grifo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 32}, {'player': {'id': 19316, 'name': 'Roland Sallai'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Freiburg,183,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,55142e05-3c63-498a-a6e6-396366d77ae7,2,,,3895275,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Freiburg,183,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 49337, 'name': 'Josip Stanišić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 38004, 'name': 'Piero Martín Hincapié Reyna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 32712, 'name': 'Jeremie Frimpong'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 28268, 'name': 'Exequiel Alejandro Palacios'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 28239, 'name': 'Adam Hložek'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 7044, 'name': 'Patrik Schick'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,76baa38d-9822-4326-bf7b-4e195e2b41a4,3,,,3895275,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Freiburg,183,['8a1d4c7f-7b4f-4542-8eda-953bb773af45'],0,,,,,,,,,,,,,,,,,Freiburg,183,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8a1d4c7f-7b4f-4542-8eda-953bb773af45,4,,,3895275,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Freiburg,183,['76baa38d-9822-4326-bf7b-4e195e2b41a4'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,12be45d0-1555-48b6-bafc-0a1f4481ef54,2039,,,3895275,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,64,Bayer Leverkusen,904,['902549e2-6c57-444c-8c6b-492ecec725e4'],0,,,,,,,,,,,,,,,,,Freiburg,183,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,902549e2-6c57-444c-8c6b-492ecec725e4,2040,,,3895275,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,64,Bayer Leverkusen,904,['12be45d0-1555-48b6-bafc-0a1f4481ef54'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.72068,,,,,,,,,,,ca79b923-0a65-4a02-8bfe-3512a0c1d62b,5,,"[60.0, 40.0]",3895275,0,,,,,-2.894545,,Right Foot,,,"[25.9, 31.4]",,Ground Pass,,35.16774,,,Noah Atubolu,48246.0,,,,Kick Off,1,From Kick Off,Vincenzo Grifo,11282.0,Left Wing,2,Freiburg,183,['784812a7-efda-4549-9420-277f7d3a4134'],1,,,,,,,,,,,,,,,,,Freiburg,183,00:00:01.152,Pass,
,,,,,,,,,,,,,,,,1.632518,,,,,,,,,,,4f0ff9f8-d126-40b1-9780-a4103e2f214c,8,,"[30.0, 30.9]",3895275,0,,,,,-0.72151214,,Right Foot,,,"[45.8, 17.0]",,Ground Pass,,21.044,,,Manuel Gulde,12422.0,,,,,1,From Kick Off,Noah Atubolu,48246.0,Goalkeeper,2,Freiburg,183,['e712e831-12b7-4e68-b967-67a8bd30c746'],9,,,,,,,,,,,,,,,,,Freiburg,183,00:00:09.774,Pass,
,,,,,,,,,,,,,,,,2.586331,,,,,,,,,,,f494d274-4c16-4085-9887-56361bcc66e7,11,,"[47.5, 23.9]",3895275,0,,,,,0.47055,,Right Foot,,,"[93.7, 47.4]",,High Pass,,51.83329,,Incomplete,Lucas Höler,12418.0,,,,,1,From Kick Off,Manuel Gulde,12422.0,Left Center Back,2,Freiburg,183,"['09f47598-bc06-40c7-97d3-1ce2f6236dab', '1a7f11bf-e0bb-4432-9dfa-02602931d6e8']",12,,,,,,,,,,,,,,,,,Freiburg,183,00:00:12.755,Pass,
,,,,,,,,,,,,,,,,2.02834,,,,,,,,,,,1a7f11bf-e0bb-4432-9dfa-02602931d6e8,13,,"[26.4, 32.7]",3895275,0,,,,,0.13605893,,Head,,,"[43.2, 35.0]",,High Pass,,16.956709,,Incomplete,Patrik Schick,7044.0,,,,Recovery,1,From Kick Off,Piero Martín Hincapié Reyna,38004.0,Left Center Back,2,Freiburg,183,"['514b0134-ec04-48af-959d-0eef4bccbce2', 'c8a1609d-3baa-460b-bbc7-bb97437c0fd5', 'f494d274-4c16-4085-9887-56361bcc66e7']",15,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:15.342,Pass,
