50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,77a34793-10d4-4e61-9a4c-a5e4e2f2bc5b,1,,,,19741,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,,"{'formation': 3142, 'lineup': [{'player': {'id': 15615, 'name': 'Pauline Peyraud Magnin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 18999, 'name': 'Leah Williamson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 20}, {'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 10179, 'name': 'Lisa Evans'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 15619, 'name': 'Bethany Mead'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 10192, 'name': 'Jordan Nobbs'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 15623, 'name': 'Vivianne Miedema'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Arsenal WFC,968,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,ad0f33f3-c363-4798-8dfd-4ebee9118008,2,,,,19741,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,,0,,,,,,,,,,,,,,,,,"{'formation': 4222, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18144, 'name': 'Rebecca Jane'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18152, 'name': 'Kirstyn Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10198, 'name': 'Josanne Potter'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15706, 'name': 'Rachel Furness'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 15726, 'name': 'Lauren Bruton'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,85f2f087-d24f-42b1-9459-71b76819a36b,3,,,,19741,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['f395554c-6f6e-47ba-bd72-9b340df260b7'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,f395554c-6f6e-47ba-bd72-9b340df260b7,4,,,,19741,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Arsenal WFC,968,['85f2f087-d24f-42b1-9459-71b76819a36b'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,e8be7998-ac54-4faf-be4c-562af751f6c5,1593,,,,19741,45,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,83,Reading WFC,974,['e1377e08-266d-4fa0-8ab7-d697b9a62cf1'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,e1377e08-266d-4fa0-8ab7-d697b9a62cf1,1594,,,,19741,45,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,83,Reading WFC,974,['e8be7998-ac54-4faf-be4c-562af751f6c5'],0,,,,,,,,,,,,,,,,,,Arsenal WFC,968,00:00:00.000,Half Start,
,,,,,,,,,,,,1.4644,,,,,,,,,,b00cfdc2-d16e-4f1e-8623-f46d89a340be,5,,,"[60.0, 40.0]",19741,0,,,,-2.0647378,,,Right Foot,,,,"[53.0, 27.0]",,Ground Pass,14.764823,,Natasha Harding,15725.0,,,Kick Off,1,From Kick Off,Fara Williams,10251.0,Right Defensive Midfield,2,Reading WFC,974,['d9fa22c4-1bb1-4ed9-9fed-cef7a3c04e4d'],2,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:02.202,Pass,
,,,,,,,,,,,,1.2918,,,,,,,,,,7f434df7-5004-4e03-8d4b-2e759c4b77a8,9,,,"[52.0, 25.0]",19741,0,,,,3.0648208,,,Right Foot,,,,"[39.0, 26.0]",,Ground Pass,13.038404,,Josanne Potter,10198.0,,,,1,From Kick Off,Natasha Harding,15725.0,Left Back,2,Reading WFC,974,"['11869004-6aa1-47f6-b81e-ee8a4432eb73', '51176b24-3f2f-44ee-8cbe-9b853f48a925']",4,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:04.306,Pass,True
,,,,,,,,,,,,0.878799,,,,,,,,,,74c933e7-2b07-4da0-9f08-74d06d374706,13,,,"[38.0, 27.0]",19741,0,,,,0.61072594,,,Left Foot,,,,"[48.0, 34.0]",,Ground Pass,12.206555,,Rachel Furness,15706.0,,,,1,From Kick Off,Josanne Potter,10198.0,Left Center Back,2,Reading WFC,974,['f9013b8b-2c1f-4874-83dc-5ce86b69bd50'],6,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:06.827,Pass,
,,,,,,,,,,,,1.352,,,,,,,,,,2b91736c-3637-4d29-a120-d5da58669c8d,16,,,"[48.0, 33.0]",19741,0,,,,-2.176341,,,Left Foot,,,,"[39.0, 20.0]",,Ground Pass,15.811388,,Josanne Potter,10198.0,,,,1,From Kick Off,Rachel Furness,15706.0,Left Defensive Midfield,2,Reading WFC,974,['9a6dd11e-ea24-4832-abd8-0d42f966e814'],8,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:08.877,Pass,
