50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6e5751c6-32d0-4abb-9294-f56807abb5d9,1,,,2275107,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19780, 'name': 'Rachel Rowe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 15720, 'name': 'Sophie Howard'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 31628, 'name': 'Kristine Leine'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 15724, 'name': 'Mayumi Pacheco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10190, 'name': 'Jade Moore'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 26570, 'name': 'Amalie Vevle Eikeland'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3e8ce062-96e1-462b-a8f3-6d7d710c4559,2,,,2275107,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 4637, 'name': 'Ellie Roebuck'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 19503, 'name': 'Aoife Mannion'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 10185, 'name': 'Stephanie Houghton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 15554, 'name': 'Gemma Bonner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 4651, 'name': 'Demi Stokes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4658, 'name': 'Keira Walsh'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 4992, 'name': 'Janine Elizabeth Beckie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10188, 'name': 'Caroline Weir'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 10099, 'name': 'Tessa Wullaert'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 25}, {'player': {'id': 20725, 'name': 'Pauline Bremer'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Manchester City WFC,746,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,24e7f279-fde6-462d-9842-e9153e8549b5,3,,,2275107,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['23b8c795-8686-46e0-8c1f-2956a80a1d9f'],0,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,23b8c795-8686-46e0-8c1f-2956a80a1d9f,4,,,2275107,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['24e7f279-fde6-462d-9842-e9153e8549b5'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d3572ea1-3278-4b2e-bb2c-6c7b56fe04e7,1977,,,2275107,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,87,Manchester City WFC,746,['df2fd684-2e62-4562-aee6-14bee293cc7a'],0,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,df2fd684-2e62-4562-aee6-14bee293cc7a,1978,,,2275107,45,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,87,Manchester City WFC,746,['d3572ea1-3278-4b2e-bb2c-6c7b56fe04e7'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,2.124067,,,,,,,,,,,,573b464b-45e2-458a-a25e-f45b27be9f6f,5,,"[60.0, 40.0]",2275107,0,,,,2.1509798,,Right Foot,,,,"[42.5, 66.7]",Ground Pass,,31.923973,,,Rachel Rowe,19780.0,,,,,Kick Off,1,From Kick Off,Brooke Chaplen,15723.0,Center Forward,2,Reading WFC,974,['15cd452c-bb7b-49a8-abd8-cdf96a4dadc6'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.525,Pass,
,,,,,,,,,,,,,,,,1.404769,,,,,,,,,,,,419a654f-4f10-41bb-b786-cf2370d54abe,8,,"[46.5, 68.2]",2275107,0,,,,0.5506756,,Left Foot,,,,"[57.9, 75.2]",Ground Pass,,13.377593,,,Natasha Harding,15725.0,,,,,,1,From Kick Off,Rachel Rowe,19780.0,Right Back,2,Reading WFC,974,['e70c9360-b944-4dcd-a2b2-234f3150901b'],4,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:04.376,Pass,
,,,,,,,,,,,,,,,,2.086632,,,,,,,,,,,,4ab3f234-4af6-4396-9b64-7837cb47437b,12,,"[46.1, 74.4]",2275107,0,,,,-2.7269564,,Right Foot,,,,"[20.2, 63.0]",Low Pass,,28.29788,,,Sophie Howard,15720.0,,,,,,1,From Kick Off,Natasha Harding,15725.0,Right Wing,2,Reading WFC,974,"['4e110021-f107-4917-b0a7-341dedc5f7d5', '7527d816-4b7f-468b-808b-d5d14008a14b']",8,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:08.739,Pass,True
,,,,,,,,,,,,,,,,2.104878,,,,,,,,,,,,6ec65a2b-4066-4b1d-9119-499089bb8a00,16,,"[20.4, 63.9]",2275107,0,,,,0.10948006,,Right Foot,,,,"[57.7, 68.0]",High Pass,,37.52466,,,Brooke Chaplen,15723.0,,,,,,1,From Kick Off,Sophie Howard,15720.0,Right Center Back,2,Reading WFC,974,"['452a545b-6446-48b2-8064-75725dc32b08', 'd8c7c5c2-0c3f-4e5f-9530-2654b5a6dde5']",11,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:11.026,Pass,True
,,,,,,,,,,,,,,,,0.651721,,,,,,,,,,,,567d6479-c7b9-4766-8db7-0e3d2e5b43ca,20,,"[55.5, 63.9]",2275107,0,,,,-2.899384,,Right Foot,,,,"[47.0, 61.8]",Ground Pass,,8.755569,,,Jade Moore,10190.0,,,,,,1,From Kick Off,Brooke Chaplen,15723.0,Center Forward,2,Reading WFC,974,['bc9202a7-5c2e-44f4-acf6-b3ad58248fe8'],14,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:14.573,Pass,
,,,,,,,,,,,,,,,,5.154678,,,,,,,,,,,,5a72c331-82ce-477d-9d39-dbcbbe2ae766,23,,"[47.0, 61.8]",2275107,0,,,,-0.0890203,,Right Foot,,,,"[107.5, 56.4]",High Pass,,60.740513,Incomplete,,,,,,,,,1,From Kick Off,Jade Moore,10190.0,Right Center Midfield,2,Reading WFC,974,['8e6ccc2b-6235-44ce-bbcf-885c8614a4eb'],15,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:15.262,Pass,
,,,,,,,,,,,,,,,,1.392648,,,,,,,,,,,,4189aa5e-e00b-4c05-ae03-2c12b4fd72ae,26,,"[14.3, 29.0]",2275107,0,,,,1.6637179,,Right Foot,,,,"[11.7, 56.9]",Low Pass,,28.020885,,,Stephanie Houghton,10185.0,,,,,,1,Regular Play,Ellie Roebuck,4637.0,Goalkeeper,3,Manchester City WFC,746,['82f8254c-c1e7-440d-adaf-389cf225c22f'],26,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:26.087,Pass,
,,,,,,,,,,,,,,,,1.940887,,,,,,,,,,,,33114925-9b58-4cda-b5bd-de3bf2e13aae,29,,"[10.7, 59.0]",2275107,0,,,,-1.6142472,,Right Foot,,,,"[10.0, 42.9]",Ground Pass,,16.11521,,,Ellie Roebuck,4637.0,,,,,,1,Regular Play,Stephanie Houghton,10185.0,Right Center Back,3,Manchester City WFC,746,['45fafdb2-1a62-483d-b97b-3713ce62d6cb'],28,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:28.964,Pass,
,,,,,,,,,,,,,,,,1.607475,,,,,,,,,,,,78c38e36-4c63-410d-9188-afccf20912da,32,,"[10.0, 41.2]",2275107,0,,,,-1.4016951,,Right Foot,,,,"[12.8, 24.8]",Ground Pass,,16.637308,,,Gemma Bonner,15554.0,,,,,,1,Regular Play,Ellie Roebuck,4637.0,Goalkeeper,3,Manchester City WFC,746,['94c71f91-e416-472e-846c-c9a3ac037d78'],32,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:00:32.265,Pass,
