ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,be9c2167-e4c8-46b5-8c63-759be81eed55,1,,,,2275122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19780, 'name': 'Rachel Rowe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 31628, 'name': 'Kristine Leine'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 15720, 'name': 'Sophie Howard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 15724, 'name': 'Mayumi Pacheco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10190, 'name': 'Jade Moore'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 18149, 'name': 'Remi Allen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15723, 'name': 'Brooke Chaplen'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 26570, 'name': 'Amalie Vevle Eikeland'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 4}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,156ed57f-31ee-4a09-bc52-68d80e8b5f3a,2,,,,2275122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 31527, 'name': 'Ebony Salmon'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 31714, 'name': 'Georgia Wilson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 23412, 'name': 'Abigail Harrison'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f6c9c877-725a-4d51-82d1-ee4e0a7f335c,3,,,,2275122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['371b482c-f5e9-448f-86af-259d3b68b200'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,371b482c-f5e9-448f-86af-259d3b68b200,4,,,,2275122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['f6c9c877-725a-4d51-82d1-ee4e0a7f335c'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5c4fd57e-1f88-4d1a-bd4f-76e33dcb127c,1631,,,,2275122,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Reading WFC,974,['6028cbfa-e8c7-4ee6-bf59-86cbeb19dada'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6028cbfa-e8c7-4ee6-bf59-86cbeb19dada,1632,,,,2275122,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,90,Reading WFC,974,['5c4fd57e-1f88-4d1a-bd4f-76e33dcb127c'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.101591,,,,,,,,,,,,,245ca0da-62ba-453c-a1aa-fedd0aa58a10,5,,,"[61.0, 40.1]",2275122,0,,,,,-3.0068214,,Right Foot,,,,"[43.3, 37.7]",,Ground Pass,,17.86197,,,,,Carla Humphrey,16384.0,,,,,,Kick Off,1,From Kick Off,Abigail Harrison,23412.0,Center Forward,2,Bristol City WFC,973,['d64e9b88-f4de-47c5-aa56-370f9c944229'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.981,Pass,
,,,,,,,,,,,,,,,,,1.610481,,,,,,,,,,,,,3e3f7930-f88a-460d-a7ed-89fd90cb3f6a,8,,,"[45.4, 40.6]",2275122,0,,,,,1.7625055,,Right Foot,,,,"[40.8, 64.3]",,Ground Pass,,24.142286,,,,,Loren Dykes,16391.0,,,,,,,1,From Kick Off,Carla Humphrey,16384.0,Right Center Midfield,2,Bristol City WFC,973,['84702cb2-5bc2-40a8-bfd9-7bf920b1b554'],3,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:03.622,Pass,
,,,,,,,,,,,,,,,,,1.98921,,,,,,,,,,,,,20543e69-ac00-40ef-aab6-f038e886fd3d,11,,,"[40.6, 65.4]",2275122,0,,,,,0.0,,Right Foot,,,,"[73.9, 65.4]",,High Pass,,33.3,,,Incomplete,,Ebony Salmon,31527.0,,,,,,,1,From Kick Off,Loren Dykes,16391.0,Right Back,2,Bristol City WFC,973,"['29149fe0-9948-4579-8c67-ba26b233ebd9', 'edb4aa7a-7ae9-4da5-b11c-a3a811a1145e']",6,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:06.315,Pass,
,,,,,,,,,,,,,,,,,1.430514,,,,,,,,,,,,,29149fe0-9948-4579-8c67-ba26b233ebd9,13,,,"[46.2, 14.7]",2275122,0,,,,,1.4056476,,Other,,,,"[47.2, 20.7]",,Low Pass,,6.0827627,,,,,Jade Moore,10190.0,,,,,,Recovery,1,Regular Play,Mayumi Pacheco,15724.0,Left Back,3,Reading WFC,974,"['20543e69-ac00-40ef-aab6-f038e886fd3d', 'c6eb01a8-0cf8-4d73-bfc8-8f93f14081ed']",8,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:08.304,Pass,
