50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,63a9724e-91de-4f3d-9a28-f9117f81df2a,1,,,,3775570,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 32403, 'name': 'Emma Wilhelmina Koivisto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 23289, 'name': 'Emily Simpkins'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 25453, 'name': 'Geum-Min Lee'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,516586ad-3541-4f42-9fb0-7eead78738d0,2,,,,3775570,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 30}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 4646, 'name': 'Claire Emslie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,76e0cdd7-f90a-4ba7-97db-2dbb1de502e9,3,,,,3775570,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['9c7b4d96-bcbe-4475-bcbf-1e6179bac234'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,9c7b4d96-bcbe-4475-bcbf-1e6179bac234,4,,,,3775570,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['76e0cdd7-f90a-4ba7-97db-2dbb1de502e9'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cdb8a34a-298a-4c2b-8e8c-327133560b01,1873,,,,3775570,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Everton LFC,967,['11a7e79c-ae41-4e83-bf8a-7170c3738480'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,11a7e79c-ae41-4e83-bf8a-7170c3738480,1874,,,,3775570,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Everton LFC,967,['cdb8a34a-298a-4c2b-8e8c-327133560b01'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.616956,,,,,,,,,,,,,,,1a1bbece-c667-442f-8fe3-2b0c413681d3,5,,,"[60.0, 40.0]",3775570,0,,,,,-2.7049656,,Right Foot,,,,"[52.5, 36.5]",,Ground Pass,,8.276473,,,,Isobel Mary Christiansen,4645.0,,,,,Kick Off,1,From Kick Off,Simone Magill,15559.0,Center Forward,2,Everton LFC,967,['28c3438e-a1c8-4518-a008-6d21d8a40f85'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.498,Pass,
,,,,,,,,,,,,,,,,2.376853,,,,,,,,,,,,,,,56c5117b-9916-45f1-b4b0-b6e08d732bac,8,,,"[52.9, 39.2]",3775570,0,,,,,0.7273786,,Right Foot,,,,"[86.6, 69.2]",,High Pass,,45.11862,,,Incomplete,Jill Scott,10172.0,,,,,,1,From Kick Off,Isobel Mary Christiansen,4645.0,Center Attacking Midfield,2,Everton LFC,967,"['2cbb0193-5e80-4ac4-a5e7-e7bbf0c844e3', 'fdfa144a-6539-4a46-b1b4-c3efb9593d34']",2,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:02.207,Pass,
,,,,,,,,,,,,,,,,1.367238,,,,,,,,,,,,,,,15988632-043a-497e-ad02-73787633aadb,11,,,"[79.4, 80.0]",3775570,0,,,,,-0.92491144,,,,,,"[89.5, 66.6]",,High Pass,,16.780048,,,,Simone Magill,15559.0,,,,,Throw-in,1,From Throw In,Ingrid Moe Wold,10382.0,Right Back,3,Everton LFC,967,['5e5f587e-f7d5-4019-88bc-4e840bb06b0f'],19,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:19.184,Pass,
,,,,,,,,,,,,,,,,1.635932,,,,,,,,,,,,,,,864e9f43-fe46-4eb8-9a8f-3f1066f02d47,15,,,"[88.6, 66.6]",3775570,0,,,,,2.5133047,,Right Foot,,,,"[76.9, 75.1]",,High Pass,,14.461674,,,,Ingrid Moe Wold,10382.0,,,,,,1,From Throw In,Simone Magill,15559.0,Center Forward,3,Everton LFC,967,"['28081e26-3a14-47c1-825e-1bb6a633f79e', '69df9ea9-9f3f-4d5a-89f9-889cbe839910']",20,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:20.704,Pass,True
