50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2ecb87ee-5f08-4826-bdf8-f33a10b28494,1,,,3775578,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18998, 'name': 'Emma Mukandi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 20061, 'name': 'Deanna Cooper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 21021, 'name': 'Molly Bartrip'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15704, 'name': 'Lily Woodham'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 19780, 'name': 'Rachel Rowe'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 26570, 'name': 'Amalie Vevle Eikeland'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 24281, 'name': 'Danielle Carter'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7bec8f94-20b7-4931-b3ba-a9b110559ade,2,,,3775578,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 13857, 'name': 'Tinja-Riikka Tellervo Korpela'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 10382, 'name': 'Ingrid Moe Wold'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 15789, 'name': 'Rikke Læntver Sevecke'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15573, 'name': 'Abbey-Leigh Stringer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 10172, 'name': 'Jill Scott'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 4645, 'name': 'Isobel Mary Christiansen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 4646, 'name': 'Claire Emslie'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 25442, 'name': 'Valérie Gauvin'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4d821062-52ad-4b2d-bdef-60ad7619b23d,3,,,3775578,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['bafc89a7-1f6a-4ef4-985f-271c50866ab7'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bafc89a7-1f6a-4ef4-985f-271c50866ab7,4,,,3775578,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['4d821062-52ad-4b2d-bdef-60ad7619b23d'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b5de1234-ecfc-439a-b8b4-121caea6c289,1819,,,3775578,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,Everton LFC,967,['aaab99e4-86e1-4115-a0b7-661d8ac47e86'],0,,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,aaab99e4-86e1-4115-a0b7-661d8ac47e86,1820,,,3775578,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,110,Everton LFC,967,['b5de1234-ecfc-439a-b8b4-121caea6c289'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.362154,,,,,,,,,,,,3b2e656d-8fb1-46cd-87d0-fc0307a55a43,5,,"[60.0, 40.0]",3775578,0,,,,-2.971079,,Right Foot,,,,"[44.9, 37.4]",,Ground Pass,,15.3222065,,,,,Angharad James,15577.0,,,,,Kick Off,1,From Kick Off,Danielle Carter,24281.0,Right Center Forward,2,Reading WFC,974,['f39acf60-50f9-46e3-9d4a-0ef596cc8290'],0,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.295,Pass,
,,,,,,,,,,,,,,,,,,1.789467,,,,,,,,,,,,1e1b00c7-b350-4df1-a988-1dda1d489f14,8,,"[44.9, 30.3]",3775578,0,,,,-1.735272,,Right Foot,,,,"[40.9, 6.2]",,Ground Pass,,24.429695,,,,,Lily Woodham,15704.0,,,,,,1,From Kick Off,Angharad James,15577.0,Left Center Midfield,2,Reading WFC,974,['873695db-1137-47db-a8ad-08ba7d155a29'],2,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:02.693,Pass,
,,,,,,,,,,,,,,,,,,1.157359,,,,,,,,,,,,f536a146-ebd7-43c2-aeab-b933452d1db5,11,,"[36.4, 9.4]",3775578,0,,,,2.6577165,,Left Foot,,,,"[22.7, 16.6]",,Ground Pass,,15.476757,,,,,Molly Bartrip,21021.0,,,,,,1,From Kick Off,Lily Woodham,15704.0,Left Back,2,Reading WFC,974,['a013c59a-f7d3-4533-a984-f6e2318d5a7a'],5,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:05.644,Pass,
,,,,,,,,,,,,,,,,,,2.269411,,,,,,,,,,,,58c7afc8-c843-482d-8ab8-f67ce9cc5afd,14,,"[19.4, 17.2]",3775578,0,,,,2.6779451,,Right Foot,,,,"[1.4, 26.2]",,Ground Pass,,20.12461,,,,,Grace Moloney,15719.0,,,,,,1,From Kick Off,Molly Bartrip,21021.0,Left Center Back,2,Reading WFC,974,['cbf767ab-5177-4ddc-8b01-0978272f6540'],8,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:08.532,Pass,
