ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,0.0,,,,,,,,,,,,3a3dfc91-a824-486a-80f2-f487d6e6bfda,1,,,,19730,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,"{'formation': 32221, 'lineup': [{'player': {'id': 19421, 'name': 'Carly Mitchell Telford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 18}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 4636, 'name': 'Maria Thorisdottir'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 19422, 'name': 'Jessica Carter'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 20}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 4659, 'name': 'Ramona Bachmann'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,,,,f66f3ca5-abeb-4fc0-9f54-7d475eebfe13,2,,,,19730,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 19419, 'name': 'Marie Hourihan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19414, 'name': 'Kirsty Barton'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 19420, 'name': 'Fern Whelan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 16400, 'name': 'Kayleigh Green'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 16393, 'name': 'Ellie Brazil'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 16378, 'name': 'Iniabasi Anefiok Umotong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,,,,d8cd4728-971d-4cc0-a36a-5b235755a27a,3,,,,19730,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['ffa360e7-a65b-4670-a159-b8f76c1a8754'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,ffa360e7-a65b-4670-a159-b8f76c1a8754,4,,,,19730,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['d8cd4728-971d-4cc0-a36a-5b235755a27a'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,c5f3e22d-6e77-48eb-921e-787b2c3df409,1753,,,,19730,45,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,92,Chelsea FCW,971,['567b666d-5e62-4487-a85d-32ddc96a2dad'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,567b666d-5e62-4487-a85d-32ddc96a2dad,1754,,,,19730,45,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,92,Chelsea FCW,971,['c5f3e22d-6e77-48eb-921e-787b2c3df409'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,1.67385,,,,,,,,,,,,22fdf9fd-bb70-4629-a89c-c1b8a750e0f5,5,,,"[61.0, 41.0]",19730,0,,,-2.6590793,,,Right Foot,,,"[40.0, 30.0]",,Ground Pass,23.70654,,Victoria Williams,16395.0,,,,,Kick Off,1,From Kick Off,Iniabasi Anefiok Umotong,16378.0,Center Forward,2,Brighton & Hove Albion WFC,965,['d7f40f9f-4ea6-469b-b5ed-7fecfb8f2a4c'],5,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:05.934,Pass,
,,,,,,,,,,2.015049,,,,,,,,,,,,574c4bee-c29e-4079-a0b8-b3ad3ce120a8,8,,,"[40.0, 38.0]",19730,0,,,1.2341216,,,Right Foot,,,"[54.0, 78.0]",,Ground Pass,42.379242,,Kirsty Barton,19414.0,,True,,,,1,From Kick Off,Victoria Williams,16395.0,Left Center Back,2,Brighton & Hove Albion WFC,965,['426dfa89-8612-4b73-a411-cf2fa519215a'],8,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:08.771,Pass,
,,,,,,,,,,0.975099,,,,,,,,,,,,e8aaebdb-8cee-4135-bbad-4a14e83e673e,11,,,"[62.0, 79.0]",19730,0,,,-0.5404195,,,Right Foot,,,"[72.0, 73.0]",,Ground Pass,11.661903,,Iniabasi Anefiok Umotong,16378.0,,,,,,1,From Kick Off,Kirsty Barton,19414.0,Right Back,2,Brighton & Hove Albion WFC,965,['874d86b7-2b31-437e-a1de-bc4d22ec55a5'],12,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:12.633,Pass,
,,,,,,,,,,1.074279,,,,,,,,,,,,fb8aff67-1e93-409e-8554-380c7af30b5d,14,,,"[72.0, 73.0]",19730,0,,,1.0516502,,,Right Foot,,,"[76.0, 80.0]",,High Pass,8.062258,Out,Ellie Brazil,16393.0,,,,,,1,From Kick Off,Iniabasi Anefiok Umotong,16378.0,Center Forward,2,Brighton & Hove Albion WFC,965,['767706ad-aa7e-492e-b9bc-5e32edf7796b'],14,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:14.001,Pass,
