50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,14eab257-ec87-43c6-9795-e16a832eaf3a,1,,,,19768,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 22027, 'name': 'Anne Moorhouse'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 18155, 'name': 'Erin Simon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 18159, 'name': 'Brooke Hendrix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 18156, 'name': 'Claire Lauren Rafferty'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 18150, 'name': 'Julia Simic'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 18148, 'name': 'Lucienne Reichardt'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 18146, 'name': 'Leanne Kiernan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 18153, 'name': 'Alisha Lehmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 4653, 'name': 'Jane Ross'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,af8eb479-d248-4ffa-95b8-8bbbced70a66,2,,,,19768,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 16391, 'name': 'Loren Dykes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16383, 'name': 'Danique Kerkdijk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 10171, 'name': 'Frankie Brown'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 17274, 'name': 'Poppy Pattinson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 10095, 'name': 'Julie Biesmans'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 21048, 'name': 'Rosella Ayane'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 16386, 'name': 'Lucy Hope'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 16388, 'name': 'Ella Rutherford'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 16390, 'name': 'Juliette Kemppi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,9d4a85f5-5de8-4912-9454-674a3fa4f8f2,3,,,,19768,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['c7ce2762-72b8-4a2a-8029-fb1d282c74ab'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,c7ce2762-72b8-4a2a-8029-fb1d282c74ab,4,,,,19768,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['9d4a85f5-5de8-4912-9454-674a3fa4f8f2'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,07efed3a-e03e-44b6-88ca-e36cf271275b,1541,,,,19768,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,West Ham United LFC,972,['62d95179-e0a6-420b-afd7-151a51abc549'],0,,,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,62d95179-e0a6-420b-afd7-151a51abc549,1542,,,,19768,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,West Ham United LFC,972,['07efed3a-e03e-44b6-88ca-e36cf271275b'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.648023,,,,,,,,,,,4bb786b2-4760-48e6-bdb0-8bc65f696b96,5,,,"[60.0, 40.0]",19768,0,,,-2.6992185,,,Right Foot,,,,"[41.0, 31.0]",Ground Pass,21.023796,,,Julie Biesmans,10095.0,,,,,Kick Off,1,From Kick Off,Juliette Kemppi,16390.0,Center Forward,2,Bristol City WFC,973,['f1c70a2e-3f81-48f9-8ad6-d1c28ab412c0'],0,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.907,Pass,
,,,,,,,,,,,,,,1.501061,,,,,,,,,,,49e995aa-0bd2-41e6-b47a-0c492d863f33,9,,,"[41.0, 30.0]",19768,0,,,-1.5291537,,,Right Foot,,,,"[42.0, 6.0]",Ground Pass,24.020824,,,Poppy Pattinson,17274.0,,,,,,1,From Kick Off,Julie Biesmans,10095.0,Left Defensive Midfield,2,Bristol City WFC,973,"['121b55ae-1946-4019-8b07-d6dc4f84e217', '5361a746-fb90-45a3-8e15-d9a4c443794d']",3,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:03.676,Pass,True
,,,,,,,,,,,,,,1.148963,,,,,,,,,,,96189e88-9645-4ec2-b418-588c0fa298ae,12,,,"[42.0, 6.0]",19768,0,,,2.485897,,,Left Foot,,,,"[29.0, 16.0]",Ground Pass,16.40122,,,Frankie Brown,10171.0,,,,,,1,From Kick Off,Poppy Pattinson,17274.0,Left Back,2,Bristol City WFC,973,['d40cfe81-4a14-4f53-909e-ec04a2515f66'],6,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:06.436,Pass,
,,,,,,,,,,,,,,2.392328,,,,,,,,,,,11f93591-65e7-4e9c-8aac-ec10d6005376,15,,,"[21.0, 19.0]",19768,0,,,1.5019399,,,Right Foot,,,,"[23.0, 48.0]",Ground Pass,29.068884,,,Danique Kerkdijk,16383.0,,,,,,1,From Kick Off,Frankie Brown,10171.0,Left Center Back,2,Bristol City WFC,973,['7b091b11-b273-4431-8929-ae221e438804'],9,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:09.100,Pass,
