50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,85fb3b3c-3de5-4521-8527-63bf032fc857,1,,,19783,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4640, 'name': 'Rut Hedvig Lindahl'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 17275, 'name': 'Hannah Jayne Blundell'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 4638, 'name': 'Drew Spence'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 15553, 'name': 'Karen Julia Carney'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,21a6644e-8bf3-4b04-b155-153a972e772b,2,,,19783,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,"{'formation': 41221, 'lineup': [{'player': {'id': 15576, 'name': 'Kirstie Levell'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19687, 'name': 'Taylor Hinds'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 15575, 'name': 'Gabrielle George'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15571, 'name': 'Danielle Turner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 18254, 'name': 'Megan Finnigan'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 15559, 'name': 'Simone Magill'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 15570, 'name': 'Chloe Kelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 15556, 'name': 'Chantelle Boye-Hlorkah'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 21230, 'name': 'Elise Hughes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 28}]}",Everton LFC,967,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,825d2665-b192-4749-8452-bf55ddaefea1,3,,,19783,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['2ef508c1-cd3a-47a1-94ad-0ab90c72e38c'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,2ef508c1-cd3a-47a1-94ad-0ab90c72e38c,4,,,19783,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['825d2665-b192-4749-8452-bf55ddaefea1'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,9e5a9804-524c-41e8-b724-d823126dd125,1766,,,19783,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Everton LFC,967,['17dc16ae-64cc-4276-b873-ee1a17c2c864'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,0.0,,,,,,,,,,17dc16ae-64cc-4276-b873-ee1a17c2c864,1767,,,19783,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Everton LFC,967,['9e5a9804-524c-41e8-b724-d823126dd125'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.000,Half Start,
,,,,,,,,,,,,0.973806,,,,,,,,,,7d9d3d47-907e-40af-a3a5-800eeab175e2,5,,"[61.0, 41.0]",19783,0,,,,2.6011732,,,Right Foot,,,,"[56.0, 44.0]",,Ground Pass,5.8309517,,Angharad James,15577.0,,,,,Kick Off,1,From Kick Off,Elise Hughes,21230.0,Center Forward,2,Everton LFC,967,['82b458d6-198c-421a-81c3-ff496560d801'],0,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:00.181,Pass,
,,,,,,,,,,,,2.631023,,,,,,,,,,72bf43b5-3a08-4d81-9d29-b5ac32058fcf,8,,"[55.0, 44.0]",19783,0,,,,-0.607802,,,Right Foot,,,,"[101.0, 12.0]",,High Pass,56.0357,Incomplete,Chantelle Boye-Hlorkah,15556.0,,,,,,1,From Kick Off,Angharad James,15577.0,Right Center Midfield,2,Everton LFC,967,"['8a672b8b-92a7-49f2-990f-fdf1b7ebb242', 'e32df948-40cb-4164-88d8-b71f386858e9']",1,,,,,,,,,,,,,,,,,Everton LFC,967,00:00:01.471,Pass,
,,,,,,,,,,,,2.031696,,,,,,,,,,611dff12-c956-47e0-9adf-356a40c619d3,13,,"[15.0, 65.0]",19783,0,,,,-2.3162158,,,Left Foot,,,,"[3.0, 52.0]",,Ground Pass,17.691807,,Rut Hedvig Lindahl,4640.0,,,,,,1,Regular Play,Hannah Jayne Blundell,17275.0,Right Back,3,Chelsea FCW,971,"['79f070c3-a118-4cfa-991e-c44be81d75d3', 'b4ee5305-7c72-4f7c-8bb7-d5365ecae217']",5,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:05.046,Pass,True
,,,,,,,,,,,,1.296789,,,,,,,,,,1911ee65-cd1b-4767-ad3e-8792b462f58a,16,,"[13.0, 55.0]",19783,0,,,,1.7033478,,,Left Foot,,,,"[11.0, 70.0]",,Ground Pass,15.132746,,Millie Bright,4642.0,,,,,,1,Regular Play,Rut Hedvig Lindahl,4640.0,Goalkeeper,3,Chelsea FCW,971,['5e29e30e-403a-41cb-9dc1-f163ee4336a0'],14,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:14.498,Pass,
