ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7f0040bf-992f-413c-94d3-357a715bfe6a,1,,,2275074,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 19421, 'name': 'Carly Mitchell Telford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 17275, 'name': 'Hannah Jayne Blundell'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 4638, 'name': 'Drew Spence'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2494fdd3-5a89-4952-872b-0baf60ca0c74,2,,,2275074,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 31567, 'name': 'Adrienne Jordan'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 37}, {'player': {'id': 18157, 'name': 'Brianna Visalli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 31565, 'name': 'Abbi Grant'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 31563, 'name': 'Rachel Williams'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1e4a21f1-74f1-4820-8b91-d0a143e89934,3,,,2275074,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['7e4e2c48-e177-4f1c-884c-602868022b48'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7e4e2c48-e177-4f1c-884c-602868022b48,4,,,2275074,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['1e4a21f1-74f1-4820-8b91-d0a143e89934'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,07a822bd-39ca-4979-add9-4c59cdcc86d8,1852,,,2275074,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Chelsea FCW,971,['98fb68b9-4761-4a39-8662-6e6f3df57f14'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,98fb68b9-4761-4a39-8662-6e6f3df57f14,1853,,,2275074,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Chelsea FCW,971,['07a822bd-39ca-4979-add9-4c59cdcc86d8'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,2.015803,,,,,,,,,,,,054482bc-0b27-4c90-a813-b1854a2bfb1a,5,,"[60.0, 40.0]",2275074,0,,,,,-2.5296364,,Right Foot,,,,"[38.2, 24.7]",,Ground Pass,,26.63325,,,Magdalena Lilly Eriksson,4633.0,,,,,,Kick Off,1,From Kick Off,Drew Spence,4638.0,Right Defensive Midfield,2,Chelsea FCW,971,['0a8488bc-741f-4434-a56d-1f127dbe3f89'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.020,Pass,
,,,,,,,,,,,,,,,,,1.702696,,,,,,,,,,,,ff22feb7-ad85-477e-922e-b5872627e719,8,,"[42.2, 7.9]",2275074,0,,,,,0.20024997,,Left Foot,,,,"[82.6, 16.1]",,High Pass,,41.223778,,,Erin Cuthbert,4660.0,,,,,,,1,From Kick Off,Magdalena Lilly Eriksson,4633.0,Left Center Back,2,Chelsea FCW,971,['1b0d83e7-aadf-4ec6-b874-db8552530394'],4,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:04.082,Pass,
,,,,,,,,,,,,,,,,,3.456556,,,,,,,,,,,,67b04c8e-3596-4536-9638-134564112e99,10,,"[82.6, 16.1]",2275074,0,,,,,0.29736516,,Head,,,,"[113.6, 25.6]",,High Pass,,32.422985,,Incomplete,,,,,,,,,1,From Kick Off,Erin Cuthbert,4660.0,Right Center Forward,2,Chelsea FCW,971,['ca732b41-cb1b-4d43-99ff-d1c0e4110514'],5,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:05.785,Pass,
,,,,,,,,,,,,,,,,,2.344506,,,,,,,,,,,,55172f22-449e-48bc-bea9-0c88afd7c115,13,,"[16.5, 45.4]",2275074,0,,,,,-1.3418442,,Keeper Arm,,,,"[24.4, 11.5]",,Low Pass,,34.80833,,,Kerys Harrop,15569.0,,,,,,,1,Regular Play,Hannah Hampton,22032.0,Goalkeeper,3,Birmingham City WFC,969,['e7658689-d406-4fca-9262-29cb30e0a053'],17,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:17.511,Pass,
