50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3bc6e3a3-fbb4-4dba-81f1-126055762b26,1,,,,2275154,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15560, 'name': 'Ann-Katrin Berger'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 4659, 'name': 'Ramona Bachmann'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,36506efd-efff-4620-809a-a3854140a2f7,2,,,,2275154,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 32618, 'name': 'Martha Harris'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 19501, 'name': 'Hayley Ladd'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 31531, 'name': 'Lauren James'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,da570173-0d6b-4398-a1f0-0eb03c3d0824,3,,,,2275154,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['6697d7b1-95ae-455d-99fd-6377e273fed4'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,6697d7b1-95ae-455d-99fd-6377e273fed4,4,,,,2275154,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['da570173-0d6b-4398-a1f0-0eb03c3d0824'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,8cb69168-77fd-43f3-9350-142ac98f5558,1563,,,,2275154,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,108,Manchester United,1475,['e60c7bfc-6522-4beb-b069-334d3fc2afa4'],0,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,e60c7bfc-6522-4beb-b069-334d3fc2afa4,1564,,,,2275154,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,108,Manchester United,1475,['8cb69168-77fd-43f3-9350-142ac98f5558'],0,,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.812052,,,,,,,,,,,,,,,,,,71aeaa96-bebb-4c29-adf6-07a92a0a4fe9,5,,,"[60.0, 40.0]",2275154,0,,,,,2.8128,,Right Foot,,,"[34.5, 48.7]",Ground Pass,,26.943274,,,,Millie Bright,4642.0,,,,,,Kick Off,1,From Kick Off,So-Yun Ji,4647.0,Left Defensive Midfield,2,Chelsea FCW,971,['5c940e44-1036-408d-957a-8f0baabf3aeb'],1,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:01.021,Pass,
,,,,,,,,,,,,,,,2.586374,,,,,,,,,,,,,,,,,,1631a136-30d7-4cbe-bbaf-e8c93b2ba93d,8,,,"[33.9, 50.0]",2275154,0,,,,,-0.020519508,,Right Foot,,,"[87.5, 48.9]",High Pass,,53.611286,,Incomplete,,Bethany England,15550.0,,,,,,,1,From Kick Off,Millie Bright,4642.0,Right Center Back,2,Chelsea FCW,971,"['77a54a8a-4ace-4234-9039-e682d67e91f8', 'd5824787-8ec8-4725-9e5b-db07a5ab29c5']",4,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:04.081,Pass,
,,,,,,,,,,,,,,,0.21727,,,,,,,,,,,,,,,,,,956c49c4-b3ab-4b35-99fa-5ac5ad659283,13,,,"[72.6, 53.0]",2275154,0,,,,,0.06548002,,Right Foot,,,"[78.7, 53.4]",Ground Pass,,6.1131005,,Incomplete,,Ramona Bachmann,4659.0,,,,,,,1,From Kick Off,Sophie Louise Ingle,15549.0,Right Defensive Midfield,2,Chelsea FCW,971,"['d1abcbfe-bc33-4f97-98f4-f63d3545e488', 'd58ddbdf-383f-4f33-96f9-66a46bd42175']",10,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:10.603,Pass,
,,,,,,,,,,,,,,,2.202543,,,,,,,,,,,,,,,,,,ea09961d-9770-4fa4-8eb8-7ec6e5503bb3,16,,,"[65.3, 52.8]",2275154,0,,,,,2.36743,,Right Foot,,,"[51.8, 66.0]",Low Pass,,18.880943,,,,Millie Bright,4642.0,,,,,,Recovery,1,From Kick Off,Sophie Louise Ingle,15549.0,Right Defensive Midfield,2,Chelsea FCW,971,['99fd6929-87d8-415f-b6c5-92df31f37895'],13,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:13.588,Pass,
,,,,,,,,,,,,,,,1.100836,,,,,,,,,,,,,,,,,,31bcf6d4-2912-4ca8-a8f6-e79ffc48156a,19,,,"[56.7, 68.4]",2275154,0,,,,,-0.32443872,,Right Foot,,,"[79.0, 60.9]",Ground Pass,,23.527431,,,,Ramona Bachmann,4659.0,,,,,,,1,From Kick Off,Millie Bright,4642.0,Right Center Back,2,Chelsea FCW,971,['fc97cd04-cf9d-41a0-b4b2-af4ee0cd9c9d'],17,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:17.428,Pass,
