ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0f825dc0-81dd-4c0e-ae50-6e8f69893a90,1,,,,3764231,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 15709, 'name': 'Megan Walsh'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22337, 'name': 'Maya Le Tissier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 16395, 'name': 'Victoria Williams'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 16392, 'name': 'Felicity Gibbons'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 20034, 'name': 'Danielle Buet'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15579, 'name': 'Inessa Kaagman'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 16374, 'name': 'Aileen Whelan'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 21059, 'name': 'Katie Robinson'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 25453, 'name': 'Geum-Min Lee'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brighton & Hove Albion WFC,965,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,68f72ca3-f29b-4bef-823d-9c29d53a254c,2,,,,3764231,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 22032, 'name': 'Hannah Hampton'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19500, 'name': 'Sarah Emma Mayling'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 19592, 'name': 'Harriet Scott'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 15574, 'name': 'Georgia Brougham'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 31568, 'name': 'Rebecca Holloway'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 31566, 'name': 'Lucy Whipp'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 46717, 'name': 'Chloe Mccarron'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15628, 'name': 'Christie Murray'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 32169, 'name': 'Jamie-Lee Napier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 21556, 'name': 'Connie Scofield'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 15580, 'name': 'Claudia Walker'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Birmingham City WFC,969,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4d8cf0cd-7c96-47d1-a00c-f815e64f154b,3,,,,3764231,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['8d2c2c72-e4d3-4d69-a0f3-74dfa8b57878'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8d2c2c72-e4d3-4d69-a0f3-74dfa8b57878,4,,,,3764231,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brighton & Hove Albion WFC,965,['4d8cf0cd-7c96-47d1-a00c-f815e64f154b'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a7439fb9-a466-44a4-9822-014724438c7b,1759,,,,3764231,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,Brighton & Hove Albion WFC,965,['9cd63d9a-23bf-45ff-a2ad-8063c189ac77'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9cd63d9a-23bf-45ff-a2ad-8063c189ac77,1760,,,,3764231,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,Brighton & Hove Albion WFC,965,['a7439fb9-a466-44a4-9822-014724438c7b'],0,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.339024,,,,,,,,,,,,,e6b789ad-c87b-4c7a-b322-8d6cf6a87676,5,,,"[60.0, 40.0]",3764231,0,,,,-3.0221636,,Right Foot,,,,"[40.0, 37.6]",,Ground Pass,,20.143486,,Lucy Whipp,31566.0,,,,Kick Off,1,From Kick Off,Claudia Walker,15580.0,Center Forward,2,Birmingham City WFC,969,['fc38e56c-79df-46d5-9ebd-75887bb47931'],0,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:00.612,Pass,
,,,,,,,,,,,,,,,1.742461,,,,,,,,,,,,,aefaf745-bf53-42f0-b07c-0807d238b55c,8,,,"[38.5, 38.8]",3764231,0,,,,2.087615,,Right Foot,,,,"[30.6, 52.7]",,Ground Pass,,15.988121,,Harriet Scott,19592.0,,,,,1,From Kick Off,Lucy Whipp,31566.0,Center Defensive Midfield,2,Birmingham City WFC,969,['7ba55e6f-7123-4012-8d2f-569e2b92c81b'],3,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:03.235,Pass,
,,,,,,,,,,,,,,,1.819961,,,,,,,,,,,,,8d9d36ad-89f3-4bf2-a49f-ed602512e1e7,11,,,"[30.6, 52.7]",3764231,0,,,,-2.5283854,,Right Foot,,,,"[14.4, 41.3]",,Ground Pass,,19.80909,,Hannah Hampton,22032.0,,,,,1,From Kick Off,Harriet Scott,19592.0,Right Center Back,2,Birmingham City WFC,969,['da27fb63-ed41-4a8f-a41e-1c0e019ed50c'],6,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:06.348,Pass,
,,,,,,,,,,,,,,,1.236395,,,,,,,,,,,,,486e94dc-c26c-44be-a274-a3ecdec204a2,15,,,"[15.4, 39.0]",3764231,0,,,,-1.3927034,,Right Foot,,,,"[18.1, 24.0]",,Ground Pass,,15.241063,,Georgia Brougham,15574.0,,,,,1,From Kick Off,Hannah Hampton,22032.0,Goalkeeper,2,Birmingham City WFC,969,['198da552-76dc-4596-baad-5780499cdbdd'],9,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:09.180,Pass,
,,,,,,,,,,,,,,,1.278993,,,,,,,,,,,,,3efcc222-ad29-4330-845d-e0444243bfcd,19,,,"[21.2, 24.0]",3764231,0,,,,-0.9190987,,Right Foot,,,,"[36.0, 4.6]",,Ground Pass,,24.40082,,Rebecca Holloway,31568.0,,,,,1,From Kick Off,Georgia Brougham,15574.0,Left Center Back,2,Birmingham City WFC,969,['f559af12-89e5-41da-be3d-18ff4e922baa'],11,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:11.902,Pass,
,,,,,,,,,,,,,,,1.135512,,,,,,,,,,,,,6910aa59-ee96-4fdf-bcd2-337b8d94be93,26,,,"[43.9, 4.1]",3764231,0,,,,1.4631065,,Left Foot,,,,"[44.7, 11.5]",,Ground Pass,,7.4431176,,Connie Scofield,21556.0,,,,,1,From Kick Off,Rebecca Holloway,31568.0,Left Back,2,Birmingham City WFC,969,['2573a023-b0f1-4977-b9b0-9a5e850be5ac'],15,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:15.976,Pass,
,,,,,,,,,,,,,,,0.738938,,,,,,,,,,,,,8f1b2f6d-cdac-4416-8368-69b06ad7adaa,32,,,"[68.9, 55.1]",3764231,0,,,,-0.07677189,,Right Foot,,,,"[79.3, 54.3]",,Ground Pass,,10.430724,Incomplete,Geum-Min Lee,25453.0,,,,Recovery,1,From Kick Off,Megan Connolly,23413.0,Left Center Midfield,2,Birmingham City WFC,969,"['1de67c13-f01c-4152-82e5-da956251a3d0', 'd023f4ee-2cc3-4e37-9c68-7616b2900679']",19,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:00:19.949,Pass,
,,,,,,,,,,,,,,,1.551761,,,,,,,,,,,,,80ac878a-8ca1-4c4f-a748-9e9f91e0933d,36,,,"[43.4, 24.2]",3764231,0,,,,-2.251098,,Right Foot,,,,"[32.8, 11.1]",,Ground Pass,,16.85141,,Rebecca Holloway,31568.0,,,,,1,From Kick Off,Lucy Whipp,31566.0,Center Defensive Midfield,2,Birmingham City WFC,969,['aa7477c8-864a-44ae-a434-178f05563a3d'],22,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:22.586,Pass,
,,,,,,,,,,,,,,,3.544924,,,,,,,,,,,,,499040b4-fac3-490d-a584-c1402641931d,39,,,"[29.5, 11.1]",3764231,0,,,,2.0598736,,Left Foot,,,,"[13.8, 40.6]",,Ground Pass,,33.41766,,Hannah Hampton,22032.0,,,,,1,From Kick Off,Rebecca Holloway,31568.0,Left Back,2,Birmingham City WFC,969,['169da107-2f03-489d-a69d-0a4f4c70e9ed'],25,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:25.399,Pass,
,,,,,,,,,,,,,,,2.635497,,,,,,,,,,,,,87448343-b89d-48d3-8cf2-92f6a5719d83,42,,,"[14.8, 40.9]",3764231,0,,,,-0.9731902,,Right Foot,,,,"[40.8, 2.7]",,High Pass,,46.208656,,Rebecca Holloway,31568.0,,,,,1,From Kick Off,Hannah Hampton,22032.0,Goalkeeper,2,Birmingham City WFC,969,['dadd0a29-07e1-454a-8163-0df1780a8dfc'],31,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:31.802,Pass,
,,,,,,,,,,,,,,,1.16097,,,,,,,,,,,,,7b9d3c06-1cf3-4251-815e-c5659477744b,46,,,"[41.0, 2.7]",3764231,0,,,,1.6197767,,Right Foot,,,,"[40.5, 12.9]",,Ground Pass,,10.212248,,Lucy Whipp,31566.0,,,,,1,From Kick Off,Rebecca Holloway,31568.0,Left Back,2,Birmingham City WFC,969,['6057d5a2-8b7e-4d1d-b29b-7876253587f8'],38,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:38.157,Pass,
,,,,,,,,,,,,,,,0.010158,,,,,,,,,,,,,fdcbccec-0fa6-4932-ba08-061531338caa,51,,,"[37.6, 14.4]",3764231,0,,,,3.0072713,,Right Foot,,,,"[33.9, 14.9]",,Low Pass,,3.733631,Incomplete,Hannah Hampton,22032.0,,,,,1,From Kick Off,Lucy Whipp,31566.0,Center Defensive Midfield,2,Birmingham City WFC,969,"['5b791383-0d6e-4b87-9acb-8b6777af593f', '792925f2-350b-4e51-abb2-849e3baa8ae0']",40,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:40.641,Pass,
,,,,,,,,,,,,,,,3.524898,,,,,,,,,,,,,73aa7f04-0f85-4093-886d-012b937a545e,56,,,"[34.7, 42.1]",3764231,0,,,,0.30008918,,Right Foot,,,,"[87.7, 58.5]",,High Pass,,55.479366,Incomplete,Jamie-Lee Napier,32169.0,,,,,1,From Kick Off,Harriet Scott,19592.0,Right Center Back,2,Birmingham City WFC,969,"['1d7a4727-2f28-46f3-a4e8-3410e97233a5', 'da12e52f-3736-4ca9-9660-5e64a331cf97']",46,,,,,,,,,,,,,,,,,Birmingham City WFC,969,00:00:46.649,Pass,
