ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e89618d8-f743-4c69-b267-8d06ae645927,1,,,,3775581,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 62713, 'name': 'Zecira Musovic'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19422, 'name': 'Jessica Carter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 17275, 'name': 'Hannah Jayne Blundell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 4641, 'name': 'Francesca Kirby'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 4660, 'name': 'Erin Cuthbert'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 25612, 'name': 'Jessie Alexandra Fleming'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7deb4da8-bc37-48a4-8a9a-40cbc6b860b4,2,,,,3775581,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 46538, 'name': 'Ella Franklin-Fraiture'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 77717, 'name': 'Olivia McLoughlin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 46541, 'name': 'Asmita Ale'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 46537, 'name': 'Jodie Hutton'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 10193, 'name': 'Chloe Arthur'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15557, 'name': 'Emma Follis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 25610, 'name': 'Mana Iwabuchi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 46539, 'name': 'Nadine Hanssen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 23}]}",Aston Villa,2647,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,088977a3-2275-49d8-b67e-d9218e4a4e2a,3,,,,3775581,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['a00fc96e-0e20-43af-8531-09e1e8910a3b'],0,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a00fc96e-0e20-43af-8531-09e1e8910a3b,4,,,,3775581,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Chelsea FCW,971,['088977a3-2275-49d8-b67e-d9218e4a4e2a'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,424fdf1d-f201-43cf-8bae-1258a3546f38,1755,,,,3775581,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,99,Chelsea FCW,971,['08ad925c-da94-4a91-a416-7f40830a1749'],0,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,08ad925c-da94-4a91-a416-7f40830a1749,1756,,,,3775581,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,99,Chelsea FCW,971,['424fdf1d-f201-43cf-8bae-1258a3546f38'],0,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,2.053341,,,,,,,,,,,a7290377-b4aa-46d5-8722-4d36e079e821,5,,,"[61.0, 40.1]",3775581,0,,,,2.1434286,,Right Foot,,,"[43.4, 67.4]",,Ground Pass,,32.481533,,,,Ella Franklin-Fraiture,46538.0,,,,,,Kick Off,1,From Kick Off,Olivia McLoughlin,77717.0,Left Center Back,2,Aston Villa,2647,['6c1d2f63-6170-446d-bae4-0af22c35c085'],0,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.182,Pass,
,,,,,,,,,,,,,,,,2.451508,,,,,,,,,,,ad7fb1f6-1103-4239-a9df-d548dd46e539,8,,,"[44.2, 68.5]",3775581,0,,,,-0.26159912,,Right Foot,,,"[87.9, 56.8]",,High Pass,,45.239143,,Incomplete,,Mana Iwabuchi,25610.0,,,,,,,1,From Kick Off,Ella Franklin-Fraiture,46538.0,Right Center Back,2,Aston Villa,2647,"['9132f96f-6e60-486a-9d20-cf5da536bcdd', '9f61fcc4-604c-4171-8a3a-47460f06a690']",3,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:03.365,Pass,
,,,,,,,,,,,,,,,,0.843576,,,,,,,,,,,dc6c6a0d-e457-4765-9470-bbccbc393827,11,,,"[49.2, 64.6]",3775581,0,,,,-1.9379702,,Head,,,"[46.2, 56.8]",,Low Pass,,8.357033,,,,Marisa Ewers,15565.0,,,,,,Recovery,1,From Kick Off,Anita Amma Ankyewah Asante,4657.0,Center Back,2,Aston Villa,2647,['d477962b-4482-4f8b-abe4-b722edf72773'],8,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:08.391,Pass,
,,,,,,,,,,,,,,,,1.169867,,,,,,,,,,,dbf0ecee-854c-497f-9c90-7ef13f6443d4,15,,,"[44.4, 57.0]",3775581,0,,,,0.9075933,,Right Foot,,,"[49.4, 63.4]",,Ground Pass,,8.121576,,,,Nadine Hanssen,46539.0,,,,,,,1,From Kick Off,Marisa Ewers,15565.0,Left Center Midfield,2,Aston Villa,2647,"['911bbc09-4869-4f10-ac83-1de616762b50', 'a246d9e3-2302-4d52-8a15-38aaeac4e8a2']",10,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:10.174,Pass,True
,,,,,,,,,,,,,,,,1.395724,,,,,,,,,,,28d89b87-f304-4c96-b20b-b2a35d1a9e25,19,,,"[48.6, 64.1]",3775581,0,,,,-2.0560234,,Right Foot,,,"[42.8, 53.1]",,Ground Pass,,12.435433,,,,Marisa Ewers,15565.0,,,,,,,1,From Kick Off,Nadine Hanssen,46539.0,Left Center Forward,2,Aston Villa,2647,"['4e3684c7-d50d-49db-88c3-62808d528471', '6d6cebe3-dc0b-4f88-9709-53914bc2e472']",11,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:11.387,Pass,True
,,,,,,,,,,,,,,,,0.12039,,,,,,,,,,,1c9e3f70-643e-445f-89fc-3930fd0ef4fa,23,,,"[42.6, 53.7]",3775581,0,,,,0.35877067,,Right Foot,,,"[43.4, 54.0]",,Ground Pass,,0.8544004,,Incomplete,,Chloe Arthur,10193.0,,,,,,,1,From Kick Off,Marisa Ewers,15565.0,Left Center Midfield,2,Aston Villa,2647,"['3a2729d8-559d-48c8-afc4-7394a449493a', '5f9aec11-53e4-4d47-abcb-f30bf152df81', 'ac429a55-46f7-4ecb-ab26-7d31f322337f']",12,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:12.794,Pass,True
,,,,,,,,,,,,,,,,2.169925,,,,,,,,,,,6013528a-841d-4ba3-97b5-677bebf86829,28,,,"[15.4, 38.7]",3775581,0,,,,-1.3193992,,Right Foot,,,"[20.1, 20.4]",,Ground Pass,,18.893915,,,,Jodie Hutton,46537.0,,,,,,,1,From Kick Off,Lisa Weiß,38317.0,Goalkeeper,2,Aston Villa,2647,['c1bc04c1-e6a8-44be-8ebc-f1789a1100a5'],18,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:18.213,Pass,
,,,,,,,,,,,,,,,,0.215855,,,,,,,,,,,8db16e56-5dc0-4a41-a393-148bf42ea6d9,33,,,"[21.4, 12.9]",3775581,0,,,,-0.088007376,,Left Foot,,,"[24.8, 12.6]",,Low Pass,,3.4132097,,Incomplete,,,,,,,,,,1,From Kick Off,Jodie Hutton,46537.0,Left Wing Back,2,Aston Villa,2647,"['0d5c5a0b-edcd-4399-ba07-6a4dea205192', '9b6d8a76-75d9-4aa1-94c0-52c5c9c43e4d']",21,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:21.649,Pass,True
,,,,,,,,,,,,,,,,2.386411,,,,,,,,,,,996ce432-3269-4725-88b9-bf6c3efe0aaa,36,,,"[56.4, 0.1]",3775581,0,,,,0.35563588,,,,,"[87.9, 11.8]",,High Pass,,33.60268,,Incomplete,,Mana Iwabuchi,25610.0,,,,,,Throw-in,1,From Throw In,Asmita Ale,46541.0,Left Wing Back,3,Aston Villa,2647,"['5204aad7-a9eb-4b0d-acf8-daa3beaf01f0', '79e9da2f-f543-4f89-9c38-2f5671fa362e']",39,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:39.142,Pass,
,,,,,,,,,,,,,,,,2.092643,,,,,,,,,,,388c4301-a028-4f5f-ab5b-53d007c7b46f,40,,,"[23.2, 65.6]",3775581,0,,,,-2.0573158,,Left Foot,,,"[10.4, 41.4]",,Ground Pass,,27.376633,,,,Zecira Musovic,62713.0,,,,,,,1,Regular Play,Millie Bright,4642.0,Right Center Back,4,Chelsea FCW,971,['844a13c4-22b4-48d3-9566-5b6278ee5f9e'],43,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:43.311,Pass,
,,,,,,,,,,,,,,,,3.330145,,,,,,,,,,,1a532793-f624-4347-87a4-1a114160715f,43,,,"[10.4, 41.4]",3775581,0,,,,-0.8297555,,Right Foot,,,"[28.7, 21.4]",,Ground Pass,,27.108854,,,,Magdalena Lilly Eriksson,4633.0,,,,,,,1,Regular Play,Zecira Musovic,62713.0,Goalkeeper,4,Chelsea FCW,971,['600ca912-a5d3-4039-afcd-1f257fe062e2'],47,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:47.540,Pass,
,,,,,,,,,,,,,,,,1.065547,,,,,,,,,,,7111773c-2b4e-486f-816b-3fd7e53db5df,46,,,"[31.7, 21.1]",3775581,0,,,,0.18534794,,Left Foot,,,"[44.5, 23.5]",,Ground Pass,,13.023056,,,,So-Yun Ji,4647.0,,,,,,,1,Regular Play,Magdalena Lilly Eriksson,4633.0,Left Center Back,4,Chelsea FCW,971,['487bbd1f-b97b-449c-9637-53995edd5973'],50,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:50.910,Pass,
,,,,,,,,,,,,,,,,1.089673,,,,,,,,,,,acbd9a2e-a23d-4f96-8512-54a7a3af8581,49,,,"[44.5, 23.5]",3775581,0,,,,-2.566893,,Right Foot,,,"[34.0, 16.7]",,Ground Pass,,12.509596,,,,Magdalena Lilly Eriksson,4633.0,,,,,,,1,Regular Play,So-Yun Ji,4647.0,Left Center Midfield,4,Chelsea FCW,971,['354cccf0-606c-48b4-9a60-c6fc16d322d4'],52,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:52.016,Pass,
,,,,,,,,,,,,,,,,1.071839,,,,,,,,,,,075d13ce-a0fa-47aa-bc0e-860f64c5d754,52,,,"[41.4, 16.6]",3775581,0,,,,0.6594855,,Left Foot,,,"[50.3, 23.5]",,Ground Pass,,11.261438,,,,So-Yun Ji,4647.0,,,,,,,1,Regular Play,Magdalena Lilly Eriksson,4633.0,Left Center Back,4,Chelsea FCW,971,['7c220f51-d278-4540-9ac3-ad9d4b274ef6'],54,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:54.174,Pass,
,,,,,,,,,,,,,,,,1.188167,,,,,,,,,,,80ff64c5-126d-4426-95f1-67c17cfbe5ac,55,,,"[49.2, 30.0]",3775581,0,,,,0.88114965,,Right Foot,,,"[57.2, 39.7]",,Ground Pass,,12.573384,,,,Jessie Alexandra Fleming,25612.0,,,,,,,1,Regular Play,So-Yun Ji,4647.0,Left Center Midfield,4,Chelsea FCW,971,['df724e3e-a340-49b0-a2d8-95e8498d00ad'],57,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:57.148,Pass,
,,,,,,,,,,,,,,,,1.673616,,,,,,,,,,,cf9b4f78-be27-46a1-abfb-637d653c69f6,58,,,"[57.2, 39.7]",3775581,0,,,,2.4067843,,Left Foot,,,"[40.6, 54.7]",,Ground Pass,,22.373198,,,,Millie Bright,4642.0,,,,,,,1,Regular Play,Jessie Alexandra Fleming,25612.0,Right Center Midfield,4,Chelsea FCW,971,['175ac6b3-224a-43e4-afc6-6fd9e67a0af8'],58,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:58.376,Pass,
,,,,,,,,,,,,,,,,1.494947,,,,,,,,,,,9eb244e3-e727-47c5-b3a9-175bcd841ee8,61,,,"[47.3, 58.1]",3775581,1,,,,0.6870498,,Right Foot,,,"[67.9, 75.0]",,Ground Pass,,26.645262,,,,Erin Cuthbert,4660.0,,,,,,,1,Regular Play,Millie Bright,4642.0,Right Center Back,4,Chelsea FCW,971,['805362bc-94a8-4d57-8336-d0ef907712f5'],1,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:01.650,Pass,
,,,,,,,,,,,,,,,,0.892463,,,,,,,,,,,0c0129e8-8494-4c4d-a57b-f47b32ab082f,64,,,"[73.1, 74.7]",3775581,1,,,,0.105200246,,Right Foot,,,"[89.2, 76.4]",,Ground Pass,,16.189503,,,,Jessica Carter,19422.0,,,,,,,1,Regular Play,Erin Cuthbert,4660.0,Right Wing,4,Chelsea FCW,971,['264c35f9-6331-4ca8-9683-a8b8ad49c39d'],4,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:04.200,Pass,
,,,,,,,,,,,,,,,,0.17972,,,,,,,,,,,302f5fa8-c0e2-4128-8e7f-bf581374e56e,67,,,"[92.3, 75.3]",3775581,1,,,,-1.8885944,,Right Foot,,,"[89.8, 67.7]",,Ground Pass,,8.000625,,Incomplete,,Erin Cuthbert,4660.0,,,,,,,1,Regular Play,Jessica Carter,19422.0,Right Back,4,Chelsea FCW,971,"['0dee650d-8860-4a73-9903-f52fdfd3a4dc', 'd288830c-f39f-48bf-892a-57118a68ffb5']",6,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:06.401,Pass,
,,,,,,,,,,,,,,,,1.661553,,,,,,,,,,,29653d1a-a30f-4ced-b39b-ef2fc9c4dbf0,72,,,"[106.1, 74.9]",3775581,1,,,,-1.3045443,,Right Foot,True,,"[113.9, 46.3]",,High Pass,,29.644562,,Incomplete,,Samantha May Kerr,4961.0,,,,,,,1,Regular Play,Jessica Carter,19422.0,Right Back,4,Chelsea FCW,971,"['500bf7c5-249d-426e-b71e-f6a321840339', 'c08b09e8-dbb6-494c-a5c3-3f34e922079b']",9,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:09.280,Pass,
,,,,,,,,,,,,,,,,2.944238,,,,,,,,,,,7e90ed21-85d7-4064-b37b-65f51099e86c,78,,,"[10.0, 10.4]",3775581,1,,,,0.06717152,,Left Foot,,,"[65.0, 14.1]",,High Pass,,55.124313,,Incomplete,,Mana Iwabuchi,25610.0,,,,,,,1,Regular Play,Asmita Ale,46541.0,Left Wing Back,4,Chelsea FCW,971,"['bfe62765-cbed-4c68-b1e1-345dbe1db968', 'ed195dae-9b5d-4d1c-8bca-a3cfa677fdf4']",15,,,,,,,,,,,,,,,,,Aston Villa,2647,00:01:15.019,Pass,
,,,,,,,,,,,,,,,,1.386628,,,,,,,,,,,bfe62765-cbed-4c68-b1e1-345dbe1db968,80,,,"[55.1, 66.0]",3775581,1,,,,-0.9342881,,Head,,,"[65.3, 52.2]",,Low Pass,,17.16042,,,,So-Yun Ji,4647.0,,,,,,Recovery,1,Regular Play,Millie Bright,4642.0,Right Center Back,4,Chelsea FCW,971,"['2741e626-c502-4d22-ad81-c34780b47aa7', '7e90ed21-85d7-4064-b37b-65f51099e86c']",17,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:17.963,Pass,
,,,,,,,,,,,,,,,,1.915331,,,,,,,,,,,72377ce1-3a4f-4ce6-8b43-35eb871bec45,83,,,"[57.8, 33.6]",3775581,1,,,,-1.1808785,,Right Foot,,,"[69.8, 4.4]",,Ground Pass,,31.569605,,,,Hannah Jayne Blundell,17275.0,,,,,,,1,Regular Play,So-Yun Ji,4647.0,Left Center Midfield,4,Chelsea FCW,971,['f409fc35-eb0c-42fe-8e0b-edd179b90321'],24,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:24.955,Pass,
,,,,,,,,,,,,,,,,5.393311,,,,,,,,,,,5093ea40-9d60-43d9-b2a9-3d03222b7b84,86,,,"[69.8, 4.4]",3775581,1,,,,-0.039254747,,Right Foot,,,"[102.9, 3.1]",,Ground Pass,,33.12552,,Incomplete,,Guro Reiten,10514.0,,,,,,,1,Regular Play,Hannah Jayne Blundell,17275.0,Left Back,4,Chelsea FCW,971,"['45e79434-528e-4776-81e0-2466086b1f9b', 'b7b073a6-4730-4a29-a5ef-976480085199']",27,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:27.912,Pass,
,,,,,,,,,,,,,,,,2.106245,,,,,,,,,,,4a9b0eaf-f263-4154-9091-b40a90c553df,91,,,"[15.3, 77.9]",3775581,1,,,,-2.0098011,,Left Foot,,,"[4.5, 54.9]",,Ground Pass,,25.409447,,,,Lisa Weiß,38317.0,,,,,,,1,Regular Play,Anita Amma Ankyewah Asante,4657.0,Right Center Back,5,Aston Villa,2647,['496dac4d-acbe-478f-a1e5-20282ad5bd4a'],34,,,,,,,,,,,,,,,,,Aston Villa,2647,00:01:34.371,Pass,
,,,,,,,,,,,,,,,,4.532239,,,,,,,,,,,6f19f11b-8099-4043-bbbe-e35e4b1bced0,93,,,"[4.5, 54.9]",3775581,1,,,,0.4706405,,Right Foot,,,"[38.7, 72.3]",,High Pass,,38.371864,,Incomplete,,Emma Follis,15557.0,,,,,,,1,Regular Play,Lisa Weiß,38317.0,Goalkeeper,5,Aston Villa,2647,"['b23e3bb9-8ba4-4d5d-8e20-99b7943536c8', 'c14cb10f-e096-4deb-b672-6498d652bf21']",36,,,,,,,,,,,,,,,,,Aston Villa,2647,00:01:36.477,Pass,
