50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7d39ffde-f82f-4667-bd08-f6a4bd1a4348,1,,,3775599,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 31555, 'name': 'Courtney Brosnan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 34232, 'name': 'Grace Fisk'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 18151, 'name': 'Gilly Louise Scarlett Flaherty'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 31157, 'name': 'Hawa Cissoko'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 31553, 'name': 'Cecilie Redisch Kvamme'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 24403, 'name': 'Katerina Svitková'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 10}, {'player': {'id': 18147, 'name': 'Kate Longhurst'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 31556, 'name': 'Laura Vetterlein'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 5076, 'name': 'Emily Louise van Egmond'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 10124, 'name': 'Dagný Brynjarsdóttir'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 32}]}",West Ham United LFC,972,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,79a56f8b-f6ae-4aae-8bef-8f05377213d9,2,,,3775599,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 15}, {'player': {'id': 46537, 'name': 'Jodie Hutton'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 46538, 'name': 'Ella Franklin-Fraiture'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 4}, {'player': {'id': 46541, 'name': 'Asmita Ale'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 25610, 'name': 'Mana Iwabuchi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 46543, 'name': 'Amy West'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 77717, 'name': 'Olivia McLoughlin'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 33010, 'name': 'Freya Gregory'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Aston Villa,2647,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3b8d95e4-0865-4808-9c06-0d451c8fb9ae,3,,,3775599,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['300a2c46-a76d-43b9-9f92-be1f5fdcb566'],0,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,300a2c46-a76d-43b9-9f92-be1f5fdcb566,4,,,3775599,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,West Ham United LFC,972,['3b8d95e4-0865-4808-9c06-0d451c8fb9ae'],0,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ed6fd85a-12c6-4921-854d-0c59d2fca611,1449,,,3775599,45,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,108,West Ham United LFC,972,['c630cd48-6dc2-4e7d-bacf-77bd5ca1f724'],0,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c630cd48-6dc2-4e7d-bacf-77bd5ca1f724,1450,,,3775599,45,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,108,West Ham United LFC,972,['ed6fd85a-12c6-4921-854d-0c59d2fca611'],0,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.628807,,,,,,,,,,,49a3b8f9-48e2-49b4-bb1a-86fd1adc04e4,5,,"[61.0, 40.1]",3775599,0,,,,,-2.7870984,,Right Foot,,"[45.6, 34.4]",Ground Pass,,16.421022,,,Jodie Hutton,46537.0,,,,Kick Off,1,From Kick Off,Olivia McLoughlin,77717.0,Left Center Midfield,2,Aston Villa,2647,['c5d1dfea-e323-41b2-b61f-23642128835f'],1,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:01.037,Pass,
,,,,,,,,,,,,,,,2.636244,,,,,,,,,,,e2fc069a-ee98-4ff9-a8b7-88d9979de0d5,7,,"[45.8, 35.0]",3775599,0,,,,,1.1864644,,Left Foot,,"[64.0, 80.0]",Low Pass,,48.541115,Out,,,,,True,,,1,From Kick Off,Jodie Hutton,46537.0,Left Center Back,2,Aston Villa,2647,,2,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:02.666,Pass,
,,,,,,,,,,,,,,,1.881709,,,,,,,,,,,8b6673d9-2072-453b-b0c6-35b5337a6c8b,8,,"[55.3, 0.1]",3775599,0,,,,,2.7359276,,,,"[39.7, 6.8]",Low Pass,,16.977926,,,Hawa Cissoko,31157.0,,,,Throw-in,1,From Throw In,Katerina Svitková,24403.0,Left Wing Back,3,West Ham United LFC,972,['acc984e9-5bfa-4025-8a5b-74c463c82096'],10,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:10.847,Pass,
,,,,,,,,,,,,,,,3.674307,,,,,,,,,,,1e792531-a2f5-4c07-b230-8c7e9ebfa7f6,14,,"[41.6, 1.7]",3775599,0,,,,,2.3181005,,Right Foot,,"[15.1, 30.3]",Ground Pass,,38.989872,,,Courtney Brosnan,31555.0,,,,Recovery,1,From Throw In,Katerina Svitková,24403.0,Left Wing Back,3,West Ham United LFC,972,['2f6e0669-9934-4d98-97cf-78d6168a9cfe'],15,,,,,,,,,,,,,,,,West Ham United LFC,972,00:00:15.023,Pass,
