ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,167b0396-f8d4-40e4-a27e-85e13aa8ea2b,1,,,,3775601,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15578, 'name': 'Faye Bryson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 19502, 'name': 'Meaghan Sargeant'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 36799, 'name': 'Kiera Skeels'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 29}, {'player': {'id': 31527, 'name': 'Ebony Salmon'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 31564, 'name': 'Molly Pike'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,8915959b-5bf5-42b5-bfd1-7fe0cb1a8f72,2,,,,3775601,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 15562, 'name': 'Lucy Staniforth'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 37}, {'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 31532, 'name': 'Kirsty Hanson'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 6817, 'name': 'Christen Annemarie Press'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,37c8e805-747b-492a-a894-edee6ccf6ac3,3,,,,3775601,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['1383a618-d33a-4a6a-82c4-ca514fca1f94'],0,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,1383a618-d33a-4a6a-82c4-ca514fca1f94,4,,,,3775601,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bristol City WFC,973,['37c8e805-747b-492a-a894-edee6ccf6ac3'],0,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,7c11cd91-f605-472b-8b45-3af62dc0b22c,1461,,,,3775601,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,Manchester United,1475,['158682e2-16d9-476a-9f10-cc1cd527f0f1'],0,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,158682e2-16d9-476a-9f10-cc1cd527f0f1,1462,,,,3775601,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,Manchester United,1475,['7c11cd91-f605-472b-8b45-3af62dc0b22c'],0,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.023986,,,,,,,,,,,cc18b719-37c5-48ae-ab14-eb42d3167bb3,5,,,"[61.0, 40.1]",3775601,0,,,,-2.8246498,,Right Foot,,,"[48.5, 36.0]",Ground Pass,,13.155227,,,Katie Zelem,31540.0,,,,,,Kick Off,1,From Kick Off,Christen Annemarie Press,6817.0,Center Forward,2,Manchester United,1475,['e5648fba-6708-417b-b0fd-27a8847f4deb'],0,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.281,Pass,
,,,,,,,,,,,,,,1.697091,,,,,,,,,,,8ca98b83-f191-41d8-bd27-fbdaed7f0aad,8,,,"[50.7, 47.0]",3775601,0,,,,2.6842475,,Right Foot,,,"[31.6, 56.4]",Ground Pass,,21.28779,,,Amy Turner,31533.0,,,,,,,1,From Kick Off,Katie Zelem,31540.0,Center Defensive Midfield,2,Manchester United,1475,['2fc46c4b-d09a-4c76-977b-e328d4442f21'],2,,,,,,,,,,,,,,,,Manchester United,1475,00:00:02.605,Pass,
,,,,,,,,,,,,,,0.952501,,,,,,,,,,,04d91544-f04e-4109-8d2f-88f143d06eca,11,,,"[33.4, 55.7]",3775601,0,,,,0.114876606,,Right Foot,,,"[46.4, 57.2]",Ground Pass,,13.086252,,,Katie Zelem,31540.0,,,,,,,1,From Kick Off,Amy Turner,31533.0,Right Center Back,2,Manchester United,1475,['ef4e967b-631c-4038-a6c4-28a4fe31243f'],5,,,,,,,,,,,,,,,,Manchester United,1475,00:00:05.006,Pass,
,,,,,,,,,,,,,,1.442006,,,,,,,,,,,780c4edc-c71c-40b5-a8d8-4b60f00124be,14,,,"[46.4, 57.2]",3775601,0,,,,1.9455425,,Right Foot,,,"[40.5, 72.2]",Ground Pass,,16.118622,,,Ona Batlle Pascual,46639.0,,,,,,,1,From Kick Off,Katie Zelem,31540.0,Center Defensive Midfield,2,Manchester United,1475,['7196260a-f9f5-49d6-bed7-710173a22ac4'],7,,,,,,,,,,,,,,,,Manchester United,1475,00:00:07.329,Pass,
