ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6cb8e8db-23ac-408a-aac1-ff60c7c567fe,1,,,3775610,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 46639, 'name': 'Ona Batlle Pascual'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 31533, 'name': 'Amy Turner'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 31536, 'name': 'Millie Turner'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 10196, 'name': 'Kirsty Smith'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 31539, 'name': 'Leah Galton'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 5013, 'name': 'Tobin Powell Heath'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 77}, {'player': {'id': 31534, 'name': 'Ella Toone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 31535, 'name': 'Jessica Sigsworth'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Manchester United,1475,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f722c5fd-c4db-4945-b4f8-ac441d9549b9,2,,,3775610,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 36801, 'name': 'Aimee Palmer'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 16394, 'name': 'Laura Rafferty'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 25547, 'name': 'Chloe Logarzo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 31527, 'name': 'Ebony Salmon'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,69908655-f7b3-42bb-8ec2-031f43ce141c,3,,,3775610,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,['d97ec0bf-4998-45c4-87d5-4962412d1be8'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d97ec0bf-4998-45c4-87d5-4962412d1be8,4,,,3775610,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Manchester United,1475,['69908655-f7b3-42bb-8ec2-031f43ce141c'],0,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b1444bfd-f242-48de-9360-4fcc68cfdd0d,1663,,,3775610,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,92,Manchester United,1475,['1d8518c8-c567-40e7-9845-4c47032f4e56'],0,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1d8518c8-c567-40e7-9845-4c47032f4e56,1664,,,3775610,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,92,Manchester United,1475,['b1444bfd-f242-48de-9360-4fcc68cfdd0d'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.291064,,,,,,,,,,,,,fa7ba3f0-13a3-4303-b1c7-a805af656b75,5,,"[61.0, 40.1]",3775610,0,,,,2.9996955,,Right Foot,,,,"[42.8, 42.7]",,Ground Pass,,18.384777,,,,Carla Humphrey,16384.0,,,,,,Kick Off,1,From Kick Off,Ebony Salmon,31527.0,Center Forward,2,Bristol City WFC,973,['d1b5a80f-d5fd-4063-971f-c4f492662a81'],0,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.552,Pass,
,,,,,,,,,,,,,,,,1.762613,,,,,,,,,,,,,8818d68f-9f61-46ca-a78c-9789065e1b32,8,,"[43.1, 50.4]",3775610,0,,,,2.3482583,,Right Foot,,,,"[30.6, 63.1]",,Ground Pass,,17.819653,,,,Aimee Palmer,36801.0,,,,,,,1,From Kick Off,Carla Humphrey,16384.0,Left Center Midfield,2,Bristol City WFC,973,['2151f011-9baf-40ee-a909-2ced7023efeb'],2,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:02.510,Pass,
,,,,,,,,,,,,,,,,1.765351,,,,,,,,,,,,,8854ac58-a849-4166-9ca7-e93bbb29377e,11,,"[31.6, 63.1]",3775610,0,,,,0.67531866,,Right Foot,,,,"[52.7, 80.0]",,Low Pass,,27.033682,,Out,,,,,,,,,,1,From Kick Off,Aimee Palmer,36801.0,Right Center Back,2,Bristol City WFC,973,,6,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:06.010,Pass,
,,,,,,,,,,,,,,,,1.139456,,,,,,,,,,,,,d3b3c82c-d4b8-4d58-8789-9ddf29a1cc91,12,,"[65.4, 0.1]",3775610,0,,,,2.0432932,,,,,,"[60.8, 9.1]",,Low Pass,,10.107423,,,,Katie Zelem,31540.0,,,,,,Throw-in,1,From Throw In,Kirsty Smith,10196.0,Left Back,3,Manchester United,1475,['dc50c104-13ef-4f2a-bdf2-840a52e744d0'],16,,,,,,,,,,,,,,,,,Manchester United,1475,00:00:16.063,Pass,
