ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b505f82f-ddc6-438c-8cb3-cf2b2209561d,1,,,,3775621,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 15719, 'name': 'Grace Moloney'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31628, 'name': 'Kristine Leine'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20061, 'name': 'Deanna Cooper'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 21021, 'name': 'Molly Bartrip'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 15704, 'name': 'Lily Woodham'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 15577, 'name': 'Angharad James'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5016, 'name': 'Jessica Fishlock'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 10251, 'name': 'Fara Williams'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 26570, 'name': 'Amalie Vevle Eikeland'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 15725, 'name': 'Natasha Harding'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 24281, 'name': 'Danielle Carter'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Reading WFC,974,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,405760f2-335e-4539-aef6-25e00c1eab10,2,,,,3775621,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 16376, 'name': 'Sophie Baggaley'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24922, 'name': 'Florence Allen'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 46741, 'name': 'Naomi Layzell'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 16381, 'name': 'Gemma Evans'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 24239, 'name': 'Jemma Elizabeth Purfield'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 16384, 'name': 'Carla Humphrey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 46737, 'name': 'Ella Jade Mastrantonio'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 10093, 'name': 'Yana Daniëls'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 15563, 'name': 'Charlie Wellings'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 46738, 'name': 'Emma Bissell'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 31527, 'name': 'Ebony Salmon'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Bristol City WFC,973,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9a35a5f1-e502-4a04-802d-cff9e564ff0f,3,,,,3775621,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['99b628c7-03e1-4928-8423-cf922f76284f'],0,,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,99b628c7-03e1-4928-8423-cf922f76284f,4,,,,3775621,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Reading WFC,974,['9a35a5f1-e502-4a04-802d-cff9e564ff0f'],0,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,77dd6f7b-e697-4ff5-9e47-fa7d1d6bfff1,1574,,,,3775621,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Bristol City WFC,973,['b6c09a26-8d2c-4480-bae1-28ca3e46ee84'],0,,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b6c09a26-8d2c-4480-bae1-28ca3e46ee84,1575,,,,3775621,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,100,Bristol City WFC,973,['77dd6f7b-e697-4ff5-9e47-fa7d1d6bfff1'],0,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,2.24555,,,,,,,,,,,,ea09ccd7-d352-4aa0-aae4-5ee896df5488,5,,,"[60.0, 40.0]",3775621,0,,,,,-2.0755894,,Right Foot,,,"[43.7, 10.5]",,Ground Pass,,33.70371,,,,Lily Woodham,15704.0,,,,,,Kick Off,1,From Kick Off,Danielle Carter,24281.0,Left Center Forward,2,Reading WFC,974,['22a194d2-3916-4ead-83ca-dc36ee65af92'],0,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:00.784,Pass,
,,,,,,,,,,,,,,,,1.505518,,,,,,,,,,,,2bce2f8d-3719-42a4-80f4-ce0d6b0504f8,8,,,"[43.7, 10.8]",3775621,0,,,,,2.4139814,,Left Foot,,,"[30.9, 22.2]",,Ground Pass,,17.140594,,,,Molly Bartrip,21021.0,,,,,,,1,From Kick Off,Lily Woodham,15704.0,Left Back,2,Reading WFC,974,['4da3c40c-7a43-4b39-a67e-ec81081e90a2'],3,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:03.069,Pass,
,,,,,,,,,,,,,,,,2.065683,,,,,,,,,,,,9cfbe081-ad4f-4694-b484-ba14e38cc9be,11,,,"[30.9, 22.2]",3775621,0,,,,,1.5636536,,Right Foot,,,"[31.1, 50.2]",,Ground Pass,,28.000713,,,,Deanna Cooper,20061.0,,,,,,,1,From Kick Off,Molly Bartrip,21021.0,Left Center Back,2,Reading WFC,974,['1615857d-ead4-471b-a2a0-6e3d300d7522'],5,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:05.744,Pass,
,,,,,,,,,,,,,,,,1.319879,,,,,,,,,,,,dfdedea5-e7db-4d99-80bc-80da8f2668cc,14,,,"[34.0, 56.4]",3775621,0,,,,,1.2505541,,Right Foot,,,"[40.6, 76.3]",,Ground Pass,,20.965925,,,,Kristine Leine,31628.0,,,,,,,1,From Kick Off,Deanna Cooper,20061.0,Right Center Back,2,Reading WFC,974,['d15543be-2bea-4846-9ade-997ab96ec8a8'],8,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:08.916,Pass,
,,,,,,,,,,,,,,,,0.079988,,,,,,,,,,,,996ede30-ad54-4699-9ed2-c8c3190e7f8f,18,,,"[41.5, 73.0]",3775621,0,,,,,-0.8224183,,Right Foot,,,"[42.8, 71.6]",,High Pass,,1.9104973,,Incomplete,,,,,,,,,,1,From Kick Off,Kristine Leine,31628.0,Right Back,2,Reading WFC,974,['2448e034-6785-4fec-8289-6ab3893a2b8d'],11,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:11.463,Pass,
,,,,,,,,,,,,,,,,2.831877,,,,,,,,,,,,c79275f5-f501-4a05-92a5-e4a1b10027b4,31,,,"[45.9, 80.0]",3775621,0,,,,,-2.0984418,,,,,"[29.0, 51.0]",,High Pass,,33.56501,,,,Molly Bartrip,21021.0,,,,,,Throw-in,1,From Throw In,Kristine Leine,31628.0,Right Back,3,Reading WFC,974,['20df678e-518a-4d26-b7b8-aed19095dbe2'],31,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:31.604,Pass,
,,,,,,,,,,,,,,,,1.700063,,,,,,,,,,,,0749ad01-04d8-45b2-886b-62c68f266c9f,35,,,"[26.1, 51.6]",3775621,0,,,,,2.8213973,,Right Foot,,,"[6.8, 58.0]",,Ground Pass,,20.33347,,,,Grace Moloney,15719.0,,,,,,,1,From Throw In,Molly Bartrip,21021.0,Left Center Back,3,Reading WFC,974,"['606c37ff-19b6-48ea-b94f-c51d0a3181ce', 'd8e30464-6777-42d6-8930-808f0d5df73b']",35,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:35.398,Pass,True
,,,,,,,,,,,,,,,,1.734868,,,,,,,,,,,,52df03a2-9210-4296-b669-9882d8e6362e,39,,,"[7.3, 57.4]",3775621,0,,,,,0.6787928,,Right Foot,,,"[22.3, 69.5]",,Ground Pass,,19.272001,,,,Deanna Cooper,20061.0,,,,,,,1,From Throw In,Grace Moloney,15719.0,Goalkeeper,3,Reading WFC,974,"['20468bd0-9efd-49df-889d-1edc53d09ff9', 'd85365ee-c3ee-476f-97e3-029a66eb4759']",37,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:37.944,Pass,True
,,,,,,,,,,,,,,,,2.177526,,,,,,,,,,,,33cc03f0-2e6f-40c8-b192-c7c498623930,42,,,"[31.4, 67.0]",3775621,0,,,,,-1.607144,,Right Foot,,,"[30.0, 28.5]",,Ground Pass,,38.525448,,,,Molly Bartrip,21021.0,,,,,,,1,From Throw In,Deanna Cooper,20061.0,Right Center Back,3,Reading WFC,974,['2bd3c673-a63f-4381-93c2-d8cc2f2be1dd'],42,,,,,,,,,,,,,,,,,,,Reading WFC,974,00:00:42.122,Pass,
