ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b7f68694-0261-4929-ad96-907e62ec630c,1,,,,3775633,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 46541, 'name': 'Asmita Ale'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 46537, 'name': 'Jodie Hutton'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 25610, 'name': 'Mana Iwabuchi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 46539, 'name': 'Nadine Hanssen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 10159, 'name': 'Diana Micaela Abreu de Sousa e Silva'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Aston Villa,2647,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3474ba9d-a583-4d35-87dc-d06060a70e1c,2,,,,3775633,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 36800, 'name': 'Aurora Watten Mikalsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 4648, 'name': 'Abbie McManus'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 5074, 'name': 'Shelina Laura Zadorsky'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15569, 'name': 'Kerys Harrop'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 15721, 'name': 'Gemma Suzanne Davison'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 31551, 'name': 'Kit Graham'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 31550, 'name': 'Angela Addison'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 31702, 'name': 'Rianna Dean'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Tottenham Hotspur Women,749,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,82665823-49b6-413e-a8bf-68fcc45eab52,3,,,,3775633,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,['dc452a79-0089-4e2e-82b6-d8349fd5718f'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dc452a79-0089-4e2e-82b6-d8349fd5718f,4,,,,3775633,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,['82665823-49b6-413e-a8bf-68fcc45eab52'],0,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7afbbb4b-d035-4bee-807a-be4c07f4de1e,1660,,,,3775633,45,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,102,Aston Villa,2647,['0f24b6bf-dcc8-4e94-93ce-80d19c9537dc'],0,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0f24b6bf-dcc8-4e94-93ce-80d19c9537dc,1661,,,,3775633,45,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,102,Aston Villa,2647,['7afbbb4b-d035-4bee-807a-be4c07f4de1e'],0,,,,,,,,,,,,,,,,,,Tottenham Hotspur Women,749,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,2.518957,,,,,,,,,,,,,5d4b6853-20d6-45f7-a931-0e4ab3e74306,5,,,"[60.0, 40.0]",3775633,0,,,,2.5447407,,Right Foot,,,"[26.3, 62.9]",Ground Pass,,40.744324,,,Elisha N''Dow,46534.0,,,,Kick Off,1,From Kick Off,Nadine Hanssen,46539.0,Left Center Midfield,2,Aston Villa,2647,['03fb4483-5b79-4680-9d43-1bd04fad0e4c'],0,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.341,Pass,
,,,,,,,,,,,,,,,,2.315289,,,,,,,,,,,,,2e8419ce-a5e6-4f44-9d08-b96f3b825678,9,,,"[29.6, 67.0]",3775633,0,,,,0.085394934,,Right Foot,,,"[81.0, 71.4]",High Pass,,51.587982,Incomplete,,Stine Larsen,10102.0,,,,,1,From Kick Off,Elisha N''Dow,46534.0,Right Center Back,2,Aston Villa,2647,"['5690cc17-cc32-4a7d-ab41-181cf3dd3524', 'fa3b407b-cc19-4593-8a84-7a3cc3062fb9']",4,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:04.733,Pass,
,,,,,,,,,,,,,,,,2.33836,,,,,,,,,,,,,a75065dc-79f0-4407-b7c3-f8b849aa7b4e,13,,,"[67.4, 80.0]",3775633,0,,,,-2.0922308,,,,,"[53.9, 56.5]",Low Pass,,27.10166,,,Marisa Ewers,15565.0,,,,Throw-in,1,From Throw In,Asmita Ale,46541.0,Right Wing Back,3,Aston Villa,2647,['8b8d120f-c33c-476d-9b95-20dcf3508964'],11,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:11.278,Pass,
,,,,,,,,,,,,,,,,1.510097,,,,,,,,,,,,,fd13188a-282f-4ece-bffb-b98730600425,17,,,"[52.0, 55.4]",3775633,0,,,,-1.8056173,,Right Foot,,,"[47.0, 34.5]",Ground Pass,,21.489765,,,Natalie Haigh,46535.0,,,,,1,From Throw In,Marisa Ewers,15565.0,Center Defensive Midfield,3,Aston Villa,2647,"['25b2c285-3aaa-4cfb-a142-463e4e2a3aa2', 'e596ffd7-517f-4c4e-8f64-75aa5854d9e2']",13,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:13.665,Pass,True
,,,,,,,,,,,,,,,,2.444905,,,,,,,,,,,,,cc32ff0e-b85e-40f3-a5e5-339aecf6ba8f,21,,,"[46.4, 28.4]",3775633,0,,,,0.12119794,,Left Foot,,,"[77.6, 32.2]",Ground Pass,,31.43056,,,Diana Micaela Abreu de Sousa e Silva,10159.0,,,,,1,From Throw In,Natalie Haigh,46535.0,Left Center Back,3,Aston Villa,2647,"['50bd6a00-ee13-4d01-9285-5b20ee283f54', 'b3f8e627-4783-4f6d-9a90-05b46d2cff2f']",16,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:16.667,Pass,True
,,,,,,,,,,,,,,,,0.126439,,,,,,,,,,,,,ae5e414e-0902-4a55-b1cd-c49748428b44,24,,,"[65.7, 34.8]",3775633,0,,,,1.1722739,,Right Foot,,,"[66.5, 36.7]",Ground Pass,,2.0615528,Incomplete,,Mana Iwabuchi,25610.0,,,,,1,From Throw In,Diana Micaela Abreu de Sousa e Silva,10159.0,Left Center Forward,3,Aston Villa,2647,"['ca07d8bc-a0a0-45df-8266-aa073c345d94', 'fe5238f4-6e42-40ad-a8e4-0d1fe7320cba']",20,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:20.357,Pass,
,,,,,,,,,,,,,,,,1.475211,,,,,,,,,,,,,42d7a4d2-e16c-471c-b6f9-3db8c299b370,27,,,"[63.6, 33.4]",3775633,0,,,,1.4980085,,Right Foot,,,"[64.3, 43.0]",Low Pass,,9.625487,Incomplete,,Mana Iwabuchi,25610.0,,,,Recovery,1,From Throw In,Diana Micaela Abreu de Sousa e Silva,10159.0,Left Center Forward,3,Aston Villa,2647,"['1a9f9ee9-5e52-421e-a11f-62329d8982f7', '99558147-54de-4657-badf-6df7395e5b5b']",21,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:21.281,Pass,
,,,,,,,,,,,,,,,,2.583833,,,,,,,,,,,,,e13a29f4-985c-4414-af27-843fbf80bc3e,34,,,"[76.2, 41.1]",3775633,0,,,,1.0686513,,Right Foot,,,"[91.3, 68.6]",Ground Pass,,31.37292,,,Asmita Ale,46541.0,,,,,1,From Throw In,Diana Micaela Abreu de Sousa e Silva,10159.0,Left Center Forward,3,Aston Villa,2647,"['5ffcc228-be35-4aa6-bacb-877f1ee7b282', 'f617dffc-0cf1-44b8-b330-af4ff59abcdf']",26,,,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:26.650,Pass,True
