50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,ce2ad13e-094d-4f13-b194-d084f79c4fc9,1,,,3775646,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 38317, 'name': 'Lisa Weiß'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 29}, {'player': {'id': 46541, 'name': 'Asmita Ale'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 46534, 'name': ""Elisha N''Dow""}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4657, 'name': 'Anita Amma Ankyewah Asante'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 46535, 'name': 'Natalie Haigh'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 15565, 'name': 'Marisa Ewers'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 46542, 'name': 'Sophie Haywood'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 19499, 'name': 'Shania Hayles'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 25610, 'name': 'Mana Iwabuchi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 46539, 'name': 'Nadine Hanssen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 23}, {'player': {'id': 10102, 'name': 'Stine Larsen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Aston Villa,2647,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,99e8c49b-42e6-4c51-8995-809f4f7c67d4,2,,,3775646,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 19421, 'name': 'Carly Mitchell Telford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 15631, 'name': 'Niamh Charles'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 15549, 'name': 'Sophie Louise Ingle'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 25612, 'name': 'Jessie Alexandra Fleming'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 4961, 'name': 'Samantha May Kerr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 10108, 'name': 'Pernille Mosegaard Harder'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 15550, 'name': 'Bethany England'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Chelsea FCW,971,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,616ab9db-32db-46dc-a425-cdda3af6d591,3,,,3775646,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,['05535fd5-5537-4874-ba8e-45145ed1c4b2'],0,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,05535fd5-5537-4874-ba8e-45145ed1c4b2,4,,,3775646,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Aston Villa,2647,['616ab9db-32db-46dc-a425-cdda3af6d591'],0,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,fa23afc4-b875-44ac-b58f-1916546ea2af,1817,,,3775646,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,93,Aston Villa,2647,['fc3cbaf6-2488-472b-8c74-7f1cc9e2dc4f'],0,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,fc3cbaf6-2488-472b-8c74-7f1cc9e2dc4f,1818,,,3775646,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,93,Aston Villa,2647,['fa23afc4-b875-44ac-b58f-1916546ea2af'],0,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.000,Half Start,
,,,,,,,,,,,,,1.27249,,,,,,,,,,94ad33d2-1d85-4192-b696-4cc2418e2573,5,,"[60.0, 40.0]",3775646,0,,,,,-2.9291606,,Right Foot,,,,"[49.8, 37.8]",,Ground Pass,,10.434558,,,,Marisa Ewers,15565.0,,,,,Kick Off,1,From Kick Off,Sophie Haywood,46542.0,Right Center Midfield,2,Aston Villa,2647,['7110cfa2-29e7-48d9-a891-9eea2a611f9a'],0,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:00.040,Pass,
,,,,,,,,,,,,,3.997196,,,,,,,,,,440a16eb-e9f4-4a4d-b205-6dade1a1ab30,7,,"[50.4, 36.9]",3775646,0,,,,,-0.69318205,,Right Foot,,,,"[94.7, 0.1]",,High Pass,,57.591057,,Out,,Natalie Haigh,46535.0,,,,,,1,From Kick Off,Marisa Ewers,15565.0,Center Defensive Midfield,2,Aston Villa,2647,['ce8e9f40-36e9-4f58-8f68-1e13eb45163e'],1,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:01.312,Pass,
,,,,,,,,,,,,,1.094616,,,,,,,,,,9d8e882d-bb67-4ebe-912b-c2909f07feb2,9,,"[32.3, 80.0]",3775646,0,,,,,-0.4160645,,,,,,"[40.9, 76.2]",,High Pass,,9.402127,,Incomplete,,Samantha May Kerr,4961.0,,,,,Throw-in,1,From Throw In,Maren Nævdal Mjelde,10395.0,Right Back,3,Chelsea FCW,971,"['08351f12-c159-4139-a3b6-9eda31bd5ec7', 'ae82cc80-dc55-4c9b-968e-33296d61a66b']",13,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:13.473,Pass,
,,,,,,,,,,,,,2.307819,,,,,,,,,,ae82cc80-dc55-4c9b-968e-33296d61a66b,11,,"[79.2, 3.9]",3775646,0,,,,,0.77993375,,Head,,,,"[88.4, 13.0]",,High Pass,,12.940248,,,,Mana Iwabuchi,25610.0,,,,,Interception,1,From Throw In,Shania Hayles,19499.0,Left Center Midfield,3,Chelsea FCW,971,"['1f63d1f6-073e-4d9c-9f10-cc490fcce981', '9d8e882d-bb67-4ebe-912b-c2909f07feb2']",14,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:14.568,Pass,
,,,,,,,,,,,,,0.586407,,,,,,,,,,827b5e8e-2e00-43d1-b950-a64cf9ab9853,17,,"[31.1, 71.2]",3775646,0,,,,,-1.6552106,,Right Foot,,,,"[30.0, 58.2]",,Low Pass,,13.046455,,,,Sophie Louise Ingle,15549.0,,,,,Recovery,1,From Throw In,Maren Nævdal Mjelde,10395.0,Right Back,3,Chelsea FCW,971,"['a1efd1cb-6b7c-4233-8cf3-677deb0840e1', 'a781581a-7ef8-44aa-a963-52415174fac8']",18,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:18.040,Pass,True
,,,,,,,,,,,,,0.641778,,,,,,,,,,55cfb3bc-61c6-4112-b79f-c0ac7022cc99,21,,"[83.4, 16.9]",3775646,0,,,,,0.43069252,,Left Foot,,,,"[94.5, 22.0]",,Low Pass,,12.215564,,Incomplete,,Stine Larsen,10102.0,,,,,Recovery,1,From Throw In,Nadine Hanssen,46539.0,Left Wing,3,Chelsea FCW,971,"['6c637899-7127-42ee-a51b-d4d90a204f59', 'b0938335-fad4-4e63-9a7d-ad5441fe7397']",20,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:20.158,Pass,
,,,,,,,,,,,,,0.829666,,,,,,,,,,92ca98e4-81aa-46a5-b261-cdae184b69c8,24,,"[88.9, 23.5]",3775646,0,,,,,-0.5404195,,Left Foot,,,,"[92.9, 21.1]",,High Pass,,4.6647615,,Incomplete,,Stine Larsen,10102.0,,,,,Recovery,1,From Throw In,Nadine Hanssen,46539.0,Left Wing,3,Chelsea FCW,971,"['558eabfc-9ab8-459f-a015-e511d88a2823', 'cbf5cb6f-e8d9-4d46-b20b-c4c3a318c285']",21,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:21.258,Pass,
,,,,,,,,,,,,,1.67299,,,,,,,,,,b190f32f-6093-44e6-a28a-7d7a2c7826b0,27,,"[82.3, 19.4]",3775646,0,,,,,-0.86481553,,Right Foot,,,,"[95.6, 3.8]",,High Pass,,20.5,,,,Mana Iwabuchi,25610.0,,,,,Recovery,1,From Throw In,Nadine Hanssen,46539.0,Left Wing,3,Chelsea FCW,971,['9c19de30-c0a1-480c-89f1-0ba6b0890e2e'],23,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:23.989,Pass,
,,,,,,,,,,,,,1.266352,,,,,,,,,,5b3b9b32-c284-4957-8b14-2e46d05d8572,32,,"[28.7, 80.0]",3775646,0,,,,,-0.60683274,,,,,,"[40.8, 71.6]",,High Pass,,14.729901,,,,Samantha May Kerr,4961.0,,,,,Throw-in,1,From Throw In,Maren Nævdal Mjelde,10395.0,Right Back,4,Chelsea FCW,971,['678c8b5e-602a-4b48-a7ca-fe9e89093d0f'],34,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:34.789,Pass,
,,,,,,,,,,,,,0.701959,,,,,,,,,,3bf6519a-2e32-4d5f-afae-1e34b7ccf790,35,,"[40.8, 71.6]",3775646,0,,,,,-1.7645948,,Right Foot,,,,"[38.7, 60.9]",,Low Pass,,10.904128,,Incomplete,,Sophie Louise Ingle,15549.0,,,,,,1,From Throw In,Samantha May Kerr,4961.0,Right Wing,4,Chelsea FCW,971,"['1bd8bf8e-c9fb-4bd2-a322-e273cab08ecd', '693c5db9-5691-4bab-a925-081c32f0838f']",36,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:36.120,Pass,
,,,,,,,,,,,,,0.838804,,,,,,,,,,4563d7fc-cfe2-450a-8346-6fc45151e77e,40,,"[82.6, 19.4]",3775646,0,,,,,0.6287963,,Right Foot,,,,"[93.6, 27.4]",,Ground Pass,,13.601471,,,,Stine Larsen,10102.0,,,,,,1,Regular Play,Sophie Haywood,46542.0,Right Center Midfield,5,Aston Villa,2647,['a8bc166a-adcb-4365-8588-93a163cd655a'],38,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:38.063,Pass,
,,,,,,,,,,,,,0.677465,,,,,,,,,,5bc570a6-57ce-4b0d-9a7e-ffe029319613,44,,"[95.3, 27.0]",3775646,0,,,,,-1.5248517,,Left Foot,,,,"[95.7, 18.3]",,Low Pass,,8.70919,,,,Mana Iwabuchi,25610.0,,,,,,1,Regular Play,Stine Larsen,10102.0,Center Forward,5,Aston Villa,2647,"['304078a5-479e-42c2-bacd-321b485070ef', 'adcdaf44-a697-407c-9cdf-3bdba1a1a243']",39,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:39.304,Pass,True
,,,,,,,,,,,,,1.26706,,,,,,,,,,e20a8ccc-93c9-42f5-9f90-a22ae5778cd5,48,,"[27.2, 80.0]",3775646,0,,,,,-0.5775591,,,,,,"[45.0, 68.4]",,High Pass,,21.246176,,,,Samantha May Kerr,4961.0,,,,,Throw-in,1,From Throw In,Maren Nævdal Mjelde,10395.0,Right Back,6,Chelsea FCW,971,['7a49269f-16d0-49c5-8191-7e5e4ff99b9f'],50,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:50.444,Pass,
,,,,,,,,,,,,,0.236237,,,,,,,,,,6278fa0c-55b7-4b34-8c8c-6ab975619b03,51,,"[45.0, 68.4]",3775646,0,,,,,1.1689256,,Right Foot,,,,"[46.7, 72.4]",,Low Pass,,4.346263,,Incomplete,,Bethany England,15550.0,,,,,,1,From Throw In,Samantha May Kerr,4961.0,Right Wing,6,Chelsea FCW,971,"['50b73ef0-da46-446e-89ee-2cec54b8987f', 'cb1c21c3-3525-459b-b9ac-3cc8a404152b']",51,,,,,,,,,,,,,,,,Chelsea FCW,971,00:00:51.784,Pass,
,,,,,,,,,True,,,,1.277759,,,,,,,,,,cb1c21c3-3525-459b-b9ac-3cc8a404152b,53,,"[73.4, 7.7]",3775646,0,,,,,-0.79615045,,Right Foot,,,,"[78.0, 3.0]",,Low Pass,,6.576473,,,,Natalie Haigh,46535.0,,,,,Interception,1,Regular Play,Marisa Ewers,15565.0,Center Defensive Midfield,7,Aston Villa,2647,"['1f2420dc-a937-47df-858e-7695322f65a4', '6278fa0c-55b7-4b34-8c8c-6ab975619b03']",52,,,,,,,,,,,,,,,,Aston Villa,2647,00:00:52.020,Pass,
