50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,7024da5d-4712-4802-bfc0-a59a68788543,1,,,3888701,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 397626, 'name': 'Félix Miéli Venerando'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 39708, 'name': 'Carlos Alberto Torres'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 397628, 'name': 'Hercules Brito Ruas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 397627, 'name': 'Wilson da Silva Piazza'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 397629, 'name': 'Everaldo Marques da Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 397620, 'name': 'Clodoaldo Tavares de Santana'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 397621, 'name': 'Gérson de Oliveira Nunes'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 397622, 'name': 'Jair Ventura Filho'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 397630, 'name': 'Roberto Rivelino'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 397637, 'name': 'Eduardo Gonçalves de Andrade'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 39712, 'name': 'Édson Arantes do Nascimento'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Brazil,781,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ed58f7d8-cb3c-413b-8d67-e01f3d690359,2,,,3888701,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 397639, 'name': 'Ladislao Mazurkiewicz Iglesias'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 397643, 'name': 'Ignacio Luis Ubiña'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 397641, 'name': 'Atilio Genaro Ancheta Weigel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 397642, 'name': 'Roberto Matosas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 397644, 'name': 'Juan Martin Mujica'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 397640, 'name': 'Julio Walter Montero Castillo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 397659, 'name': 'Julio César Cortés Lagos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 397660, 'name': 'Ildo Enrique Maneiro Ghezzi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 397658, 'name': 'Luis Alberto Cubilla Almeida'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 397655, 'name': 'Julio César Morales Araújo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 397645, 'name': 'Dagoberto Fontes'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Uruguay,783,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d69bdb2a-54f6-42b2-8a18-eadf0f7f632d,3,,,3888701,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['8e3a2c68-41bc-4582-9de9-0fb9c2d24f57'],0,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8e3a2c68-41bc-4582-9de9-0fb9c2d24f57,4,,,3888701,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Brazil,781,['d69bdb2a-54f6-42b2-8a18-eadf0f7f632d'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,4062a612-6639-4db0-b461-442149a59ddc,1820,,,3888701,45,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,108,Uruguay,783,['d14b2b7b-bfa4-4660-b715-b9d569417a0b'],0,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d14b2b7b-bfa4-4660-b715-b9d569417a0b,1821,,,3888701,45,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,108,Uruguay,783,['4062a612-6639-4db0-b461-442149a59ddc'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.124405,,,,,,,,,,,aa1b6e19-93c4-4a62-979c-07572cba387e,5,,"[60.0, 40.0]",3888701,0,,,,-1.152572,,Right Foot,,,"[62.0, 35.5]",,Ground Pass,4.924429,,Édson Arantes do Nascimento,39712.0,,,,,Kick Off,1,From Kick Off,Eduardo Gonçalves de Andrade,397637.0,Right Center Forward,2,Brazil,781,['91b5e46c-dec7-452f-8736-635bd7b0bfc0'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.557,Pass,
,,,,,,,,,,,,,,,,,,2.000266,,,,,,,,,,,a3f4d490-a21e-4404-a349-60418060fb01,8,,"[62.0, 35.7]",3888701,0,,,,2.160532,,Right Foot,,,"[53.1, 49.0]",,Ground Pass,16.003124,,Carlos Alberto Torres,39708.0,,,,,,1,From Kick Off,Édson Arantes do Nascimento,39712.0,Left Center Forward,2,Brazil,781,['f463d00a-b679-452b-901b-794e5d95dd99'],2,,,,,,,,,,,,,,,,,Brazil,781,00:00:02.340,Pass,
,,,,,,,,,,,,,,,,,,1.129448,,,,,,,,,,,0ee1eaf1-9513-4db6-b5a1-5cb4861056dc,11,,"[53.4, 44.7]",3888701,0,,,,-1.1226513,,Right Foot,,,"[55.9, 39.5]",,Ground Pass,5.7697487,,Gérson de Oliveira Nunes,397621.0,,,,,,1,From Kick Off,Carlos Alberto Torres,39708.0,Right Back,2,Brazil,781,['cb1a5d6e-5c99-4abc-9480-8da7cb273fb1'],4,,,,,,,,,,,,,,,,,Brazil,781,00:00:04.389,Pass,
,,,,,,,,,,,,,,,,,,1.404579,,,,,,,,,,,0c1f2a54-5e1e-47d1-a46a-1c05154bd99f,14,,"[55.7, 36.4]",3888701,0,,,,-1.7910451,,Left Foot,,,"[51.2, 16.3]",,Ground Pass,20.597572,,Everaldo Marques da Silva,397629.0,,,,,,1,From Kick Off,Gérson de Oliveira Nunes,397621.0,Left Defensive Midfield,2,Brazil,781,['1363614e-bd77-48bc-af71-0930c31c2676'],8,,,,,,,,,,,,,,,,,Brazil,781,00:00:08.213,Pass,
