ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0a4531fc-07db-4a64-a79c-133946796204,1,,,7529,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3444, 'name': 'Danijel Subašić'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3471, 'name': 'Dejan Lovren'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5468, 'name': 'Domagoj Vida'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 4}, {'player': {'id': 5460, 'name': 'Andrej Kramarić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Croatia,785,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,926e82a6-d217-40ce-8fee-11f0bf40a7a5,2,,,7529,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5454, 'name': 'Francis Odinaka Uzoho'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 5471, 'name': 'Abdullahi Shehu'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 5455, 'name': 'William Troost-Ekong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5467, 'name': 'Leon Aderemi Balogun'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5462, 'name': 'Brian Oladapo Idowu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 3647, 'name': 'Alex Iwobi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 3338, 'name': 'Onyinye Wilfred Ndidi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3963, 'name': 'Victor Moses'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5475, 'name': 'John Michael Nchekwube Obinna'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5458, 'name': 'Odion Jude Ighalo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Nigeria,775,00:00:00.000,Starting XI,
,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,7651ace6-e2c6-44ea-b260-e06093e09b1f,3,,,7529,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,['d859fd97-dd6e-4522-a14c-ab6f897e6fc2'],0,,,,,,,,,,,,,,,Nigeria,775,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,,d859fd97-dd6e-4522-a14c-ab6f897e6fc2,4,,,7529,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Croatia,785,['7651ace6-e2c6-44ea-b260-e06093e09b1f'],0,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,
,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,b07912e6-73c3-45a8-9a7c-f4cd902faa7b,1734,,,7529,45,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,83,Nigeria,775,['5213688d-5573-4bc3-ace3-0047400a4795'],0,,,,,,,,,,,,,,,Nigeria,775,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5213688d-5573-4bc3-ace3-0047400a4795,1735,,,7529,45,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,83,Nigeria,775,['b07912e6-73c3-45a8-9a7c-f4cd902faa7b'],0,,,,,,,,,,,,,,,Croatia,785,00:00:00.000,Half Start,
,,,,,,,,,,,,1.933,,,,,,,,,,,,,,,033adf13-61a5-450e-a381-59d0238cf0fa,5,,"[60.0, 41.0]",7529,0,,2.9361973,,,Right Foot,,,,"[36.0, 46.0]",Ground Pass,24.5153,,,William Troost-Ekong,5455.0,,,,,Kick Off,1,From Kick Off,John Michael Nchekwube Obinna,5475.0,Center Attacking Midfield,2,Nigeria,775,['1321857d-a142-45e3-8952-04b11b744990'],0,,,,,,,,,,,,,,,Nigeria,775,00:00:00.587,Pass,
,,,,,,,,,,,,3.12,,,,,,,,,,,,,,,626eb249-4ace-4368-8315-d2b910170a55,9,,"[36.0, 42.0]",7529,0,,-0.37724906,,,Right Foot,,,,"[89.0, 21.0]",High Pass,57.00877,,Unknown,Odion Jude Ighalo,5458.0,,,,,,1,From Kick Off,William Troost-Ekong,5455.0,Right Center Back,2,Nigeria,775,['f36b62b3-375f-4d58-b916-823afcf38544'],3,,,,,,,,,,,,,,,Nigeria,775,00:00:03.347,Pass,
,,,,,,,,,,,,1.573,,,,,,,,,,,,,,,32a8e9e1-5dbe-4873-9610-6a342d2132ca,13,,"[88.0, 24.0]",7529,0,,0.72165483,,,Right Foot,,,,"[113.0, 46.0]",High Pass,33.30165,,Incomplete,Odion Jude Ighalo,5458.0,,,,,Free Kick,1,From Free Kick,Victor Moses,3963.0,Right Wing,3,Nigeria,775,"['d02d4813-4cc9-4005-b3c6-684fbdc7b063', 'ee5306a7-629e-469b-8e0c-4efb82ac6c7c']",43,,,,,,,,,,,,,,,Nigeria,775,00:00:43.507,Pass,
,,,,,,,,,,,,1.72,,,,,,,,,,,,,,,7c4f6536-b508-49ba-9ad7-d60a3c079ee8,18,,"[32.0, 36.0]",7529,0,,-1.8568478,,,Right Foot,,,,"[27.0, 19.0]",High Pass,17.720045,,,Ivan Strinić,5457.0,,,,,,1,Regular Play,Luka Modrić,5463.0,Right Center Midfield,4,Croatia,785,['bba54f42-d9ea-4699-872d-62ba963f6d17'],48,,,,,,,,,,,,,,,Croatia,785,00:00:48.920,Pass,
