bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,952fcadb-68f6-44c5-ba13-d82e5fdd1d8a,1,,,,7536,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5639, 'name': 'Anga Dedryck Boyata'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 20}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 15}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5630, 'name': 'Dries Mertens'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Belgium,782,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,2597b095-1c3e-4a27-b020-23a95af5b965,2,,,,7536,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 5636, 'name': 'Jaime Manuel Penedo Cano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5641, 'name': 'Michael Amir Murillo Bermudez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5635, 'name': 'Román Aureliano Torres Morcillo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5638, 'name': 'Fidel Escobar Mendieta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5634, 'name': 'Erick Javier Davis Grajales'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 5640, 'name': 'Gabriel Enrique Gómez Girón'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5645, 'name': 'Armando Enrique Cooper Whitaker'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 5646, 'name': 'Aníbal Cesis Godoy'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5637, 'name': 'Edgar Yoel Bárcenas Herrera'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 5628, 'name': 'José Luis Rodríguez Francis'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 5631, 'name': 'Blas Antonio Miguel Pérez Ortega'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Panama,798,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,7ec9259e-712b-40d0-9d8a-7889a66009f5,3,,,,7536,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,['a8a4311e-836d-4a79-8ea2-79885707d306'],0,,,,,,,,,,,,,,,,,Panama,798,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,a8a4311e-836d-4a79-8ea2-79885707d306,4,,,,7536,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,['7ec9259e-712b-40d0-9d8a-7889a66009f5'],0,,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,,,9.68,,,,,,,,,,,,0bb12bbc-46fe-40ec-84f5-b4c229214067,1976,,,,7536,45,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Belgium,782,['ef8220ac-03ff-41b1-bc9e-dd513958f42e'],0,,,,,,,,,,,,,,,,,Panama,798,00:00:00.000,Half Start,
,,,,,,,,,,,,9.813,,,,,,,,,,,,ef8220ac-03ff-41b1-bc9e-dd513958f42e,1977,,,,7536,45,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Belgium,782,['0bb12bbc-46fe-40ec-84f5-b4c229214067'],0,,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,,,4.0,,,,,,,,,,,,631177d7-7f17-468f-9cee-6c8a295bac9b,5,,,"[61.0, 40.0]",7536,0,,-2.9495447,,,Right Foot,,,"[25.0, 33.0]",,Ground Pass,36.67424,,,Fidel Escobar Mendieta,5638.0,,,,,Kick Off,1,From Kick Off,Armando Enrique Cooper Whitaker,5645.0,Right Center Midfield,2,Panama,798,['358d5e79-1e7a-483c-b416-8ba5cfcef85c'],0,,,,,,,,,,,,,,,,,Panama,798,00:00:00.160,Pass,
,,,,,,,,,,,,2.92,,,,,,,,,,,,bf9608a9-4cd9-4612-8ba2-de4568a02ddf,8,,,"[24.0, 33.0]",7536,0,,-0.03173537,,,Right Foot,,,"[87.0, 31.0]",,High Pass,63.03174,,,Blas Antonio Miguel Pérez Ortega,5631.0,,,,,,1,From Kick Off,Fidel Escobar Mendieta,5638.0,Left Center Back,2,Panama,798,['184d38f5-5046-4305-ae6c-e2e14ee27fb7'],4,,,,,,,,,,,,,,,,,Panama,798,00:00:04.200,Pass,
,,,,,,,,,,,,2.8,,,,,,,,,,,,764ca20c-6c35-4cfd-a639-6c07b37debce,10,,,"[87.0, 29.0]",7536,0,,0.49934673,,,Head,,,"[109.0, 41.0]",,High Pass,25.059929,,Incomplete,Edgar Yoel Bárcenas Herrera,5637.0,,,,,,1,From Kick Off,Blas Antonio Miguel Pérez Ortega,5631.0,Center Forward,2,Panama,798,"['5860861e-c09e-412a-991e-63aa5e87f65f', 'ee9081c1-2b3c-4630-bc1a-924aa12b49af']",7,,,,,,,,,,,,,,,,,Panama,798,00:00:07.120,Pass,
,,,,,,,,,,,,1.253,,,,,,,,,,,,872acc36-eeec-40c8-8976-d3fb6c94a1f2,14,,,"[16.0, 32.0]",7536,0,,-0.95613337,,,Keeper Arm,,,"[28.0, 15.0]",,Ground Pass,20.808653,,,Yannick Ferreira Carrasco,5633.0,,,,,,1,Regular Play,Thibaut Courtois,3509.0,Goalkeeper,3,Belgium,782,['3aa3f05f-f55c-4376-bb98-b1a0b91757f1'],12,,,,,,,,,,,,,,,,,Belgium,782,00:00:12.480,Pass,
