ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.0,,,,,,,,,,,,,,3592ba5e-0552-4186-9a29-12595ff1b71e,1,,,,7538,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden,790,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5622, 'name': 'Robin Olsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5612, 'name': 'Mikael Lustig'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 4709, 'name': 'Pontus Jansson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 5607, 'name': 'Andreas Granqvist'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5621, 'name': 'Ludwig Augustinsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5613, 'name': 'Viktor Claesson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5625, 'name': 'Emil Peter Forsberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 11098, 'name': 'Marcus Berg'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 4417, 'name': 'Ola Toivonen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Sweden,790,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,,,,8e086643-910b-4022-bd35-2f191933fd10,2,,,,7538,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden,790,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5619, 'name': 'Hyeon-Woo Jo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 5608, 'name': 'Yong Lee'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5606, 'name': 'Hyun-Soo Jang'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 5604, 'name': 'Young-Gwon Kim'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 5609, 'name': 'Joo-Ho Park'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 3605, 'name': 'Sung-Yeung Ki'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5623, 'name': 'Jae-Sung Lee'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 5627, 'name': 'Ja-Cheol Koo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 5620, 'name': 'Hee-Chan Hwang'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3083, 'name': 'Heung-Min Son'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5626, 'name': 'Shin-Wook Kim'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",South Korea,791,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,,0fbe130d-b22f-4573-be11-a810d004a4c7,3,,,,7538,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden,790,['d08bdde9-47f4-4cf5-9382-352a512c91ed'],0,,,,,,,,,,,,,,,,,Sweden,790,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,d08bdde9-47f4-4cf5-9382-352a512c91ed,4,,,,7538,0,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden,790,['0fbe130d-b22f-4573-be11-a810d004a4c7'],0,,,,,,,,,,,,,,,,,South Korea,791,00:00:00.000,Half Start,
,,,,,,,,,,,9.533,,,,,,,,,,,,,,0a092b1c-6a42-49a6-813c-dc8eb7598237,1647,,,,7538,45,,,,,,,,,,,,,,,,,,2,From Keeper,,,,91,South Korea,791,['a6741d56-3951-4c75-92d6-bce0d9d6c306'],0,,,,,,,,,,,,,,,,,Sweden,790,00:00:00.000,Half Start,
,,,,,,,,,,,9.613,,,,,,,,,,,,,,a6741d56-3951-4c75-92d6-bce0d9d6c306,1648,,,,7538,45,,,,,,,,,,,,,,,,,,2,From Keeper,,,,91,South Korea,791,['0a092b1c-6a42-49a6-813c-dc8eb7598237'],0,,,,,,,,,,,,,,,,,South Korea,791,00:00:00.000,Half Start,
,,,,,,,,,,,1.4,,,,,,,,,,,,,,93ee8894-dff6-4353-b8d3-f861cf7a218e,5,,,"[61.0, 41.0]",7538,0,,,-2.976444,,,Left Foot,,,"[37.0, 37.0]",Ground Pass,24.33105,,Young-Gwon Kim,5604.0,,,Kick Off,1,From Kick Off,Jae-Sung Lee,5623.0,Right Center Midfield,2,South Korea,791,['0b25985d-5bd2-4bf3-9886-f5c682d22f01'],0,,,,,,,,,,,,,,,,,South Korea,791,00:00:00.693,Pass,
,,,,,,,,,,,3.266,,,,,,,,,,,,,,60e3a3e1-436a-4199-b1e9-49000ff9fec9,8,,,"[38.0, 37.0]",7538,0,,,0.68681765,,,Left Foot,,,"[88.0, 78.0]",High Pass,64.66065,,Shin-Wook Kim,5626.0,,True,,1,From Kick Off,Young-Gwon Kim,5604.0,Left Center Back,2,South Korea,791,['4b6b7c2f-ec3d-4f47-9c7c-9559ae4e93e5'],3,,,,,,,,,,,,,,,,,South Korea,791,00:00:03.893,Pass,
,,,,,,,,,,,1.56,,,,,,,,,,,,,,3dfd83e4-3029-4eb5-9df8-dd176b67c323,10,,,"[95.0, 73.0]",7538,0,,True,-0.69473827,,,,,,"[101.0, 68.0]",Low Pass,7.81025,Incomplete,Hee-Chan Hwang,5620.0,,,,1,From Kick Off,Shin-Wook Kim,5626.0,Center Forward,2,South Korea,791,"['05569f89-96d2-422e-85be-11898fd53103', '63092090-480c-4a51-b693-cb8513ee1a4a', '84b369da-6cd5-44cf-9b66-ed33f0ed2386']",7,,,,,,,,,,,,,,,,,South Korea,791,00:00:07.173,Pass,True
,,,,,,,,,,,1.8,,,,,,,,,,,,,,63092090-480c-4a51-b693-cb8513ee1a4a,13,,,"[20.0, 13.0]",7538,0,,,0.18311082,,,Left Foot,,,"[47.0, 18.0]",High Pass,27.45906,Incomplete,Ola Toivonen,4417.0,,,Recovery,1,From Kick Off,Andreas Granqvist,5607.0,Left Center Back,2,South Korea,791,"['3dfd83e4-3029-4eb5-9df8-dd176b67c323', '571110ae-49a0-42df-85ad-6e60d9fb0d3b', 'ffc7bb45-dd36-4d34-86da-1d301c67e67b']",8,,,,,,,,,,,,,,,,,Sweden,790,00:00:08.733,Pass,
,,,,,,,,,,,1.96,,,,,,,,,,,,,,571110ae-49a0-42df-85ad-6e60d9fb0d3b,15,,,"[74.0, 63.0]",7538,0,,,1.19029,,,Head,,,"[80.0, 78.0]",Low Pass,16.155495,,Yong Lee,5608.0,,,Recovery,1,From Kick Off,Sung-Yeung Ki,3605.0,Center Defensive Midfield,2,South Korea,791,"['63092090-480c-4a51-b693-cb8513ee1a4a', '80e71448-5acc-4115-9b74-556e66175140']",10,,,,,,,,,,,,,,,,,South Korea,791,00:00:10.533,Pass,
,,,,,,,,,,,0.173,,,,,,,,,,,,,,c8d4089f-cf9c-4f7b-ab1a-8f30ab67de3c,18,,,"[80.0, 78.0]",7538,0,,,3.1415927,,,Right Foot,,,"[77.0, 78.0]",High Pass,3.0,Incomplete,,,,,,1,From Kick Off,Yong Lee,5608.0,Right Back,2,South Korea,791,['0c732fe5-d75a-4d84-a468-1e44540b18f1'],12,,,,,,,,,,,,,,,,,South Korea,791,00:00:12.680,Pass,
,,,,,,,,,,,1.08,,,,,,,,,,,,,,ed7925fe-3adb-492f-8b0c-f62b9fbdb234,20,,,"[80.0, 80.0]",7538,0,,,-0.95054686,,,,,,"[85.0, 73.0]",Low Pass,8.602325,,Jae-Sung Lee,5623.0,,,Throw-in,1,From Throw In,Yong Lee,5608.0,Right Back,3,South Korea,791,['5aabdd7d-6abc-4c6e-ba9e-762e63c8f434'],24,,,,,,,,,,,,,,,,,South Korea,791,00:00:24.693,Pass,
