ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,0.0,,,,,,,,,,,,,c6efd9a9-bc39-4d46-9ddb-fac2b90e1d5d,1,,,7539,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Poland,789,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5658, 'name': 'Łukasz Piszczek'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5662, 'name': 'Thiago Rangel Cionek'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5670, 'name': 'Michał Pazdan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5672, 'name': 'Maciej Rybus'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 3637, 'name': 'Grzegorz Krychowiak'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 5663, 'name': 'Jakub Błaszczykowski'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 5665, 'name': 'Arkadiusz Milik'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 5667, 'name': 'Kamil Grosicki'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5668, 'name': 'Robert Lewandowski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Poland,789,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,,,,,0a53a59e-508b-4de5-92b9-82f9582354d0,2,,,7539,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Poland,789,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5659, 'name': 'Khadim N""Diaye'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 5674, 'name': 'Moussa Wagué'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5664, 'name': 'Salif Sané'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3404, 'name': 'Youssouf Sabaly'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 3436, 'name': 'Idrissa Gana Gueye'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5671, 'name': ""Alfred John Momar N''Diaye""}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 2941, 'name': 'Ismaïla Sarr'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3603, 'name': 'Mame Biram Diouf'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Senegal,787,00:00:00.000,Starting XI,
,,,,,,,,,,8.84,,,,,,,,,,,,,380e6baf-ca7d-42a2-ad1b-48b1f71f0ec7,3,,,7539,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Poland,789,['ee888575-70bd-4553-b672-8e53bc51ce2e'],0,,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Half Start,
,,,,,,,,,,8.84,,,,,,,,,,,,,ee888575-70bd-4553-b672-8e53bc51ce2e,4,,,7539,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Poland,789,['380e6baf-ca7d-42a2-ad1b-48b1f71f0ec7'],0,,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,,0a5d11bc-fa20-4339-bc75-aff352b31912,1808,,,7539,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Poland,789,['d595a2e8-947f-4328-9edb-38fda18f6615'],0,,,,,,,,,,,,,,,,,,Poland,789,00:00:00.000,Half Start,
,,,,,,,,,,0.0,,,,,,,,,,,,,d595a2e8-947f-4328-9edb-38fda18f6615,1809,,,7539,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Poland,789,['0a5d11bc-fa20-4339-bc75-aff352b31912'],0,,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,1.12,,,,,,,,,,,,,9ebae6b1-76d8-4735-b42f-ff3c62ed9392,5,,"[61.0, 41.0]",7539,0,,3.1415927,,,Left Foot,,,,"[37.0, 41.0]",,Ground Pass,24.0,,,Kalidou Koulibaly,5675.0,,,,,Kick Off,1,From Kick Off,M''Baye Babacar Niang,5661.0,Left Center Forward,2,Senegal,787,['06b3d1ef-6e24-4205-82e2-ca857e05d976'],0,,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.500,Pass,
,,,,,,,,,,2.92,,,,,,,,,,,,,3fdd00b9-abdd-498b-81ae-127fcb19fc7c,7,,"[38.0, 40.0]",7539,0,,0.015383402,,,Right Foot,,,,"[103.0, 41.0]",,High Pass,65.00769,,Incomplete,M''Baye Babacar Niang,5661.0,,,,,,1,From Kick Off,Kalidou Koulibaly,5675.0,Left Center Back,2,Senegal,787,"['24f47e0c-ef2a-44f3-b298-4a9189da61f6', 'c30727ea-4fc0-4d50-8df3-4c828fe35a06']",1,,,,,,,,,,,,,,,,,,Senegal,787,00:00:01.620,Pass,
,,,,,,,,,,1.68,,,,,,,,,,,,,c30727ea-4fc0-4d50-8df3-4c828fe35a06,9,,"[18.0, 40.0]",7539,0,,-0.348771,,,Head,,,,"[40.0, 32.0]",,High Pass,23.409399,,,Piotr Zieliński,5660.0,,,,,Recovery,1,Regular Play,Thiago Rangel Cionek,5662.0,Right Center Back,3,Poland,789,"['3fdd00b9-abdd-498b-81ae-127fcb19fc7c', '805d1993-3836-4d1a-9bae-e187bb0c80b2']",4,,,,,,,,,,,,,,,,,,Poland,789,00:00:04.540,Pass,
,,,,,,,,,,1.733,,,,,,,,,,,,,8d57816d-e291-4386-b77e-e566a6770629,16,,"[33.0, 44.0]",7539,0,,-1.6064954,,,Right Foot,,,,"[32.0, 16.0]",,Ground Pass,28.01785,,,Michał Pazdan,5670.0,,,,,Free Kick,1,From Free Kick,Thiago Rangel Cionek,5662.0,Right Center Back,4,Poland,789,['b21746cb-e68e-45ba-a23b-433b02b5a43d'],22,,,,,,,,,,,,,,,,,,Poland,789,00:00:22.420,Pass,
