50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,,7e402764-77cd-4b70-8d70-d31c83d8324a,1,,,7558,0,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5267, 'name': 'Néstor Fernando Muslera Micol'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5248, 'name': 'José Martín Cáceres Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 6300, 'name': 'Sebastián Coates Nión'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5717, 'name': 'Diego Sebastián Laxalt Suárez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 5266, 'name': 'Lucas Torreira Di Pascua'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5247, 'name': 'Nahitan Michel Nández Acosta'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 5260, 'name': 'Rodrigo Bentancur Colmán'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Uruguay,783,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,f7437205-f967-4d76-b5a4-1e0192821202,2,,,7558,0,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5172, 'name': 'Igor Akinfeev'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6298, 'name': 'Igor Smolnikov'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 5175, 'name': 'Ilya Kutepov'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5174, 'name': 'Sergei Ignashevich'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5677, 'name': 'Fedor Kudryashov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 5171, 'name': 'Roman Zobnin'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 5181, 'name': 'Yury Gazinskiy'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5182, 'name': 'Aleksandr Samedov'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 6299, 'name': 'Aleksey Miranchuk'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 5186, 'name': 'Denis Cheryshev'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 6}, {'player': {'id': 5195, 'name': 'Artem Dzyuba'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Russia,796,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,,fcd51684-2529-41f7-890f-2dc279b6f09d,3,,,7558,0,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,['6308d234-e92e-458e-a073-4e3a298247c4'],0,,,,,,,,,,,,,,,,Russia,796,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,6308d234-e92e-458e-a073-4e3a298247c4,4,,,7558,0,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,['fcd51684-2529-41f7-890f-2dc279b6f09d'],0,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,9.493,,,,,,,,,,,,,7eaad258-5d48-4136-abb2-e30036404019,1633,,,7558,45,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Russia,796,['df3fa3b8-674a-4cbc-8c38-edec1dc273c6'],0,,,,,,,,,,,,,,,,Russia,796,00:00:00.000,Half Start,
,,,,,,,,,,,,9.64,,,,,,,,,,,,,df3fa3b8-674a-4cbc-8c38-edec1dc273c6,1634,,,7558,45,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Russia,796,['7eaad258-5d48-4136-abb2-e30036404019'],0,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,1.733,,,,,,,,,,,,,3da18671-e44e-40d9-8535-f176057d9785,5,,"[61.0, 41.0]",7558,0,,-2.9816794,,,Left Foot,,,"[30.0, 36.0]",Ground Pass,31.400637,,Sergei Ignashevich,5174.0,,,Kick Off,1,From Kick Off,Aleksey Miranchuk,6299.0,Center Attacking Midfield,2,Russia,796,['88c02e51-2152-429e-8b23-f9764c301295'],0,,,,,,,,,,,,,,,,Russia,796,00:00:00.640,Pass,
,,,,,,,,,,,,3.4,,,,,,,,,,,,,8fc19be7-1bb5-40bd-bd57-e0e2a4bde811,9,,"[29.0, 42.0]",7558,0,,0.35370314,,,Right Foot,,,"[94.0, 66.0]",High Pass,69.289246,,Artem Dzyuba,5195.0,,,,1,From Kick Off,Sergei Ignashevich,5174.0,Left Center Back,2,Russia,796,['ceb889ed-4b8a-49eb-a9ae-010100505f8c'],4,,,,,,,,,,,,,,,,Russia,796,00:00:04.600,Pass,
,,,,,,,,,,,,3.293,,,,,,,,,,,,,7942bfe8-6b16-42d7-93d3-a4ea91f003cc,11,,"[94.0, 66.0]",7558,0,,0.0,,,Head,,,"[120.0, 66.0]",High Pass,26.0,Out,,,,,,1,From Kick Off,Artem Dzyuba,5195.0,Center Forward,2,Russia,796,,8,,,,,,,,,,,,,,,,Russia,796,00:00:08.000,Pass,
,,,,,,,,,,,,1.72,,,,,,,,,,,,,71099eb5-9398-4c66-ae7f-7aef274b37b5,12,,"[6.0, 36.0]",7558,0,,0.9357696,,,Right Foot,,,"[20.0, 55.0]",Ground Pass,23.600847,,Sebastián Coates Nión,6300.0,,,Goal Kick,1,From Goal Kick,Néstor Fernando Muslera Micol,5267.0,Goalkeeper,3,Uruguay,783,['84ed88f9-a698-41ac-b701-1c5918698acc'],18,,,,,,,,,,,,,,,,Uruguay,783,00:00:18.440,Pass,
