50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6553375d-0052-4dce-86ce-25a025439f1a,1,,,7565,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Serbia,786,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5601, 'name': 'Vladimir Stojković'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5588, 'name': 'Antonio Rukavina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5603, 'name': 'Nikola Milenković'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6321, 'name': 'Milos Veljkovic'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 5596, 'name': 'Aleksandar Kolarov'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 5589, 'name': 'Sergej Milinković-Savić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 3381, 'name': 'Nemanja Matić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 3831, 'name': 'Dušan Tadić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5587, 'name': 'Adem Ljajić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 5591, 'name': 'Filip Kostić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 4269, 'name': 'Aleksandar Mitrović'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Serbia,786,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,da364439-b9cf-4631-8777-069fe23be463,2,,,7565,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Serbia,786,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5547, 'name': 'Alisson Ramsés Becker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5838, 'name': 'Fágner Conserva Lemos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 3295, 'name': 'Thiago Emiliano da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5542, 'name': 'José Paulo Bezzera Maciel Júnior'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 3472, 'name': 'Willian Borges da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3202, 'name': 'Gabriel Fernando de Jesus'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Brazil,781,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cfb9f7ae-d679-48b2-8963-c36ce61bff31,3,,,7565,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Serbia,786,['24dfee95-8fba-47a9-8a66-d6a7f4994d54'],0,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.000,Half Start,
,,,,,,,,,,,,,,8.2,,,,,,,,,,,,24dfee95-8fba-47a9-8a66-d6a7f4994d54,4,,,7565,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Serbia,786,['cfb9f7ae-d679-48b2-8963-c36ce61bff31'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a66d44cc-244d-42bf-824c-e51a7fdcdaa6,1869,,,7565,45,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Serbia,786,['74575a98-7407-4b5c-b177-3c8fbc0ded59'],0,,,,,,,,,,,,,,,,,Serbia,786,00:00:00.000,Half Start,
,,,,,,,,,,,,,,9.08,,,,,,,,,,,,74575a98-7407-4b5c-b177-3c8fbc0ded59,1870,,,7565,45,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Serbia,786,['a66d44cc-244d-42bf-824c-e51a7fdcdaa6'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.2,,,,,,,,,,,,619c632f-745a-461d-8b41-899699b61c21,5,,"[61.0, 40.0]",7565,0,,-3.0791738,,,Right Foot,,,,"[45.0, 39.0]",,Ground Pass,16.03122,,Carlos Henrique Casimiro,5539.0,,,Kick Off,1,From Kick Off,Gabriel Fernando de Jesus,3202.0,Center Forward,2,Brazil,781,['36f79f42-7c07-4f0f-9e3b-6399456a4bb5'],0,,,,,,,,,,,,,,,,,Brazil,781,00:00:00.200,Pass,
,,,,,,,,,,,,,,0.68,,,,,,,,,,,,8d7e3098-6caf-43a7-b27c-4690db39c447,8,,"[45.0, 39.0]",7565,0,,1.4056476,,,Right Foot,,,,"[46.0, 45.0]",,Ground Pass,6.0827627,,José Paulo Bezzera Maciel Júnior,5542.0,,,,1,From Kick Off,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,2,Brazil,781,['1c8abbcb-3942-4594-8c0b-f63208d3d37c'],1,,,,,,,,,,,,,,,,,Brazil,781,00:00:01.500,Pass,
,,,,,,,,,,,,,,1.28,,,,,,,,,,,,55a1c7b7-7fbd-4b32-bb19-356107258b10,11,,"[45.0, 46.0]",7565,0,,-1.959115,,,Right Foot,,,,"[36.0, 24.0]",,Ground Pass,23.769728,,João Miranda de Souza Filho,5551.0,,,,1,From Kick Off,José Paulo Bezzera Maciel Júnior,5542.0,Right Center Midfield,2,Brazil,781,['e2950f21-5979-4bed-b4e8-2c2f59fc8973'],2,,,,,,,,,,,,,,,,,Brazil,781,00:00:02.320,Pass,
,,,,,,,,,,,,,,0.84,,,,,,,,,,,,68168471-53b8-4a0f-a13e-e8cf296e343d,15,,"[36.0, 24.0]",7565,0,,-0.22679885,,,Right Foot,,,,"[49.0, 21.0]",,Ground Pass,13.341664,,Philippe Coutinho Correia,3501.0,,,,1,From Kick Off,João Miranda de Souza Filho,5551.0,Left Center Back,2,Brazil,781,"['186afb67-afda-4ef9-87b3-fe8565a698d6', '7cd5dfa8-1923-4aef-ab57-8c0889f3706b']",3,,,,,,,,,,,,,,,,,Brazil,781,00:00:03.740,Pass,True
