50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,38db71b7-60cf-4eef-a4fc-545c83519277,1,,,,7579,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5267, 'name': 'Néstor Fernando Muslera Micol'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5248, 'name': 'José Martín Cáceres Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5717, 'name': 'Diego Sebastián Laxalt Suárez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 5266, 'name': 'Lucas Torreira Di Pascua'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5247, 'name': 'Nahitan Michel Nández Acosta'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 5255, 'name': 'Matías Vecino Falero'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 5260, 'name': 'Rodrigo Bentancur Colmán'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 4319, 'name': 'Edinson Roberto Cavani Gómez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Uruguay,783,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,850dc93b-4ec5-440b-b484-3a8ce1e2d262,2,,,,7579,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5205, 'name': 'Rui Pedro dos Santos Patrício'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6352, 'name': 'Ricardo Domingos Barbosa Pereira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 3960, 'name': 'José Miguel da Rocha Fonte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 5209, 'name': 'Raphaël Adelino José Guerreiro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 3193, 'name': 'Bernardo Mota Veiga de Carvalho e Silva'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 3707, 'name': 'Adrien Sebastian Perruchet Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 5214, 'name': 'William Silva de Carvalho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 4272, 'name': 'João Mário Naval da Costa Eduardo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 4367, 'name': 'Gonçalo Manuel Ganchinho Guedes'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Portugal,780,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,0d5580af-5f58-42d1-aeb7-4cdb4f4d38e8,3,,,,7579,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,['ca8bff4b-aa18-4724-9f00-183ba1c48a5e'],0,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,ca8bff4b-aa18-4724-9f00-183ba1c48a5e,4,,,,7579,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Uruguay,783,['0d5580af-5f58-42d1-aeb7-4cdb4f4d38e8'],0,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,29882685-0014-4fa6-bc65-fe69216bad4a,1583,,,,7579,45,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Portugal,780,['2e41cfda-7d9f-4058-b636-92c11175d873'],0,,,,,,,,,,,,,,,,,Uruguay,783,00:00:00.000,Half Start,
,,,,,,,,,,,,,7.56,,,,,,,,,,,,2e41cfda-7d9f-4058-b636-92c11175d873,1584,,,,7579,45,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,85,Portugal,780,['29882685-0014-4fa6-bc65-fe69216bad4a'],0,,,,,,,,,,,,,,,,,Portugal,780,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.8,,,,,,,,,,,,ceeb961d-29f3-4f9d-9541-d8faa8395678,5,,,"[61.0, 40.0]",7579,0,,-2.634494,,,Right Foot,,,,"[52.0, 35.0]",,Ground Pass,10.29563,,Adrien Sebastian Perruchet Silva,3707.0,,,Kick Off,1,From Kick Off,Gonçalo Manuel Ganchinho Guedes,4367.0,Right Center Forward,2,Portugal,780,['79be8913-d0c7-462e-84f4-ff3ef3e9a280'],2,,,,,,,,,,,,,,,,,Portugal,780,00:00:02.000,Pass,
,,,,,,,,,,,,,1.48,,,,,,,,,,,,6a4a8c33-707a-411c-87e7-5b37fc05e352,7,,,"[52.0, 36.0]",7579,0,,-1.6672701,,,Right Foot,,,,"[49.0, 5.0]",,Ground Pass,31.144823,,Raphaël Adelino José Guerreiro,5209.0,,,,1,From Kick Off,Adrien Sebastian Perruchet Silva,3707.0,Right Center Midfield,2,Portugal,780,['a5d0e5e9-a26d-42ee-a03b-c39ebec6ec34'],2,,,,,,,,,,,,,,,,,Portugal,780,00:00:02.800,Pass,
,,,,,,,,,,,,,0.88,,,,,,,,,,,,aea5856c-6ab9-4ea1-9322-f2c6df576598,11,,,"[50.0, 3.0]",7579,0,,0.14189705,,,Left Foot,,,,"[57.0, 4.0]",,Ground Pass,7.071068,,João Mário Naval da Costa Eduardo,4272.0,,,,1,From Kick Off,Raphaël Adelino José Guerreiro,5209.0,Left Back,2,Portugal,780,"['569fef6a-be2e-459b-8b82-e4db5cb3c312', 'c560ed78-95dd-4db6-bf84-a1921299d36f']",4,,,,,,,,,,,,,,,,,Portugal,780,00:00:04.300,Pass,True
,,,,,,,,,,,,,2.84,,,,,,,,,,,,f973c45a-2f33-4dae-bb11-baf4c1f29f78,14,,,"[42.0, 3.0]",7579,0,,3.1058936,,,Right Foot,,,,"[14.0, 4.0]",,Ground Pass,28.01785,,José Miguel da Rocha Fonte,3960.0,,,,1,From Kick Off,João Mário Naval da Costa Eduardo,4272.0,Left Midfield,2,Portugal,780,"['712bc2c9-2193-4a90-a35a-17d593ee06f7', 'c560ed78-95dd-4db6-bf84-a1921299d36f']",6,,,,,,,,,,,,,,,,,Portugal,780,00:00:06.860,Pass,True
