50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5d2c3bff-bbc7-415f-aa4b-f4e0450a38f6,1,,,7580,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3099, 'name': 'Hugo Lloris'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5476, 'name': 'Benjamin Pavard'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5484, 'name': 'Lucas Hernández Pi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 7}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4375, 'name': 'Blaise Matuidi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 3604, 'name': 'Olivier Giroud'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",France,771,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dec3f65f-ec71-4c40-962a-589511db54d1,2,,,7580,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6312, 'name': 'Franco Armani'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 5742, 'name': 'Gabriel Iván Mercado'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3090, 'name': 'Nicolás Hernán Otamendi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 3602, 'name': 'Faustino Marcos Alberto Rojo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 5507, 'name': 'Nicolás Alejandro Tagliafico'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5741, 'name': 'Enzo Nicolás Pérez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 2995, 'name': 'Ángel Fabián Di María Hernández'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5496, 'name': 'Cristian David Pavón'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Argentina,779,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,84e6477b-849c-43d0-aca8-661863b52d3c,3,,,7580,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,['83a944e1-03f6-4cec-932b-e53d8227b10f'],0,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,83a944e1-03f6-4cec-932b-e53d8227b10f,4,,,7580,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France,771,['84e6477b-849c-43d0-aca8-661863b52d3c'],0,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e2a9c8c1-8409-4f95-9693-74736cfe6db7,1860,,,7580,45,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,79,France,771,['a6da6380-dc72-4583-a0b4-637946609641'],0,,,,,,,,,,,,,,,,,Argentina,779,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a6da6380-dc72-4583-a0b4-637946609641,1861,,,7580,45,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,79,France,771,['e2a9c8c1-8409-4f95-9693-74736cfe6db7'],0,,,,,,,,,,,,,,,,,France,771,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,932e2ae6-e13c-414e-8041-0722445a1466,5,,"[60.0, 42.0]",7580,0,,2.6928694,,,Left Foot,,,"[33.0, 55.0]",,Ground Pass,29.966648,,,Raphaël Varane,5485.0,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Right Wing Back,2,France,771,['846f4a5a-2553-4f8e-92b7-e964ed1ffbeb'],1,,,,,,,,,,,,,,,,,France,771,00:00:01.880,Pass,
,,,,,,,,,,,,,,,2.206,,,,,,,,,,,,,c9015bba-e3db-4eea-9924-6e5d127dbd28,8,,"[40.0, 53.0]",7580,0,,0.24997862,,,Right Foot,,,"[87.0, 65.0]",,High Pass,48.507732,,Unknown,,,,,,1,From Kick Off,Raphaël Varane,5485.0,Right Center Back,2,France,771,,6,,,,,,,,,,,,,,,,,France,771,00:00:06.440,Pass,
,,,,,,,,,,,,,,,2.72,,,,,,,,,,,,,2fbd63a7-0936-43be-b53d-24a6beab6ced,11,,"[31.0, 21.0]",7580,0,,0.018179815,,,Right Foot,,,"[86.0, 22.0]",,High Pass,55.00909,,Incomplete,Éver Maximiliano David Banega,5504.0,,,Free Kick,1,From Free Kick,Franco Armani,6312.0,Goalkeeper,3,Argentina,779,"['2fc5f99b-1e0f-4364-a900-def423786a45', '9d026dc6-a7ec-489f-8eca-eddf5ed0a262']",47,,,,,,,,,,,,,,,,,Argentina,779,00:00:47.040,Pass,
,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,ac35b3ed-1f7c-4faf-a1ef-5ef673b86e6b,16,,"[37.0, 55.0]",7580,0,,1.19029,,,Right Foot,,,"[45.0, 75.0]",,Low Pass,21.540659,,,Kylian Mbappé Lottin,3009.0,,,,1,Regular Play,Paul Pogba,20004.0,Right Defensive Midfield,4,France,771,['36286399-4c35-40e7-826e-b2dd84ef0049'],50,,,,,,,,,,,,,,,,,France,771,00:00:50.480,Pass,
