ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,0.0,,,,,,,,,,,,,879a49e5-6c6f-4c77-8da1-5ea41bbb719e,1,,,7584,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,,0,,,,,,,,,,,,,,,,,"{'formation': 541, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3101, 'name': 'Vincent Kompany'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 15}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5630, 'name': 'Dries Mertens'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Belgium,782,00:00:00.000,Starting XI,
,,,,,,,,,,0.0,,,,,,,,,,,,,4c39c2d8-deec-44d3-b494-6e7fe02c091d,2,,,7584,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 3175, 'name': 'Eiji Kawashima'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3530, 'name': 'Hiroki Sakai'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3300, 'name': 'Maya Yoshida'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 5682, 'name': 'Gen Shōji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 5693, 'name': 'Gaku Shibasaki'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 5697, 'name': 'Genki Haraguchi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 5684, 'name': 'Shinji Kagawa'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5687, 'name': 'Takashi Inui'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 5679, 'name': 'Yūya Ōsako'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Japan,778,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,af5477e2-5680-4ba3-b28f-ab07d631294b,3,,,7584,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,['b71b4001-550e-49d1-934c-d160653def41'],0,,,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,9.56,,,,,,,,,,,,,b71b4001-550e-49d1-934c-d160653def41,4,,,7584,0,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,['af5477e2-5680-4ba3-b28f-ab07d631294b'],0,,,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,8.84,,,,,,,,,,,,,52f3e2ec-4c1a-4181-a4a4-db792ddc7a28,1980,,,7584,45,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Japan,778,['630181e2-8fb8-4757-9e36-5d18fa1fce57'],0,,,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,8.96,,,,,,,,,,,,,630181e2-8fb8-4757-9e36-5d18fa1fce57,1981,,,7584,45,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Japan,778,['52f3e2ec-4c1a-4181-a4a4-db792ddc7a28'],0,,,,,,,,,,,,,,,,,,Japan,778,00:00:00.000,Half Start,
,,,,,,,,,,0.973,,,,,,,,,,,,,1d1fbd4a-d53e-40b4-b918-c32793196a33,5,,"[61.0, 40.0]",7584,0,,,2.896614,,,Right Foot,,"[49.0, 43.0]",,Ground Pass,12.369317,,Axel Witsel,5642.0,,,,,Kick Off,1,From Kick Off,Romelu Lukaku Menama,3289.0,Center Forward,2,Belgium,782,['a2c15569-2a96-4df9-ad4d-ce4d1da7dee2'],0,,,,,,,,,,,,,,,,,,Belgium,782,00:00:00.920,Pass,
,,,,,,,,,,1.6,,,,,,,,,,,,,cc7ee96f-cfa9-4aff-99ed-87477f3c3ebb,8,,"[48.0, 40.0]",7584,0,,,-1.94013,,,Right Foot,,"[36.0, 9.0]",,Ground Pass,33.24154,,Jan Vertonghen,3077.0,,,,,,1,From Kick Off,Axel Witsel,5642.0,Left Center Midfield,2,Belgium,782,['55b9cf2a-7955-4278-996e-308b5688ace1'],3,,,,,,,,,,,,,,,,,,Belgium,782,00:00:03.000,Pass,
,,,,,,,,,,1.306,,,,,,,,,,,,,23105c8d-90da-4aac-94ce-a0b5faa071b9,11,,"[36.0, 11.0]",7584,0,,,2.203545,,,Left Foot,,"[25.0, 26.0]",,Ground Pass,18.601076,,Vincent Kompany,3101.0,,,,,,1,From Kick Off,Jan Vertonghen,3077.0,Left Center Back,2,Belgium,782,['f9b92dae-0a30-4c54-9101-7da5fd9f9f82'],5,,,,,,,,,,,,,,,,,,Belgium,782,00:00:05.533,Pass,
,,,,,,,,,,1.24,,,,,,,,,,,,,0bc3262b-7cdb-4784-b159-4409317165a7,14,,"[24.0, 28.0]",7584,0,,,1.6092389,,,Right Foot,,"[23.0, 54.0]",,Ground Pass,26.019224,,Toby Alderweireld,20005.0,,,,,,1,From Kick Off,Vincent Kompany,3101.0,Center Back,2,Belgium,782,['75fd4a8d-90e4-48e4-88ed-e21608d05b67'],7,,,,,,,,,,,,,,,,,,Belgium,782,00:00:07.600,Pass,
