ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,0.0,,,,,,,,,,,,,353990cb-e010-41b8-a04d-29d9ab0bd127,1,,,7586,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden,790,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5622, 'name': 'Robin Olsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5612, 'name': 'Mikael Lustig'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3702, 'name': 'Victor Nilsson Lindelöf'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5607, 'name': 'Andreas Granqvist'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5621, 'name': 'Ludwig Augustinsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5611, 'name': 'Gustav Svensson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5625, 'name': 'Emil Peter Forsberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 5613, 'name': 'Viktor Claesson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 11098, 'name': 'Marcus Berg'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 4417, 'name': 'Ola Toivonen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Sweden,790,00:00:00.000,Starting XI,
,,,,,,,,,,,,0.0,,,,,,,,,,,,,6fd50c15-6003-4c6f-bd7e-7732940a56ff,2,,,7586,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden,790,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5550, 'name': 'Yann Sommer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5546, 'name': 'Michael Lang'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 6359, 'name': 'Johan Danon Djourou-Gbadjere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 5549, 'name': 'Manuel Obafemi Akanji'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5544, 'name': 'Ricardo Iván Rodríguez Araya'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 5540, 'name': 'Valon Behrami'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 3533, 'name': 'Xherdan Shaqiri'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 5554, 'name': 'Blerim Džemaili'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 5548, 'name': 'Steven Zuber'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 5835, 'name': 'Josip Drmic'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Switzerland,773,00:00:00.000,Starting XI,
,,,,,,,,,,,,8.72,,,,,,,,,,,,,490198c0-ea6e-4c7a-9bea-98dadfcb7213,3,,,7586,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden,790,['30da87ac-92a4-4655-ac8c-1bdc1d476915'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,8.533,,,,,,,,,,,,,30da87ac-92a4-4655-ac8c-1bdc1d476915,4,,,7586,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden,790,['490198c0-ea6e-4c7a-9bea-98dadfcb7213'],0,,,,,,,,,,,,,,,,,Sweden,790,00:00:00.000,Half Start,
,,,,,,,,,,,,8.72,,,,,,,,,,,,,91554c7b-a917-47e4-a591-82394a618955,1746,,,7586,45,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Switzerland,773,['2744be22-424b-4b59-9d69-c37b8e3f93fd'],0,,,,,,,,,,,,,,,,,Switzerland,773,00:00:00.000,Half Start,
,,,,,,,,,,,,7.932,,,,,,,,,,,,,2744be22-424b-4b59-9d69-c37b8e3f93fd,1747,,,7586,45,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,78,Switzerland,773,['91554c7b-a917-47e4-a591-82394a618955'],0,,,,,,,,,,,,,,,,,Sweden,790,00:00:00.000,Half Start,
,,,,,,,,,,,,0.8,,,,,,,,,,,,,cfa8f3d0-ceb2-4fc9-b1f0-3e74b71167c2,5,,"[60.0, 40.0]",7586,0,,-2.8461518,,,Right Foot,,,,"[37.0, 33.0]",,Ground Pass,24.04163,,Andreas Granqvist,5607.0,,,Kick Off,1,From Kick Off,Emil Peter Forsberg,5625.0,Left Midfield,2,Sweden,790,['9cdf1474-ecd0-4587-a01d-278826bb3733'],0,,,,,,,,,,,,,,,,,Sweden,790,00:00:00.001,Pass,
,,,,,,,,,,,,1.4,,,,,,,,,,,,,8e14f89d-7334-4877-828c-6f1a863fc2aa,9,,"[34.0, 36.0]",7586,0,,1.5323538,,,Right Foot,,,,"[35.0, 62.0]",,Ground Pass,26.019224,,Victor Nilsson Lindelöf,3702.0,,,,1,From Kick Off,Andreas Granqvist,5607.0,Left Center Back,2,Sweden,790,"['3816f8b0-c8b5-4694-bfd6-83861a298813', 'c0e24d8a-8a17-4298-ab1d-f09721bc409b']",2,,,,,,,,,,,,,,,,,Sweden,790,00:00:02.072,Pass,True
,,,,,,,,,,,,0.84,,,,,,,,,,,,,b8f8ef7a-6da9-4db2-a27c-740db7945000,15,,"[74.0, 14.0]",7586,0,,1.3909428,,,Right Foot,,,,"[76.0, 25.0]",,Ground Pass,11.18034,,Josip Drmic,5835.0,,,,1,Regular Play,Blerim Džemaili,5554.0,Center Attacking Midfield,3,Switzerland,773,['71d41de4-cae4-40a3-92bc-d6db537b1682'],6,,,,,,,,,,,,,,,,,Switzerland,773,00:00:06.592,Pass,
,,,,,,,,,,,,1.6,,,,,,,,,,,,,8a4c9d7a-b661-4378-be82-36cffaa488c0,19,,"[86.0, 33.0]",7586,0,,1.59936,452f3327-9f2b-4c6c-8e01-87bc20c6beb0,,Right Foot,,,,"[85.0, 68.0]",,Ground Pass,35.014282,,Xherdan Shaqiri,3533.0,True,,,1,Regular Play,Josip Drmic,5835.0,Center Forward,3,Switzerland,773,['5fd56000-07b0-4ab4-b261-cfcedfc42941'],9,,,,,,,,,,,,,,,,,Switzerland,773,00:00:09.752,Pass,
