bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,0.893,,,,,,,,,,,,50be81e3-a3a2-4946-a03f-80eeb308d07b,1,,,8651,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden,790,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 5622, 'name': 'Robin Olsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6358, 'name': 'Emil Krafth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 3702, 'name': 'Victor Nilsson Lindelöf'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5607, 'name': 'Andreas Granqvist'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5621, 'name': 'Ludwig Augustinsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 5617, 'name': 'Sebastian Larsson'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5624, 'name': 'Albin Ekdal'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5613, 'name': 'Viktor Claesson'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5625, 'name': 'Emil Peter Forsberg'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 11098, 'name': 'Marcus Berg'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 4417, 'name': 'Ola Toivonen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Sweden,790,00:00:00.000,Starting XI,
,,,,,,,,,,,0.0,,,,,,,,,,,,fabe3350-1ab9-4140-a80c-91f24e78de46,2,,,8651,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden,790,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3532, 'name': 'Jordan Brian Henderson'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 12}, {'player': {'id': 3612, 'name': 'Ashley Young'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 3293, 'name': 'Jesse Lingard'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 3094, 'name': 'Bamidele Alli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",England,768,00:00:00.000,Starting XI,
,,,,,,,,,,,9.373,,,,,,,,,,,,82f10fb0-9938-491b-a8ea-8b2505522da8,3,,,8651,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden,790,['e58ef907-932a-46ee-83c9-5be4b8c305e0'],0,,,,,,,,,,,,,,,,,Sweden,790,00:00:00.000,Half Start,
,,,,,,,,,,,9.2,,,,,,,,,,,,e58ef907-932a-46ee-83c9-5be4b8c305e0,4,,,8651,0,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden,790,['82f10fb0-9938-491b-a8ea-8b2505522da8'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,8b9f4697-4503-4b41-8a95-b7b4af26b063,1794,,,8651,45,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,89,England,768,['76919935-e0d9-41c3-9031-368a6cefd34f'],0,,,,,,,,,,,,,,,,,Sweden,790,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,76919935-e0d9-41c3-9031-368a6cefd34f,1795,,,8651,45,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,89,England,768,['8b9f4697-4503-4b41-8a95-b7b4af26b063'],0,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,0.533,,,,,,,,,,,,2be08518-e7ef-49d5-b047-405952cb4d01,5,,"[60.0, 40.0]",8651,0,,2.9927027,,,Right Foot,,,,"[40.0, 43.0]",,Ground Pass,20.22375,,Emil Krafth,6358.0,,,,,Kick Off,1,From Kick Off,Viktor Claesson,5613.0,Right Wing,2,Sweden,790,['57fa3db7-ff60-4e49-83be-5741abfe0ebc'],0,,,,,,,,,,,,,,,,,Sweden,790,00:00:00.190,Pass,
,,,,,,,,,,,0.933,,,,,,,,,,,,02b3d174-d62c-491b-b1c7-074aa8506d06,8,,"[47.0, 46.0]",8651,0,,-0.7205541,,,Right Foot,,,,"[88.0, 10.0]",,High Pass,54.56189,Incomplete,Ola Toivonen,4417.0,,,,,,1,From Kick Off,Emil Krafth,6358.0,Right Back,2,Sweden,790,"['15a00050-7822-4178-8e21-9bc2369b0b87', 'd5b7328e-6014-46d3-9a0d-739ddba6d986']",0,,,,,,,,,,,,,,,,,Sweden,790,00:00:00.990,Pass,
,,,,,,,,,,,2.067,,,,,,,,,,,,d5b7328e-6014-46d3-9a0d-739ddba6d986,10,,"[33.0, 71.0]",8651,0,,-0.40890783,,,Head,,,,"[63.0, 58.0]",,High Pass,32.695564,Incomplete,,,,,,,Recovery,1,From Kick Off,Kyle Walker,3205.0,Right Center Back,2,Sweden,790,"['02b3d174-d62c-491b-b1c7-074aa8506d06', '1345e1b2-b11d-4935-9020-868712a54333']",1,,,,,,,,,,,,,,,,,England,768,00:00:01.923,Pass,
,,,,,,,,,,,2.173,,,,,,,,,,,,1345e1b2-b11d-4935-9020-868712a54333,11,,"[58.0, 23.0]",8651,0,,-1.2627436,,,Right Foot,,,,"[65.0, 1.0]",,High Pass,23.086792,Out,,,,,,,Recovery,1,From Kick Off,Andreas Granqvist,5607.0,Left Center Back,2,Sweden,790,['d5b7328e-6014-46d3-9a0d-739ddba6d986'],3,,,,,,,,,,,,,,,,,Sweden,790,00:00:03.990,Pass,
