50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_backheel,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,03b78c35-9a98-49c4-92cb-bede4f3a7bb5,1,,,8657,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,,0,,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20005, 'name': 'Toby Alderweireld'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3101, 'name': 'Vincent Kompany'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 3077, 'name': 'Jan Vertonghen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3176, 'name': 'Thomas Meunier'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 15}, {'player': {'id': 4831, 'name': 'Nacer Chadli'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 22}, {'player': {'id': 2954, 'name': 'Youri Tielemans'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 5642, 'name': 'Axel Witsel'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3089, 'name': 'Kevin De Bruyne'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3621, 'name': 'Eden Hazard'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3289, 'name': 'Romelu Lukaku Menama'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Belgium,782,00:00:00.000,Starting XI,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f0624020-dd77-46e0-811e-a3d393ec7550,2,,,8657,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,,0,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3314, 'name': 'Phil Jones'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 12}, {'player': {'id': 3594, 'name': 'Danny Rose'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 3504, 'name': 'Ruben Loftus-Cheek'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 4597, 'name': 'Fabian Delph'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",England,768,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,,,f41f2385-6a07-4b16-9915-d8f527450a3f,3,,,8657,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,['70821851-37bd-4f3a-9bfb-7d8bb89f48a6'],0,,,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,70821851-37bd-4f3a-9bfb-7d8bb89f48a6,4,,,8657,0,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Belgium,782,['f41f2385-6a07-4b16-9915-d8f527450a3f'],0,,,,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,,,6169d995-3065-49d0-a4ad-fac522b7f63a,2414,,,8657,45,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,73,Belgium,782,['da0d473f-a648-4b9c-af03-0a30261acd19'],0,,,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,da0d473f-a648-4b9c-af03-0a30261acd19,2415,,,8657,45,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,73,Belgium,782,['6169d995-3065-49d0-a4ad-fac522b7f63a'],0,,,,,,,,,,,,,,,,,,,Belgium,782,00:00:00.000,Half Start,
,,,,,,,,,,,,,0.719,,,,,,,,,,,,,84438495-6341-4eba-bf90-82db1f6703fb,5,,"[61.0, 41.0]",8657,0,,3.1415927,,,Right Foot,,,,"[51.0, 41.0]",,Ground Pass,10.0,,Axel Witsel,5642.0,,,Kick Off,1,From Kick Off,Romelu Lukaku Menama,3289.0,Center Forward,2,Belgium,782,['f896648d-9192-4d7e-baaf-08ce534c0911'],0,,,,,,,,,,,,,,,,,,,Belgium,782,00:00:00.533,Pass,
,,,,,,,,,,,,,1.599,,,,,,,,,,,,,34b355a6-8b5f-4954-8dfd-fcc77df5c40c,9,,"[51.0, 40.0]",8657,0,,-2.1375256,,,Right Foot,,,,"[37.0, 18.0]",,Ground Pass,26.076809,,Jan Vertonghen,3077.0,,,,1,From Kick Off,Axel Witsel,5642.0,Left Defensive Midfield,2,Belgium,782,"['52cb7b6b-bf17-44dc-b001-00a15cb8addd', '9b71c105-60cb-436b-afd9-e9c57d2645f6']",2,,,,,,,,,,,,,,,,,,,Belgium,782,00:00:02.133,Pass,True
,,,,,,,,,,,,,1.516,,,,,,,,,,,,,8fd1ffd0-b984-4823-ab2c-f249c04adc12,12,,"[33.0, 18.0]",8657,0,,1.8568478,,,Left Foot,,,,"[28.0, 35.0]",,Ground Pass,17.720045,,Vincent Kompany,3101.0,,,,1,From Kick Off,Jan Vertonghen,3077.0,Left Center Back,2,Belgium,782,['38f271ed-ee2d-4bc1-b580-21928fb371a9'],4,,,,,,,,,,,,,,,,,,,Belgium,782,00:00:04.933,Pass,
,,,,,,,,,,,,,1.477,,,,,,,,,,,,,8541645f-3435-42ba-ab31-d4d95291824c,16,,"[21.0, 44.0]",8657,0,,1.5363272,,,Right Foot,,,,"[22.0, 73.0]",,Ground Pass,29.017237,,Toby Alderweireld,20005.0,,,,1,From Kick Off,Vincent Kompany,3101.0,Center Back,2,Belgium,782,"['60100367-0729-4252-9dac-66c85358f27a', 'b1e62eba-2e19-4304-8098-f9c7f83c4288']",7,,,,,,,,,,,,,,,,,,,Belgium,782,00:00:07.732,Pass,True
