bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f20b9d6c-6ba7-410d-9e4f-58bbcf71992f,1,,,,3825576,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 3240, 'name': 'Mathew Ryan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 6663, 'name': 'Antonio Barragán Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6592, 'name': 'Rúben Miguel Nunes Vezo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6596, 'name': 'José Luis Gayà Peña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 10037, 'name': 'Danilo Barbosa da Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 7797, 'name': 'Rodrigo Javier De Paul'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 5718, 'name': 'Rodrigo Moreno Machado'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 20542, 'name': 'Álvaro Negredo Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Valencia,207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,131c2b2f-6e05-4891-8b8b-5cfb2aacbc9b,2,,,,3825576,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 27305, 'name': 'Germán Darío Lux'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 23800, 'name': 'Laureano Sanabria Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 6869, 'name': 'Alejandro Arribas Garrido'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5582, 'name': 'Celso Borges Mora'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6733, 'name': 'Pedro Mosquera Parada'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6738, 'name': 'Juan Francisco Moreno Fuertes'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 7782, 'name': 'Luis Alberto Romero Alconchel'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 5724, 'name': 'Fayçal Fajr'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7cc793c3-4a96-4dec-8503-90a5ceeb86be,3,,,,3825576,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['d03e72c6-79d4-4fa5-9f2f-694152fd3d6b'],0,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d03e72c6-79d4-4fa5-9f2f-694152fd3d6b,4,,,,3825576,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['7cc793c3-4a96-4dec-8503-90a5ceeb86be'],0,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8d4d52c9-f355-40a4-9b76-c62661f375ec,1612,,,,3825576,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,RC Deportivo La Coruña,219,['bec7e99e-c26e-4e96-afe7-2e2f37f3c21e'],0,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,bec7e99e-c26e-4e96-afe7-2e2f37f3c21e,1613,,,,3825576,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,RC Deportivo La Coruña,219,['8d4d52c9-f355-40a4-9b76-c62661f375ec'],0,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.03085,,,,,,,,,,,,88158cfa-0e91-42d5-8c3f-a41ffcbb64f9,5,,,"[61.0, 40.1]",3825576,0,True,,,1.82812,,Right Foot,,,,"[60.5, 42.0]",,Ground Pass,,1.9646883,,,,Luis Alberto Romero Alconchel,7782.0,,,,,,Kick Off,1,From Kick Off,Lucas Pérez Martínez,6732.0,Center Forward,2,RC Deportivo La Coruña,219,['763f1d39-85dd-42bb-a943-fa6357114f46'],0,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.768,Pass,
,,,,,,,,,,,,,,,,0.979557,,,,,,,,,,,,faeb9c4c-b5f8-4414-aeee-f580bdb316d8,7,,,"[60.1, 41.4]",3825576,0,,,,-2.822453,,Right Foot,,,,"[48.6, 37.6]",,Ground Pass,,12.111565,,,,Pedro Mosquera Parada,6733.0,,,,,,,1,From Kick Off,Luis Alberto Romero Alconchel,7782.0,Center Attacking Midfield,2,RC Deportivo La Coruña,219,['53a6aa4f-2b30-44be-bcc0-746c8afb91fa'],0,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.914,Pass,
,,,,,,,,,,,,,,,,1.638448,,,,,,,,,,,,b7b0115d-7ef4-48d3-99ce-478af8e0350e,10,,,"[45.5, 37.4]",3825576,0,,,,-1.8169113,,Left Foot,,,,"[40.3, 16.7]",,Ground Pass,,21.34315,,,,Fernando Navarro i Corbacho,6913.0,,,,,,,1,From Kick Off,Pedro Mosquera Parada,6733.0,Left Defensive Midfield,2,RC Deportivo La Coruña,219,['88d68e76-6e23-40cf-afbf-bf850e104007'],2,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:02.950,Pass,
,,,,,,,,,,,,,,,,0.373404,,,,,,,,,,,,d3fb25ed-2d3d-4030-acf8-1acc7633ad9a,14,,,"[41.3, 13.1]",3825576,0,,,,-0.66404617,,Left Foot,,,,"[43.6, 11.3]",,Ground Pass,,2.9206164,,Incomplete,,,,,,,,,,1,From Kick Off,Fernando Navarro i Corbacho,6913.0,Left Back,2,RC Deportivo La Coruña,219,"['83e16bde-c570-4262-aafa-e43b157e2486', 'af3e59b1-21b7-4601-9901-d03e2546874c']",6,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:06.089,Pass,True
,,,,,,,,,,,,,,,,1.346239,,,,,,,,,,,,e264479a-b055-4d63-9838-083671f3ac07,16,,,"[68.1, 0.1]",3825576,0,,,,0.42462188,,,,,,"[86.9, 8.6]",,High Pass,,20.632256,,Incomplete,,Lucas Pérez Martínez,6732.0,,,,,,Throw-in,1,From Throw In,Fernando Navarro i Corbacho,6913.0,Left Back,3,RC Deportivo La Coruña,219,"['0d780e8d-abd0-4cb4-945d-b499a01fd5a2', '2249025b-afef-4c5a-920d-7d3281ab7fbb']",22,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:22.087,Pass,
,,,,,,,,,,,,,,,,0.531513,,,,,,,,,,,,0d780e8d-abd0-4cb4-945d-b499a01fd5a2,18,,,"[33.2, 71.5]",3825576,0,,,,-0.24497867,,Head,,,,"[42.0, 69.3]",,Low Pass,,9.070832,,Incomplete,,Santiago Mina Lorenzo,6594.0,,,,,,Interception,1,From Throw In,Antonio Barragán Fernández,6663.0,Right Back,3,RC Deportivo La Coruña,219,"['40207a45-6bbe-43f5-96d3-5fcbcd0d42af', '7e2c8838-0faa-4073-ba7a-1907b659c23a', 'e264479a-b055-4d63-9838-083671f3ac07']",23,,,,,,,,,,,,,,,,Valencia,207,00:00:23.433,Pass,
,,,,,,,,,,,,,,,,0.849655,,,,,,,,,,,,0d17d453-c4d0-42fa-bd03-52ce7d62e00c,33,,,"[91.2, 6.4]",3825576,0,,,,-0.5651494,,Right Foot,,,,"[95.3, 3.8]",,Ground Pass,,4.8548946,,,,Luis Alberto Romero Alconchel,7782.0,,,,,,,1,From Throw In,Fayçal Fajr,5724.0,Left Wing,3,RC Deportivo La Coruña,219,['61f7fc50-cf06-4ee9-abab-90645d8e58c1'],34,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:34.998,Pass,
