bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,49161883-ca5b-4028-a2a7-4cafaced24ea,1,,,3825601,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26070, 'name': 'Antonio Rodríguez Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 27144, 'name': 'Antonio Amaya Carazo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6713, 'name': 'Diego Javier Llorente Ríos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 10727, 'name': 'Răzvan Dincă Raț'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 26607, 'name': 'José Raúl Baena Urdiales'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26848, 'name': 'Roberto Trashorras Gayoso'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 7900, 'name': 'Tiago Manuel Dias Correia'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 6852, 'name': 'Jozabed Sánchez Ruiz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 4711, 'name': 'Pablo Hernández Domínguez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 11542, 'name': 'Javier Guerra Rodríguez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",Rayo Vallecano,360,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b7accdd2-be91-4123-8615-8c9c0d00ea96,2,,,3825601,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 11537, 'name': 'Alberto García Cabrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8818, 'name': 'Jorge Meré Pérez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 6573, 'name': 'Bernardo José Espinosa Zúñiga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 24686, 'name': 'Roberto Canella Suárez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 18398, 'name': 'Omar Mascarell González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 27526, 'name': 'Rachid Aït-Atmane'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 6602, 'name': 'Miguel Ángel Guerrero Martín'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1fe80f0d-d85f-4b75-a7b5-6fbf61220780,3,,,3825601,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,['b0d4053f-d75b-4a93-8059-1b9759f8352e'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b0d4053f-d75b-4a93-8059-1b9759f8352e,4,,,3825601,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Rayo Vallecano,360,['1fe80f0d-d85f-4b75-a7b5-6fbf61220780'],0,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9b510d1e-7d91-4c0c-93bb-71e44166a46e,1450,,,3825601,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,91,Sporting Gijón,1041,['c85dfc9b-8df2-4fd1-ac45-b00d696fde7a'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c85dfc9b-8df2-4fd1-ac45-b00d696fde7a,1451,,,3825601,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,91,Sporting Gijón,1041,['9b510d1e-7d91-4c0c-93bb-71e44166a46e'],0,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.423422,,,,,,,,,,,,,ec9e110c-f652-4fb3-a8ff-c9a996bab260,5,,"[61.0, 40.1]",3825601,0,,True,,,1.6672701,,Left Foot,,,"[60.7, 43.2]",Ground Pass,,3.1144824,,,,Javier Guerra Rodríguez,11542.0,,,,Kick Off,1,From Kick Off,Jozabed Sánchez Ruiz,6852.0,Center Attacking Midfield,2,Rayo Vallecano,360,['23392c26-0c3f-44db-b5b3-d1c5efd2a388'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.549,Pass,
,,,,,,,,,,,,,,,,,,0.841989,,,,,,,,,,,,,c13a823e-cef1-4ac0-9d3b-da114771ca3e,7,,"[60.8, 43.5]",3825601,0,,True,,,-3.0172377,,Right Foot,,,"[50.4, 42.2]",Ground Pass,,10.480935,,,,Roberto Trashorras Gayoso,26848.0,,,,,1,From Kick Off,Javier Guerra Rodríguez,11542.0,Center Forward,2,Rayo Vallecano,360,['d49cc5ca-e865-4cd2-8c85-579a5ee8b367'],0,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:00.989,Pass,
,,,,,,,,,,,,,,,,,,1.687036,,,,,,,,,,,,,44df467c-ebd6-4729-80db-bb507faacf4e,9,,"[50.6, 42.2]",3825601,0,,,,,-1.7385849,,Right Foot,,,"[45.4, 11.5]",Ground Pass,,31.137278,,,,Răzvan Dincă Raț,10727.0,,,,,1,From Kick Off,Roberto Trashorras Gayoso,26848.0,Left Defensive Midfield,2,Rayo Vallecano,360,['1093759e-8369-43ce-a713-25c30e3214b6'],2,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:02.838,Pass,
,,,,,,,,,,,,,,,,,,0.993441,,,,,,,,,,,,,78717011-44f0-4521-bb2c-973a85196b71,12,,"[42.8, 13.0]",3825601,0,,,,,2.3429794,,Left Foot,,,"[31.6, 24.5]",Ground Pass,,16.052725,,,,Diego Javier Llorente Ríos,6713.0,,,,,1,From Kick Off,Răzvan Dincă Raț,10727.0,Left Back,2,Rayo Vallecano,360,['09c3d795-eebb-49bb-acf7-eeaabc13a36e'],5,,,,,,,,,,,,,,,,,,Rayo Vallecano,360,00:00:05.334,Pass,
