50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f69a2c62-ff0b-4d59-8359-03d13755a7b4,1,,,3825609,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6679, 'name': 'Aritz Elustondo Irribaria'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 30}, {'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6674, 'name': 'Alberto De La Bella Madureño'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6899, 'name': 'Rubén Pardo Gutiérrez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6673, 'name': 'Sergio Canales Madrazo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6677, 'name': 'Imanol Agirretxe Arruti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Sociedad,210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,265da646-59c9-4045-9567-3964423d36a3,2,,,3825609,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 10}, {'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4353, 'name': 'Aymeric Laporte'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6389, 'name': 'Mikel San José Domínguez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6396, 'name': 'Beñat Etxebarria Urkiaga'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6666, 'name': 'Sabin Merino Zuloaga'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Athletic Club,215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4e992328-304e-4231-af60-4debb56ead3b,3,,,3825609,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['b1fc9312-3ff5-4726-b54d-749e5187ba90'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b1fc9312-3ff5-4726-b54d-749e5187ba90,4,,,3825609,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['4e992328-304e-4231-af60-4debb56ead3b'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,438c9f0c-d826-438d-afde-dd431cb922dc,1721,,,3825609,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,Athletic Club,215,['7ab07321-71e2-404e-b648-56f68e43198d'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7ab07321-71e2-404e-b648-56f68e43198d,1722,,,3825609,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,102,Athletic Club,215,['438c9f0c-d826-438d-afde-dd431cb922dc'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.078104,,,,,,,,,,,,,df94d817-0388-48a6-97fb-fda337237d1e,5,,"[60.0, 40.0]",3825609,0,,True,,,-1.5707964,,Right Foot,,,,"[60.0, 38.9]",Ground Pass,,1.1,,,Imanol Agirretxe Arruti,6677.0,,,,,Kick Off,1,From Kick Off,Sergio Canales Madrazo,6673.0,Center Attacking Midfield,2,Real Sociedad,210,['88f52e76-9a71-4931-a310-f43c4504f094'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.266,Pass,
,,,,,,,,,,,,,,,,,,1.462643,,,,,,,,,,,,,c382496d-e5f7-40ba-8db6-ddb934b206f8,7,,"[61.0, 40.5]",3825609,0,,True,,,-3.119762,,Right Foot,,,,"[38.1, 40.0]",Ground Pass,,22.905458,,,Íñigo Martínez Berridi,6665.0,,,,,,1,From Kick Off,Imanol Agirretxe Arruti,6677.0,Center Forward,2,Real Sociedad,210,['f3e31cb3-9739-4d22-b80d-258d4d8b4ce0'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.345,Pass,
,,,,,,,,,,,,,,,,,,3.298442,,,,,,,,,,,,,0e46736f-d0c6-466a-8b3c-4264e3c80fe7,9,,"[40.1, 38.9]",3825609,0,,,,,0.6257702,,Left Foot,,,,"[91.3, 75.9]",High Pass,,63.16993,,,Imanol Agirretxe Arruti,6677.0,,,,,,1,From Kick Off,Íñigo Martínez Berridi,6665.0,Left Center Back,2,Real Sociedad,210,['a1e14f2f-480b-47f4-8532-8a82c09f4194'],3,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:03.024,Pass,
,,,,,,,,,,,,,,,,,,1.338167,,,,,,,,,,,,,56584f17-f8b7-471a-bd06-85844d1cc8a5,12,,"[91.3, 76.4]",3825609,0,,,,,-0.5726664,,Other,,,,"[98.9, 71.5]",Low Pass,,9.042677,,,Sergio Canales Madrazo,6673.0,,,,,,1,From Kick Off,Imanol Agirretxe Arruti,6677.0,Center Forward,2,Real Sociedad,210,"['4437d2c8-55b4-46e4-9450-966ebe6f6ef8', 'ffc0a7e3-ad3a-43eb-8b27-5bc26438b7e5']",6,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:06.322,Pass,True
