50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,45e061eb-191c-48da-a34f-2c4919343cec,1,,,3825623,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6898, 'name': 'Jaume Doménech Sánchez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 7005, 'name': 'João Pedro Cavaco Cancelo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 3638, 'name': 'Shkodran Mustafi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 27482, 'name': 'Aderllan Leandro de Jesus Santos'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6596, 'name': 'José Luis Gayà Peña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 6751, 'name': 'Javier Fuego Martínez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 6763, 'name': 'Pablo Daniel Piatti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Valencia,207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4467cb29-3620-4f4e-a2e6-3b214edb0383,2,,,3825623,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 27184, 'name': 'Marcos Alberto Angeleri'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 8234, 'name': 'Ignacio Camacho Barnola'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6764, 'name': 'Pablo Fornals Malla'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 10868, 'name': 'Ricardo Jorge Luz Horta'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 25859, 'name': 'Sérgio Paulo Barbosa Valente'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 6559, 'name': 'Juan Carlos Pérez López'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,42a2d5b8-021d-49a2-8e43-4cd3d4dac8d5,3,,,3825623,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['0b00c431-8a23-415f-8bc6-4067e1ebe6cd'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0b00c431-8a23-415f-8bc6-4067e1ebe6cd,4,,,3825623,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['42a2d5b8-021d-49a2-8e43-4cd3d4dac8d5'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8dbac2c3-1d0a-4e29-b27e-5390c7ec4b53,1730,,,3825623,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Málaga,223,['8e9535c8-2e16-4780-87b5-3dccc1fa84f7'],0,,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8e9535c8-2e16-4780-87b5-3dccc1fa84f7,1731,,,3825623,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Málaga,223,['8dbac2c3-1d0a-4e29-b27e-5390c7ec4b53'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.519999,,,,,,,,,,,,,,9ca60337-fe73-45d5-8561-e1240aed08e7,5,,"[61.0, 40.1]",3825623,0,,,,1.7634971,,Right Foot,,,"[60.2, 44.2]",Ground Pass,,4.1773195,,,,Santiago Mina Lorenzo,6594.0,,,,,,Kick Off,1,From Kick Off,Francisco Alcácer García,6402.0,Center Forward,2,Valencia,207,['9df29569-c99a-4027-85ff-956801871761'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.458,Pass,
,,,,,,,,,,,,,,,,0.833899,,,,,,,,,,,,,,cb8c3128-e13a-41e8-b899-7c43c9075792,8,,"[60.2, 44.2]",3825623,0,,,,-2.4476418,,Right Foot,,,"[47.7, 33.8]",Ground Pass,,16.260689,,,,Javier Fuego Martínez,6751.0,,,,,,,1,From Kick Off,Santiago Mina Lorenzo,6594.0,Right Wing,2,Valencia,207,['8661fb1b-c258-4b8b-aa41-26eda1f73dbd'],1,,,,,,,,,,,,,,,,,,Valencia,207,00:00:01.576,Pass,
,,,,,,,,,,,,,,,,1.6491,,,,,,,,,,,,,,8b4ce209-9668-493e-be28-d4df66360dc4,11,,"[47.2, 33.8]",3825623,0,,,,-2.99242,,Right Foot,,,"[29.9, 31.2]",Ground Pass,,17.494286,,,,Aderllan Leandro de Jesus Santos,27482.0,,,,,,,1,From Kick Off,Javier Fuego Martínez,6751.0,Center Defensive Midfield,2,Valencia,207,['b3d66634-f414-4596-af04-63bf68346820'],3,,,,,,,,,,,,,,,,,,Valencia,207,00:00:03.148,Pass,
,,,,,,,,,,,,,,,,1.059999,,,,,,,,,,,,,,58ee1bc3-96c9-487b-8000-127df00ba08a,14,,"[26.8, 33.2]",3825623,0,,,,1.5785182,,Right Foot,,,"[26.6, 59.1]",Ground Pass,,25.900772,,,,Shkodran Mustafi,3638.0,,,,,,,1,From Kick Off,Aderllan Leandro de Jesus Santos,27482.0,Left Center Back,2,Valencia,207,['ab1759c8-a802-45d4-a6bc-39faf40898eb'],5,,,,,,,,,,,,,,,,,,Valencia,207,00:00:05.920,Pass,
