bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7a882e68-f2a9-4538-9bcb-73c3b11a139c,1,,,3825631,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6694, 'name': 'Gerónimo Rulli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6605, 'name': 'Joseba Zaldúa Bengoetxea'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 16539, 'name': 'Diego Antonio Reyes Rosales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 6674, 'name': 'Alberto De La Bella Madureño'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6633, 'name': 'Markel Bergara Larrañaga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6671, 'name': 'Asier Illarramendi Andonegi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5560, 'name': 'Carlos Alberto Vela Garrido'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 6673, 'name': 'Sergio Canales Madrazo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 6669, 'name': 'David Zurutuza Veillet'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 6677, 'name': 'Imanol Agirretxe Arruti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Sociedad,210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,84d92f27-3400-4074-adb2-f99717150993,2,,,3825631,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6375, 'name': 'Juan Francisco Torres Belén'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 5249, 'name': 'Diego Roberto Godín Leal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6384, 'name': 'Gabriel Fernández Arenas'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 20669, 'name': 'Tiago Cardoso Mendes'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6377, 'name': 'Ángel Martín Correa'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 17622, 'name': 'Jackson Arley Martínez Valencia'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Atlético Madrid,212,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b678ae2b-b966-472e-a29f-1a8ba968a001,3,,,3825631,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['71a3ef3f-72f7-44be-b9cc-f85174aab87b'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,71a3ef3f-72f7-44be-b9cc-f85174aab87b,4,,,3825631,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['b678ae2b-b966-472e-a29f-1a8ba968a001'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2bbe7a33-fdc6-492e-a80a-1da38b23f7fc,1756,,,3825631,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Atlético Madrid,212,['c5d813b3-066f-47b7-9847-60c122e83dab'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c5d813b3-066f-47b7-9847-60c122e83dab,1757,,,3825631,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Atlético Madrid,212,['2bbe7a33-fdc6-492e-a80a-1da38b23f7fc'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,fd94c970-ea2d-417f-8b77-77ec77b4164e,5,,"[61.0, 40.1]",3825631,0,,,,,-2.1112158,,Left Foot,,,,"[59.8, 38.1]",,Ground Pass,,2.3323808,,,,Carlos Alberto Vela Garrido,5560.0,,,,,Kick Off,1,From Kick Off,Imanol Agirretxe Arruti,6677.0,Center Forward,2,Real Sociedad,210,['2e06b5c7-e4bb-4cb9-9b93-fd0567a3c1d9'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.164,Pass,
,,,,,,,,,,,,,,,,1.56,,,,,,,,,,,,3b98896e-f65f-46d0-9549-a5d20715f5c9,8,,"[59.1, 38.1]",3825631,0,,,,,3.114676,,Right Foot,,,,"[33.1, 38.8]",,Ground Pass,,26.009422,,,,Íñigo Martínez Berridi,6665.0,,,,,,1,From Kick Off,Carlos Alberto Vela Garrido,5560.0,Right Wing,2,Real Sociedad,210,['4cd26dba-ac01-4846-ba72-b520231151fd'],0,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.564,Pass,
,,,,,,,,,,,,,,,,4.919998,,,,,,,,,,,,b527eb6c-ea80-4327-b9d9-017b85d804aa,11,,"[34.1, 36.4]",3825631,0,,,,,0.74577135,,Left Foot,,,,"[81.3, 80.0]",,High Pass,,64.25574,,Out,,,,,True,,,,1,From Kick Off,Íñigo Martínez Berridi,6665.0,Left Center Back,2,Real Sociedad,210,,2,,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:02.204,Pass,
,,,,,,,,,,,,,,,,1.161764,,,,,,,,,,,,3e33ec8c-9554-40a1-8993-6c3d5891d6a7,13,,"[44.7, 0.1]",3825631,0,,,,,0.10325838,,,,,,"[64.0, 2.1]",,High Pass,,19.40335,,,,Jorge Resurrección Merodio,5199.0,,,,,Throw-in,1,From Throw In,Filipe Luís Kasmirski,6320.0,Left Back,3,Atlético Madrid,212,['4ba7cdc2-bead-4571-9547-80929e4de94a'],13,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:13.919,Pass,
