ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8431939a-3f74-402a-9014-9c197467d55f,1,,,3825636,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6569, 'name': 'Roberto José Rosales Altuve'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6727, 'name': 'Raúl Albentosa Redal'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 26669, 'name': 'Weligton Róbson Pena de Oliveira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 27335, 'name': 'Arthur Etienne Boka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6580, 'name': 'José Luis García del Pozo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 19431, 'name': 'Fernando Damián Tissone'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 25859, 'name': 'Sérgio Paulo Barbosa Valente'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 8264, 'name': 'Adnane Tighadouini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6559, 'name': 'Juan Carlos Pérez López'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Málaga,223,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ec8cb754-8592-4edf-9bac-d30ac3f95bb8,2,,,3825636,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 27305, 'name': 'Germán Darío Lux'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6738, 'name': 'Juan Francisco Moreno Fuertes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 6869, 'name': 'Alejandro Arribas Garrido'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 6777, 'name': 'Sidnei Rechel da Silva Júnior'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5582, 'name': 'Celso Borges Mora'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6733, 'name': 'Pedro Mosquera Parada'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6728, 'name': 'Federico Nicolás Cartabia'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 5724, 'name': 'Fayçal Fajr'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 27243, 'name': 'Oriol Riera Magem'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6732, 'name': 'Lucas Pérez Martínez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,20e92a95-f1f9-4dee-9d14-52859c692780,3,,,3825636,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['1e86b997-4f31-4976-a015-37908fbb72fa'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1e86b997-4f31-4976-a015-37908fbb72fa,4,,,3825636,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Málaga,223,['20e92a95-f1f9-4dee-9d14-52859c692780'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,473057de-6feb-4ce2-b4a3-dd7083fdabf6,1634,,,3825636,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,125,Málaga,223,['f579ac8a-3e8a-4fdb-afce-337e6d36911f'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f579ac8a-3e8a-4fdb-afce-337e6d36911f,1635,,,3825636,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,125,Málaga,223,['473057de-6feb-4ce2-b4a3-dd7083fdabf6'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.412426,,,,,,,,,,,,,89e9c585-9d99-4082-ad6b-6782d46ba32e,5,,"[61.0, 40.1]",3825636,0,,True,,,-2.5234485,,Right Foot,,,"[52.0, 33.7]",Ground Pass,,11.0435505,,,,Oriol Riera Magem,27243.0,,,,,Kick Off,1,From Kick Off,Lucas Pérez Martínez,6732.0,Left Center Forward,2,RC Deportivo La Coruña,219,['070e6e19-da33-4d95-aef4-3cfbc4fea2e0'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.528,Pass,
,,,,,,,,,,,,,,,2.895674,,,,,,,,,,,,,b3b02ec8-dd7f-4618-8222-4b5c5114e651,7,,"[48.2, 41.7]",3825636,0,,True,,,-2.474609,,Right Foot,,,"[30.8, 28.0]",Ground Pass,,22.146105,,,,Sidnei Rechel da Silva Júnior,6777.0,,,,,,1,From Kick Off,Oriol Riera Magem,27243.0,Right Center Forward,2,RC Deportivo La Coruña,219,['e6ffc840-c53f-49c5-a692-14de5623fcef'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.940,Pass,
,,,,,,,,,,,,,,,3.184009,,,,,,,,,,,,,249dbb91-dbc2-43b6-b44c-b63e1cebcd2d,9,,"[25.5, 28.6]",3825636,0,,,,,0.33866334,,Right Foot,,,"[83.7, 49.1]",High Pass,,61.70486,,,,Oriol Riera Magem,27243.0,,,,,,1,From Kick Off,Sidnei Rechel da Silva Júnior,6777.0,Left Center Back,2,RC Deportivo La Coruña,219,['c7351ee0-51db-46eb-9ab0-e6080ccc26e6'],5,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:05.444,Pass,
,,,,,,,,,,,,,,,1.983644,,,,,,,,,,,,,eb57254e-9032-46bb-8acd-8cefd1ba7946,12,,"[84.5, 50.1]",3825636,0,,,,True,-0.30092025,,,,,"[96.1, 46.5]",High Pass,,12.1457815,,Incomplete,,Lucas Pérez Martínez,6732.0,,,,,,1,From Kick Off,Oriol Riera Magem,27243.0,Right Center Forward,2,RC Deportivo La Coruña,219,"['18f0a0bc-c775-4400-aa58-ef0094685736', '74e5e647-2b34-491c-9427-2525c2905caa', 'bc1182a0-c43c-44ee-987a-35007c9da212']",11,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:11.001,Pass,True
,,,,,,,,,,,,,,,1.787671,,,,,,,,,,,,,74e5e647-2b34-491c-9427-2525c2905caa,14,,"[24.0, 33.6]",3825636,0,,,,,-0.675748,,Head,,,"[36.1, 23.9]",Low Pass,,15.508062,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Raúl Albentosa Redal,6727.0,Right Center Back,2,RC Deportivo La Coruña,219,"['63d8a1c4-7ba1-4604-8334-b5c5b0fab653', 'eb57254e-9032-46bb-8acd-8cefd1ba7946']",12,,,,,,,,,,,,,,,,,Málaga,223,00:00:12.985,Pass,
,,,,,,,,,,,,,,,1.657832,,,,,,,,,,,,,5850d637-7411-492c-b379-5d9233458252,16,,"[36.3, 23.9]",3825636,0,,,,,0.014284743,,Right Foot,,,"[57.3, 24.2]",High Pass,,21.002142,,Incomplete,,Adnane Tighadouini,8264.0,,,,,Recovery,1,From Kick Off,Fernando Damián Tissone,19431.0,Left Defensive Midfield,2,RC Deportivo La Coruña,219,"['8522df24-830b-4f7c-96a0-cec109bb61ad', 'a1581b29-cb17-428a-b5f8-e94652ea045a']",15,,,,,,,,,,,,,,,,,Málaga,223,00:00:15.042,Pass,
,,,,,,,,,,,,,,,5.843442,,,,,,,,,,,,,8522df24-830b-4f7c-96a0-cec109bb61ad,18,,"[62.8, 55.9]",3825636,0,,,,,1.5417589,,Right Foot,,,"[63.5, 80.0]",High Pass,,24.110165,,Out,,Juan Francisco Moreno Fuertes,6738.0,,,,,Recovery,1,From Kick Off,Alejandro Arribas Garrido,6869.0,Right Center Back,2,RC Deportivo La Coruña,219,"['5850d637-7411-492c-b379-5d9233458252', 'b8b48106-6da1-4c27-bd8d-91b66c83eb5e']",16,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:16.700,Pass,
,,,,,,,,,,,,,,,0.980955,,,,,,,,,,,,,2cef7dec-93e1-4ac8-850b-986b8f1821ed,22,,"[57.0, 0.1]",3825636,0,,,,,1.6270748,,,,,"[56.6, 7.2]",Low Pass,,7.1112585,,,,José Luis García del Pozo,6580.0,,,,,Throw-in,1,From Throw In,Arthur Etienne Boka,27335.0,Left Back,3,Málaga,223,['b28b20e0-7f5b-47bf-8414-353041069c86'],27,,,,,,,,,,,,,,,,,Málaga,223,00:00:27.076,Pass,
,,,,,,,,,,,,,,,1.691267,,,,,,,,,,,,,d6e0b8e5-382e-4aa9-9aba-fb8afe3f6b3d,25,,"[56.1, 11.0]",3825636,0,,,,,2.0531738,,Right Foot,,,"[41.7, 38.5]",Ground Pass,,31.042068,,,,Raúl Albentosa Redal,6727.0,,,,,,1,From Throw In,José Luis García del Pozo,6580.0,Right Defensive Midfield,3,Málaga,223,['3418ba20-385c-4fc5-ad9e-1c45b5f3c61d'],30,,,,,,,,,,,,,,,,,Málaga,223,00:00:30.173,Pass,
,,,,,,,,,,,,,,,1.704667,,,,,,,,,,,,,17d841b1-a507-4f8e-a77c-082d7adcb73b,28,,"[43.6, 42.3]",3825636,0,,,,,0.024556465,,Right Foot,,,"[72.1, 43.0]",High Pass,,28.508595,,,,Charles Días Barbosa de Oliveira,6707.0,,,,,,1,From Throw In,Raúl Albentosa Redal,6727.0,Right Center Back,3,Málaga,223,['b4620d97-70b9-4c0d-a488-f8b47a2c9ad4'],36,,,,,,,,,,,,,,,,,Málaga,223,00:00:36.714,Pass,
,,,,,,,,,,,,,,,0.859481,,,,,,,,,,,,,5944d321-d177-4dd1-975d-23e0a2b8791d,30,,"[72.1, 43.0]",3825636,0,,,,,0.0,,Head,,,"[84.8, 43.0]",Low Pass,,12.7,,,,Adnane Tighadouini,8264.0,,,,,,1,From Throw In,Charles Días Barbosa de Oliveira,6707.0,Center Forward,3,Málaga,223,['fec248a8-d121-4b48-8b98-c4d1a121356e'],38,,,,,,,,,,,,,,,,,Málaga,223,00:00:38.419,Pass,
,,,,,,,,,,,,,,,1.891003,,,,,,,,,,,,,aaba2034-5f1f-4af1-8441-930c28d7eb4d,38,,"[93.3, 58.8]",3825636,0,,,,,-0.88446426,fd7c951e-51f6-4def-9ea6-94f6d87edf3b,Left Foot,,,"[115.5, 31.7]",High Pass,,35.032127,,,,Charles Días Barbosa de Oliveira,6707.0,True,,,,,1,From Throw In,Sérgio Paulo Barbosa Valente,25859.0,Right Wing,3,Málaga,223,['12440e0a-bfe1-4c12-9db4-a9319b4c8c00'],43,,,,,,,,,,,,,,,,,Málaga,223,00:00:43.191,Pass,
